"tr","lambda.env","alpha.env","lambda.sp","alpha.sp","hidden.ind","drop","acti.sp","lambda.bio","alpha.bio","AUC.train_mean","ll.train_mean","nagel.train_mean","plr.train_mean","tjur.train_mean","cor.train_mean","auc.lt5.train_mean","AUC.test_mean","ll.test_mean","nagel.test_mean","plr.test_mean","tjur.test_mean","cor.test_mean","auc.lt5.test_mean"
420,0,1,0,0.333333333333333,1,0.1,"relu",0.5,0.3,0.933440605418966,-14.5331730719833,0.576119526262015,9.40425741740125,0.385074294758239,0.678292504816421,0,0.637571615179035,-9.79979596701121,-1.35085113653609,2.55212727840861,0.0847983168198997,0.170357347207861,44.8
421,0.333333333333333,0.666666666666667,0.333333333333333,0.333333333333333,1,0.2,"relu",0.6,0.1,0.866709567365708,-19.2171425962155,0.383089291828037,3.97746328807816,0.209227300269384,0.501060370546919,0.2,0.649843342005522,-7.48307577690953,-0.195336050873676,1.79946968698195,0.0714642639505209,0.187208979598825,41.6
422,1,0,1,1,1,0.1,"relu",0.1,0.4,0.894322188621813,-17.5357324657391,0.452908095215969,5.19483799778124,0.27270124339194,0.565954039223435,0.2,0.643215955568704,-8.25188983211092,-0.523400328223678,4.57136819334696,0.0787637900554463,0.17850720709602,43.6
423,0.666666666666667,0.666666666666667,0,1,2,0.1,"relu",0.1,0.9,0.902820260192617,-16.9703401560525,0.47952904924196,6.41710339282261,0.298308835470352,0.591056601919978,0,0.638920790373595,-8.72979876299124,-0.714672335405459,3.23400820738895,0.0884328692637815,0.18335066716495,46.2
424,0,1,0.666666666666667,0.666666666666667,1,0.3,"relu",0.3,0.4,0.861387629209149,-19.8610218349619,0.352959819987169,3.17517033038566,0.175440870559042,0.482683708564955,0,0.656003376768306,-7.26491795026093,-0.15707924833222,1.71337462963674,0.0672256933586062,0.20618229112044,43
425,0.333333333333333,0.666666666666667,0.333333333333333,0.666666666666667,2,0.3,"relu",0.3,0.6,0.829603802372027,-21.3667457709669,0.288395989482731,2.53760012060876,0.148533784301598,0.425725368120574,0.2,0.646895186936026,-7.06717800297856,-0.0441039260902907,1.60885458732501,0.0606355483186729,0.185029321500656,42.6
426,0,1,0,1,1,0.2,"relu",0.3,0.6,0.919567612171354,-16.2296440443988,0.510371411249495,6.48316024506148,0.312231172483518,0.629237297265824,0,0.649780426998543,-8.48358737344997,-0.629592107884915,2.75279504772388,0.0864193689195433,0.193482033483397,44
427,0.333333333333333,0,0.333333333333333,0,2,0.3,"relu",0.4,0.6,0.812949949765701,-21.7041955637051,0.271849884781682,2.4846006938884,0.138945112880837,0.401463576107808,0.8,0.651871386239279,-7.02633146988308,-0.0583025883969388,1.58176754320532,0.0621315778410556,0.193983056093843,45.4
428,0.333333333333333,0,0.666666666666667,0,1,0.1,"relu",0.4,0.5,0.90025803479922,-17.0158523216583,0.475133117597759,6.03109349733665,0.296168616051458,0.581672411740112,0,0.652936924138078,-8.41350841728479,-0.678395568034609,2.56577894398756,0.0889194410117768,0.194331115093743,45
429,1,0.333333333333333,0.666666666666667,0.333333333333333,1,0.3,"relu",0.2,0.7,0.849960436419831,-20.3595575707199,0.333983734818628,3.07879441957261,0.179527424175128,0.463917579430144,0,0.664642706377092,-7.1317690302818,-0.075414520525288,1.8904523986098,0.0745627120230189,0.212973204925695,41.6
430,0.333333333333333,0,0.333333333333333,0,1,0.1,"relu",0.5,0.6,0.891889941095609,-17.5659460540553,0.453184895039161,5.45439865208028,0.275220230319587,0.561322672848198,0,0.645557684255016,-8.17045478962785,-0.471940033461737,2.26380340913023,0.084136889410799,0.185703961208991,46.8
431,0.666666666666667,0,0.666666666666667,1,2,0.3,"relu",0.2,0.1,0.83660238893358,-21.1344365058417,0.298797644428429,2.77283839355037,0.153514910549776,0.438499180410217,0,0.645244606326542,-7.17994416778575,-0.108743338436072,1.66702062046025,0.0635378703029335,0.18877845182782,45.8
432,0,0,0.333333333333333,1,2,0.1,"relu",0.2,0.4,0.908440782514261,-16.8780026708719,0.479013738392466,5.32664890808192,0.287385301016588,0.594303308907113,0,0.646067560403794,-8.2339462014591,-0.505147604544206,2.259385180479,0.0820606557958988,0.183037901645418,42.6
433,0.666666666666667,0.333333333333333,0.666666666666667,1,2,0.1,"relu",0,0,0.848580725397958,-20.4313228995586,0.335309895274131,3.2134608484606,0.181930586950017,0.463622711050592,0,0.626025001360246,-7.50520663620859,-0.191912686688134,1.63562346276145,0.0586741237727194,0.15530461146139,49.4
434,1,1,0.333333333333333,1,1,0.2,"relu",0,1,0.846024826141002,-21.0010777815606,0.312878816372127,2.7162092541028,0.174592275280969,0.453405071284437,0.4,0.645227294087579,-7.15457688963077,-0.0772789836831111,1.57386098050773,0.0684215162075977,0.189631991424764,43.2
435,0.333333333333333,0.333333333333333,0,0.333333333333333,2,0.4,"relu",0.9,0,0.818069084885695,-21.5427637118854,0.284341404603179,2.85325606084614,0.156555714650998,0.419686244007162,0,0.63336366833687,-7.33713886807519,-0.115490095797002,1.8269566141043,0.0600826409200558,0.17070987873494,46.8
436,0.333333333333333,0,1,0,1,0.4,"relu",0.2,0,0.804710175525652,-22.256079452,0.24979490302057,2.36016535061209,0.127359439833897,0.386574351780794,0.6,0.647504608554233,-6.8785498739581,0.00710601859788368,1.67815144639754,0.0562976984374626,0.194440256684336,43.4
437,0,0.333333333333333,0.333333333333333,0.333333333333333,2,0.1,"relu",0.7,0.1,0.891142288599588,-17.7119518530222,0.445335172698951,4.83616799388153,0.261523383683266,0.554075547550366,0,0.657377532597352,-8.04226970695052,-0.422019347181963,2.12894148128043,0.0830878820159661,0.191176819150197,39
438,0.333333333333333,0,0.666666666666667,0.333333333333333,2,0.4,"relu",0.9,0,0.779811573321443,-23.0413861850217,0.212128844632158,2.04569095071406,0.102353688960565,0.350317562280187,1.2,0.640476422515235,-6.90462985793571,0.010885885420927,1.50513933674191,0.0486260597201666,0.177747478225567,46.4
439,0.333333333333333,0.666666666666667,0.333333333333333,0.333333333333333,2,0.3,"relu",0.9,0.7,0.819849995855287,-21.4959478233292,0.282130553516077,2.62481612705943,0.145896922031581,0.412143934330453,0,0.651513953557633,-7.08245774993495,-0.0602932206339119,1.86007568815721,0.0632810249377197,0.19287442705742,42.8
440,0,0,0.666666666666667,0.666666666666667,2,0.3,"relu",0.5,0.1,0.83357254739351,-21.0418931012306,0.300738127908584,2.65834847111973,0.147556183047439,0.431565092381154,0,0.654513740158418,-7.03294604794455,-0.0740595365583966,1.64786314302366,0.0665744356224678,0.202390943879911,40.8
441,0.333333333333333,1,0.666666666666667,0.666666666666667,2,0.3,"relu",0.5,0,0.821896827998918,-21.5801393058808,0.27829437519958,2.54619233406012,0.140548430189906,0.413587283428909,0.2,0.658857187173893,-6.96430414015744,-0.0266745669822221,1.61371189689644,0.0616209183982662,0.199850453163882,41
442,1,0.666666666666667,0.333333333333333,0.333333333333333,2,0.2,"relu",0.4,0.6,0.853490907975648,-20.0034293181568,0.348385706031102,3.33527515610375,0.188639785489522,0.473683943888598,0.2,0.651311326604011,-7.34181337815463,-0.16086316613678,1.84644863468269,0.0730091437147435,0.192487620044739,41.6
443,1,0,0.333333333333333,1,1,0.2,"relu",0.8,1,0.893494567047001,-18.1071947744669,0.431176644954385,4.70414854924242,0.24365153278835,0.558203044642175,0,0.659170630643261,-7.70815099541089,-0.296296739571594,2.16302143534261,0.0785740530779858,0.202320742286961,39
444,0,0.666666666666667,0.666666666666667,0.666666666666667,1,0.3,"relu",0.7,0.9,0.861936009973926,-19.7448431912853,0.358645742880179,3.32350807871464,0.181178498430989,0.485705355772755,0,0.658231185250621,-7.30768508027926,-0.17142206601697,1.89358499850704,0.0716824178491486,0.207048788388335,40.4
445,0,1,0,0,1,0.4,"relu",0.6,0.4,0.871373001814619,-19.4115925964428,0.378378087857911,3.74986254216326,0.20976447112288,0.510843389037462,0,0.645213408540731,-7.70050732338254,-0.270341625575104,1.91256176717615,0.0711094607776338,0.180735875767388,43.2
446,1,0.333333333333333,1,0,1,0.4,"relu",0.9,0.1,0.818206438435731,-21.8587834988032,0.268099151423729,2.41790366286767,0.137632834376661,0.404593367100672,0.4,0.658113811678987,-6.92004290266925,-0.00881364623721218,1.60703779812138,0.0620506680278483,0.201643168501956,41.8
447,1,0,0,0.333333333333333,1,0.4,"relu",0.9,0.7,0.839145223731281,-20.7022064773887,0.323025483614024,3.33345348153771,0.187356480374599,0.455399916337092,0,0.640265686017003,-7.45049708072326,-0.157489099549815,2.00317194731954,0.0716645638488335,0.180270451280502,45
448,0.333333333333333,1,0,0.666666666666667,1,0.1,"relu",0.4,0.8,0.923854037071796,-15.2935443228832,0.546305061051375,8.53543304475995,0.362509265977493,0.650297630316618,0,0.643501182794109,-9.15890866041411,-0.980710452696518,2.92941714903384,0.0884353663449228,0.180102383770604,47
