clearcut,insideHJA,oldGrowthIndex,elevation_m,canopyHeight_m,precipitation_mm,mean.NDVI,mean.EVI,mean.green,mean.wet,l_p25,l_rumple,B1_mean,B4_mean,lg_DistStream,lg_DistRoad,lg_YrsDisturb,lg_cover2m_max,lg_cover2m_4m,lg_cover4m_16m
yes,no,-1.3361377560373389,1.5142128143037927,-1.0881975987968941,1.4943633790223312,0.29731781560505943,-0.2260593989168407,0.4009333746352745,0.6019350984629057,-0.7605805374375281,-0.5702605116996904,-0.7908357137164015,-0.12707862166528,0.7026696534084645,-0.4534165077119915,-0.6143627947584017,0.33849674012291753,0.02410714243103741,1.217838130244951
no,no,0.022357683567158625,-0.4975657091369249,1.302292488604476,-0.2383137992241874,0.40635826037182005,0.5064773578216744,0.43897194978067966,9.170206597926316e-4,1.7807890579595709,-0.08940633137554817,0.09869225376286372,-0.20406369507160338,-1.1610914063075415,0.014517480448838575,0.7706914791489429,0.48863564844971885,-1.3832262597623162,-0.5092091517563476
no,no,0.9592510901909499,-0.5708001511148402,0.8680709582843473,-0.402793050637685,0.5096597343613808,0.5859090543354879,-0.09696440360726039,0.3827261001459386,0.03333097775761062,1.5337294602049687,0.014547716298608912,-0.47518504054604666,-1.2901401115330366,0.1131484534798748,0.7706914791489429,0.4692484119865182,-0.18279198242611577,0.2933960232113345
yes,no,-0.8208463823942536,0.26308520083211084,-1.1750407871450486,0.17995808698029397,0.15958251695231004,-0.1075422644359112,0.754827975541633,0.22253490906815496,-1.5003919389798266,-0.8992732174158615,-0.08161746937482516,0.15743143222765432,0.02293533861491088,-0.09071040131344972,-0.8805934669709099,-1.21482579863737,1.7909028367954483,-3.245892703283826
no,no,0.49080438687905426,1.0733429964373993,0.4677149182517851,0.19103873206973343,0.22845016627868475,0.4522620728995454,0.720185701748496,0.6838373615703439,0.9066603817637653,-0.3947419649858756,0.05060966092614669,0.07040482750746266,0.9400495438008151,-1.3880888596892333,0.7706914791489429,0.44388327515869913,-1.8682756001907004,-1.120529528149925
yes,no,0.3502703758854856,-0.11144382619851154,-1.7024706534177365,-0.8624771041315529,-0.22492852511994932,-0.34457653339777244,1.3281236438045243,-1.2938614034651503,-1.585672792256795,-0.8219597048753857,0.47133234824742076,0.8402555615706967,1.0541472019759093,0.2635068176546132,-1.7643554230332974,-5.243806078975959,1.1879576016832947,-0.5990225701546789
yes,no,-0.774001712063064,-0.5048522405886496,-0.7500232936026537,-0.7711733662080705,0.37192443570863143,0.47747848449123437,0.4708971824920018,0.6790195813875535,-0.8866362940015271,-1.165739121065069,0.11071290197204299,-0.1572032156068848,0.6140920978423225,0.31657698369247933,-0.7497761839147834,0.38263412165473454,0.08307882107050546,1.3819102004577872
no,no,-0.446089019744737,0.5613448150137739,-0.20913664482223623,-0.5368890461873521,0.4580089973666004,0.16857744249306386,0.3282525256967326,0.610366213782789,-0.9457998203582094,-0.16351668539255304,-0.376123350499717,-0.277701591373304,0.750001817587684,-0.4989652391345753,0.7706914791489429,0.10479354357281735,0.33504502526190344,0.9702771723639174
yes,no,-0.024486986764030938,0.41823916713166526,-0.6744797787179333,-0.09768137192573395,-0.006847635586428166,-0.5816108023596326,-1.2659713290580143,0.3791127650088457,-1.2413513500103015,-1.2298994768181555,-0.862959602971477,-0.5186983429061425,1.1393224704948477,-1.1494469602121238,-0.7257465120228609,-1.3266028884344045,1.2917563046607101,0.8235603400371244
yes,no,0.25658103522310644,-0.683014020961578,-0.581629098064378,-0.5819272270506827,-1.2464653234611727,-0.8627737916069457,0.8465281120528774,-1.4829592756396768,-0.7467223857544887,-0.3101133621190982,1.6072836040148606,1.770770796655823,-0.29804728568010763,0.2606082524577632,-0.40911476150183224,0.21909833960873423,0.5902104310636965,1.0119654651626901
no,no,1.0997851011845186,-0.6117193506726443,0.8964542621249779,-0.8350553720104411,-0.2765792621147297,-0.11636800849300133,-0.6777319348451422,-0.41822985524297956,1.6539339275432121,2.3429939899328236,0.05060966092614669,-0.0869124964098069,0.7679113269939538,-0.42231180436322974,-1.625463542218896,-0.5459219317416051,-0.09448096446118052,-0.399427367686621
yes,no,-1.289293085706149,-0.41748368099729705,-0.025324151233953023,-0.8350553720104411,0.7449575362264937,0.9628944076312144,0.1835700880901024,0.9307485959383562,0.24999758533159985,-1.0854003557348668,-0.09964844168859405,-0.5956834163124659,0.9556611191318939,-0.527128095445111,-0.6355652346823649,0.4892936291195737,-1.664704743208693,-0.4848942246441508
yes,no,-1.19560374504377,-0.8376896358583007,0.509370589218216,0.06067036377258201,-2.7558146378642165,-1.7970418410789593,0.5972395927963832,-4.408556291639199,0.4962462102406911,-0.8154926603904772,3.2721433809861877,3.601676672884471,0.4443216611176033,-0.8332906284104483,-3.378504661680247,0.4700867403094199,-1.5130399496181879,-1.2811875374575519
no,no,0.8655617495285708,-0.5572356532828681,0.30130459239008933,-0.6635802800232701,0.3374906110454453,0.7069478299755869,0.24266573161957108,0.515215055172677,1.54146976304877,1.2568268834721223,0.3571361902602178,-0.21745240349009443,-0.23351981320029183,0.39820195064062436,0.7706914791489429,0.46566107954732977,0.7430572467378762,-0.2632113862674861
no,no,-0.0713316570952205,-0.018880328076551364,-0.5273157810402048,0.21080137465854748,0.641656062236933,0.6577758273717971,0.004924636960789056,0.6838373615703439,0.18283899883619995,0.13514705554424758,-0.19581362736202812,-0.5689059994754838,0.8616845475585851,0.10824842368462549,0.7706914791489429,0.4465296602236276,-0.1022897126484838,0.2878090704121494
yes,no,-1.3829824263685284,-0.09675428829585041,-1.1200792196367797,1.3118070189561846,0.6072222375737443,0.7952052705464928,0.9959653715526833,0.7765796300890607,-0.9311421931601074,-0.3663281527190179,0.2188987358546563,-0.19736934086235788,-0.3781362106627729,-0.12783586535621627,-0.37634507970491815,0.2865454865639287,0.7250498001279905,1.0919844846092246
no,no,-0.9613803933878222,0.3188590855672007,-0.2660988468295536,-0.2410191312862203,-3.28953892014362,-2.598923729694615,0.3207806627217423,-1.9840084146498873,-1.2312242196144818,-0.8558963996471507,2.478780599180357,4.023420988066938,1.0471270657806429,-0.7108719716740659,0.7706914791489429,-2.9138562831004733,0.9898196157494157,0.18308322437230856
yes,no,-1.1487590747125804,-1.1672410087244127,0.03917675499500914,-0.09982569169725014,0.6014832667965471,1.3222282728127583,1.368879260031744,0.35141052895780045,0.23507350018270684,-0.39850471402042453,1.0122615176604874,-0.0802181422005614,-1.2367794387028097,-0.11032700103017117,-0.3293221858684946,0.45190737617995597,-0.23906679776806156,-0.13422367935554788
