R2409_6;size=4
R1708_52;size=2
R1757_3;size=2
R1114_107;size=1
R1116_107;size=1
R1582_45;size=1
R350_216;size=166
R960_87;size=150
R2134_3;size=72
R2232_19;size=44
R1213_55;size=31
R1341_54;size=25
R743_49;size=20
R1222_111;size=17
R1100_12;size=14
R2356_2;size=11
R2467_13;size=11
R676_50;size=11
R925_15;size=6
R1888_13;size=5
R1074_165;size=4
R3194_3;size=2
R1079_163;size=1
R1218_12;size=1
R902_168;size=8
R1409_70;size=3
R3512_3;size=72
R1316_128;size=16
R859_48;size=10
R1532_26;size=30
R838_49;size=2
R2470_11;size=6
R1824_10;size=3
R1622_23;size=1
R1823_10;size=1
R1306_14;size=3
R672_191;size=3
R887_173;size=1
R2470_2;size=118
R985_45;size=96
R1177_49;size=48
R1051_35;size=6
R1070_42;size=2
R1040_83;size=12
R652_12;size=9
R1647_48;size=35
R977_61;size=26
R1219_128;size=14
R1658_3;size=12
R1458_25;size=10
R1577_47;size=8
R908_186;size=8
R1175_93;size=6
R803_49;size=6
R1515_67;size=5
R1520_67;size=5
R1737_50;size=5
R720_60;size=5
R1067_42;size=17
R2306_24;size=6
R1353_108;size=88
R510_231;size=40
R1237_122;size=27
R830_180;size=17
R1565_89;size=5
R761_180;size=5
R1265_121;size=2
R1373_90;size=1
R2345_2;size=87
R1197_5;size=42
R284_81;size=20
R488_72;size=7
R1230_68;size=6
R1005_136;size=1
R2245_9;size=1
R878_91;size=8
R1123_51;size=3
R1_50;size=352
R1586_47;size=1
R2057_6;size=5
R637_218;size=2
R549_48;size=105
R200_53;size=29
R808_193;size=7
R637_81;size=2
R754_185;size=91
R1204_115;size=2
R1548_90;size=6
R1343_72;size=16
R695_209;size=2
R830_150;size=2
R687_99;size=19
R574_104;size=9
R415_76;size=267
R1243_44;size=7
R632_206;size=111
R2594_2;size=13
R841_60;size=7
R781_190;size=4
R1116_36;size=475
R2381_7;size=4
R2088_12;size=60
R466_11;size=311
R686_86;size=105
R1652_79;size=34
R1317_60;size=24
