"insideHJA","elevation_m","canopyHeight_m","minT_annual","precipitation_mm","distToRoad_m","distToStream_m","YrsSinceDist","B1_20180717","B2_20180717","B3_20180717","B4_20180717","B5_20180717","B6_20180717","B7_20180717","B10_20180717","B11_20180717","NDVI_20180717","EVI_20180717","B_20180717","G_20180717","W_20180717","l_Cover_2m_max","l_Cover_2m_4m","l_Cover_4m_16m","l_p25","l_p95","l_rumple","tri.pt"
"no",-1.32201172726329,1.11409398343026,0.273542985378682,-0.93465269458714,0.544160607670885,-1.00793047978358,-0.606201330493404,0.376823894900682,-0.0106325850637236,-0.908403200500863,-0.69548232149649,-0.933419915978617,-0.683859195022888,-0.679517578525749,0.736325669449373,0.765621312047755,0.442530672581869,1.1242156231824,-0.988742796359344,-0.833877883999485,0.39358835023269,0.513183777719988,-0.718440675970992,-0.857667772456651,1.45985641524396,0.227145720662452,-0.260755824264872,-0.992024303488624
"yes",-0.42212184997633,1.69462912127374,0.530317290023039,0.360961005075916,0.169274747815117,-1.35575186941529,1.0052199277802,-0.580952246210963,-0.531629253186177,-0.908403200500863,-0.430289807852473,-1.03765718391561,-0.31113043124105,-0.151929499460223,-0.16793392461125,0.0853090037401554,0.00912434376457411,-0.290115185513253,-0.920442348893826,-0.994535936013598,-0.148229235973467,0.406302408684114,-0.463116825099578,-0.347721550954641,0.591176682070541,1.71746244393482,2.29382137088465,2.08732669675288
"no",-0.220861688292757,-0.42054423000165,-0.111618252412806,0.0666767911036489,-0.151737426206078,-1.20613082363305,-1.04340864862965,0.0144221117773568,-0.0354419502124119,0.0961737884991481,-0.402374806416261,1.12743773552562,-0.213043914456356,-0.478201074671798,0.666767239137017,0.765621312047755,0.807504423164854,1.05943711286046,0.660975703961632,1.26928206963981,0.738817254718028,0.518227382635067,-0.576208181994704,2.32255488892939,-0.634074134032476,-1.18859381289291,-1.01349267853883,-0.777469069057397
"no",-1.42315620065826,-0.943804159976032,1.17225283245888,-1.74367344165317,-0.172968518911177,1.88168065481646,-1.18081666290105,1.23105666940566,0.956932655735119,0.81587073584244,0.476947738824428,1.45752241732609,1.34849343275598,0.924072503897099,0.875442530074084,0.841211568526377,0.0775569219988838,0.643775004961357,1.50422353613207,1.3890453447776,-0.891430349796071,0.230527712080041,2.12673835366465,2.46423114564754,-1.3355779141282,-1.54114192258483,-1.11986651501522,-0.81457308669638
"yes",-1.11251898598871,0.811680457866867,0.108474071070355,-0.482434042984961,0.249675187629747,-0.776814432812552,-0.643676243476511,-0.14089293813264,-0.20910750625323,-0.758466336471011,-0.69548232149649,-0.939934745224678,-0.719170341065377,-0.714227320569533,0.318975087575239,0.387670029654644,0.442530672581869,0.816517699153193,-0.99662361722075,-0.842641050472983,0.446331655084616,0.317718760693479,0.18752977291592,-0.655885048936739,0.667358215898376,-0.121334468576658,0.218682792695503,-1.19442293576034
"no",-0.476195649923715,1.2245158609982,0.126815060733902,-0.187877650765648,-0.228185794412401,-1.19557450808675,1.0052199277802,0.195623003339019,-0.0106325850637236,-0.12873150754563,-0.262799799235199,0.202331982584835,0.0341341078410737,-0.0894519637814107,0.666767239137017,0.538850542611888,0.374098094347559,0.552005448671945,0.104064363088946,0.255675814205317,0.0435645998517213,0.589159137039113,-0.760852326009785,-0.710518162823364,1.78362732857682,0.972304199856698,-0.0941029159314417,3.28712097468177
"no",0.555150068504359,-0.648977719231431,-0.588484444024333,-0.0373746984798301,-0.785525672038283,2.00684697863813,-1.01842537330758,-0.762153137772625,-0.705294809226995,-0.668504218053099,-0.360502304261942,-1.07674615939198,-0.534767689510152,-0.263000674000334,-1.14175194898423,-1.27531561287504,-0.104929953292609,-0.667989829057893,-0.983488915785074,-1.04711493485458,0.0915130588080184,-1.59470044451433,1.31455093097696,0.750682952379145,-1.21601547014585,-1.14360081522212,-1.20927515396023,1.51951584595211
"no",0.583777623808324,-0.863751807206492,-0.570143452526684,0.354730295507557,0.0168927082870305,-0.495078106133934,-1.14334174991794,-1.07278323759262,-1.05262592130863,-0.518567354023247,-0.667567320060278,0.208846811830897,-0.793716093821745,-0.818356546700887,-0.933076658047162,-0.746183817524688,0.830315282576291,0.174130805127305,-0.221676232515833,0.390044366798939,0.968969857708254,0.0997018829810218,0.0888577739332409,2.72889669047995,-1.08481413587051,-1.42403675145304,-0.957984431441887,1.29594841763586
"yes",-0.414183255191054,2.57735798509391,1.00718347980046,-0.830929414644482,2.50246546422008,1.59445356974934,1.0052199277802,-0.192664621435972,-0.184298141104542,-0.443598922008321,-0.388417305698154,0.035118031935914,0.0772921752263392,-0.0130905312850846,-0.515726076173029,-0.368232535131578,0.465341531993306,0.541209030284955,-0.0377904124163611,0.106701984155867,-0.119460160599689,0.565209611662566,-0.776236100182674,-0.451493699417573,0.080126433826686,1.25193886032632,0.558681103434837,0.830373471800415
"yes",0.344654969616027,0.471734032283366,-1.04700964413821,0.216523318642947,-0.171261341986131,-0.761460716067014,-0.806067533069975,-0.632723929514295,-0.829341634970437,-0.773460022873996,-0.807142327241339,0.452067103683873,-0.534767689510152,-0.63092393966445,-0.446167645860673,-0.217052022174333,1.05842387669066,0.757137398024749,-0.0115210095450079,0.661702527477348,0.729227562926769,0.579663845260674,-0.763664236561341,0.0501093081922284,-0.118791589565501,-0.548213660179491,-0.691005582022132,-0.845697399108283
