"otu","class","order","family","genus","species"
"R6128.2__Insecta_Diptera_Chloropidae_Hapleginella_NA_BOLD_ABA7838_size.26","Insecta","Diptera","Chloropidae","Hapleginella","NA"
"R6176.20__Insecta_Coleoptera_Latridiidae_Enicmus_NA_BOLD_ACG8955_size.18","Insecta","Coleoptera","Latridiidae","Enicmus","NA"
"R6830.9__Insecta_Diptera_Tachinidae_NA_NA_BOLD_ACI7544_size.763","Insecta","Diptera","Tachinidae","NA","NA"
"R4982.7__Insecta_Diptera_Syrphidae_Chrysotoxum_NA_BOLD_AAA7273_size.3709","Insecta","Diptera","Syrphidae","Chrysotoxum","NA"
"R2639.21__Insecta_Diptera_Tachinidae_Cylindromyia_NA_BOLD_AAG2137_size.167","Insecta","Diptera","Tachinidae","Cylindromyia","NA"
"R3294.21__Insecta_Diptera_Syrphidae_Toxomerus_geminatus_BOLD_AAC1312_size.71","Insecta","Diptera","Syrphidae","Toxomerus","NA"
"R10161.4__Insecta_Diptera_Mycetophilidae_Cordyla_NA_BOLD_AAP6493_size.176","Insecta","Diptera","Mycetophilidae","Cordyla","NA"
"R7753.15__Insecta_Hymenoptera_Ichneumonidae_Campoletis_NA_BOLD_ACG1630_size.234","Insecta","Hymenoptera","Ichneumonidae","Campoletis","NA"
"R10359__Insecta_Hymenoptera_Ichneumonidae_Coleocentrus_NA_BOLD_AAI2885_size.445","Insecta","Hymenoptera","Ichneumonidae","Coleocentrus","NA"
"R5317__Insecta_Raphidioptera_Raphidiidae_Agulla_NA_BOLD_ACA6996_size.642","Insecta","Raphidioptera","Raphidiidae","Agulla","NA"
"R934.131__Insecta_Hymenoptera_Halictidae_Lasioglossum_NA_BOLD_ABZ0652_size.11","Insecta","Hymenoptera","Halictidae","Lasioglossum","NA"
"R2318.111__Insecta_Diptera_Phoridae_Megaselia_NA_BOLD_ACC5887_size.17","Insecta","Diptera","Phoridae","Megaselia","NA"
"R2458.4__Insecta_Diptera_Asilidae_NA_NA_BOLD_ABW2452_size.4760","Insecta","Diptera","Asilidae","NA","NA"
"R4349.16__Insecta_Hymenoptera_Apidae_Bombus_bifarius_BOLD_AAB4830_size.150","Insecta","Hymenoptera","Apidae","Bombus","NA"
"R4517.16__Insecta_Hymenoptera_Pompilidae_Episyron_NA_BOLD_ABV9551_size.108","Insecta","Hymenoptera","Pompilidae","Episyron","NA"
"R4216.16__Insecta_Hymenoptera_Ichneumonidae_Aplomerus_NA_BOLD_ACT5589_size.5","Insecta","Hymenoptera","Ichneumonidae","Aplomerus","NA"
"R1846.2__Insecta_Hymenoptera_Braconidae_Wroughtonia_NA_BOLD_ACB1459_size.1461","Insecta","Hymenoptera","Braconidae","Wroughtonia","NA"
"R4020.20__Insecta_Hymenoptera_Halictidae_Sphecodes_NA_BOLD_ACE6012_size.5","Insecta","Hymenoptera","Halictidae","Sphecodes","NA"
"R7063.2__Insecta_Hymenoptera_Formicidae_NA_NA_BOLD_ACW9594_size.32","Insecta","Hymenoptera","Formicidae","NA","NA"
"R3819.2__Insecta_Lepidoptera_Tortricidae_Orthotaenia_undulana_BOLD_AAB4022_size.133","Insecta","Lepidoptera","Tortricidae","Orthotaenia","NA"
"R5311.12__Insecta_Hymenoptera_Apidae_Bombus_melanopygus_BOLD_AAB5223_size.149","Insecta","Hymenoptera","Apidae","Bombus","NA"
"R4336.32__Insecta_Diptera_Anthomyiidae_Hylemya_NA_BOLD_ADB9166_size.3","Insecta","Diptera","Anthomyiidae","Hylemya","NA"
"R4439.18__Insecta_Lepidoptera_Blastobasidae_Hypatopa_simplicella_BOLD_AAB9632_size.414","Insecta","Lepidoptera","Blastobasidae","Hypatopa","NA"
"R5034.12__Insecta_Coleoptera_Elateridae_Athous_sierrae_BOLD_AAP7790_size.808","Insecta","Coleoptera","Elateridae","Athous","NA"
"R3834.44__Insecta_Diptera_Heleomyzidae_Suillia_nemorum_BOLD_ACX5303_size.257","Insecta","Diptera","Heleomyzidae","Suillia","NA"
"R3031.21__Insecta_Diptera_Lauxaniidae_Minettia_NA_BOLD_AAB8787_size.85","Insecta","Diptera","Lauxaniidae","Minettia","NA"
"R6080__Insecta_Diptera_Keroplatidae_NA_NA_BOLD_AAP9078_size.662","Insecta","Diptera","Keroplatidae","NA","NA"
"R5088.20__Insecta_Hymenoptera_Ichneumonidae_Aplomerus_NA_BOLD_ACB1489_size.202","Insecta","Hymenoptera","Ichneumonidae","Aplomerus","NA"
"R3124.48__Insecta_Diptera_Tabanidae_Hybomitra_NA_BOLD_ACG6460_size.1312","Insecta","Diptera","Tabanidae","Hybomitra","NA"
"R2352__Insecta_Hemiptera_Aphididae_Cinara_splendens_BOLD_AAL7025_size.391","Insecta","Hemiptera","Aphididae","Cinara","NA"
"R5991__Insecta_Coleoptera_Elateridae_Dolerosomus_NA_BOLD_ACI5951_size.121","Insecta","Coleoptera","Elateridae","Dolerosomus","NA"
"R1912.205__Insecta_Neuroptera_Hemerobiidae_Hemerobius_NA_BOLD_ACZ4269_size.13","Insecta","Neuroptera","Hemerobiidae","Hemerobius","NA"
"R2626.93__Insecta_Diptera_Syrphidae_Ferdinandea_buccata_BOLD_AAE0948_size.942","Insecta","Diptera","Syrphidae","Ferdinandea","NA"
"R3847.65__Insecta_Lepidoptera_Crambidae_Scoparia_biplagialis_BOLD_AAA1518_size.95","Insecta","Lepidoptera","Crambidae","Scoparia","NA"
"R1201.156__Insecta_Diptera_Tachinidae_Xanthoepalpus_NA_BOLD_AAZ4955_size.274","Insecta","Diptera","Tachinidae","Xanthoepalpus","NA"
"R5735.7__Insecta_Diptera_Empididae_Rhamphomyia_NA_BOLD_AAP2862_size.125","Insecta","Diptera","Empididae","Rhamphomyia","NA"
"R4933.20__Insecta_Hymenoptera_Ichneumonidae_Helcostizus_NA_BOLD_ACI8855_size.24","Insecta","Hymenoptera","Ichneumonidae","Helcostizus","NA"
"R8219.7__Insecta_Diptera_Empididae_NA_NA_BOLD_ACC0167_size.59","Insecta","Diptera","Empididae","NA","NA"
"R4060.88__Insecta_Hymenoptera_Ichneumonidae_NA_NA_BOLD_ABA8084_size.27","Insecta","Hymenoptera","Ichneumonidae","NA","NA"
"R4154.81__Insecta_Diptera_Ceratopogonidae_NA_NA_BOLD_ACT5597_size.3","Insecta","Diptera","Ceratopogonidae","NA","NA"
"R9826.9__Insecta_Diptera_Lauxaniidae_Minettia_NA_BOLD_AAU4691_size.70","Insecta","Diptera","Lauxaniidae","Minettia","NA"
"R9662.9__Insecta_Lepidoptera_Gelechiidae_Chionodes_NA_BOLD_AAU7692_size.260","Insecta","Lepidoptera","Gelechiidae","Chionodes","NA"
"R215.16__Insecta_Diptera_NA_NA_NA_BOLD_ABA8385_size.338","Insecta","Diptera","NA","NA","NA"
"R5452.54__Insecta_Diptera_Phoridae_Megaselia_NA_BOLD_ACG6395_size.59","Insecta","Diptera","Phoridae","Megaselia","NA"
"R4086.4__Insecta_Diptera_Sciaridae_Hyperlasion_wasmanni_BOLD_ACX4194_size.392","Insecta","Diptera","Sciaridae","Hyperlasion","NA"
"R4065.4__Insecta_Diptera_Cecidomyiidae_NA_NA_BOLD_ADC1777_size.80","Insecta","Diptera","Cecidomyiidae","NA","NA"
"R3862.64__Insecta_Lepidoptera_NA_NA_NA_BOLD_ACI7195_size.1013","Insecta","Lepidoptera","NA","NA","NA"
"R7458.35__Insecta_Hemiptera_Aleyrodidae_NA_NA_BOLD_ACI5425_size.27","Insecta","Hemiptera","Aleyrodidae","NA","NA"
"R1789.22__Insecta_Lepidoptera_Noctuidae_Pseudorthodes_irrorata_BOLD_ABZ1590_size.818","Insecta","Lepidoptera","Noctuidae","Pseudorthodes","NA"
"R6701.4__Insecta_Hymenoptera_Ichneumonidae_NA_NA_BOLD_AAU8883_size.220","Insecta","Hymenoptera","Ichneumonidae","NA","NA"
"R10463.8__Insecta_Lepidoptera_Yponomeutidae_Eucalantica_polita_BOLD_AAB6103_size.46","Insecta","Lepidoptera","Yponomeutidae","Eucalantica","NA"
"R3447.95__Insecta_Hemiptera_Cicadellidae_Empoasca_NA_BOLD_ACC4174_size.4","Insecta","Hemiptera","Cicadellidae","Empoasca","NA"
"R2817.15__Insecta_Diptera_Phoridae_Megaselia_NA_BOLD_ACC0572_size.7","Insecta","Diptera","Phoridae","Megaselia","NA"
"R4344.32__Insecta_Diptera_Phoridae_Megaselia_NA_BOLD_ACD9585_size.484","Insecta","Diptera","Phoridae","Megaselia","NA"
"R7876.7__Insecta_Coleoptera_Cantharidae_Dichelotarsus_NA_BOLD_AAP7080_size.116","Insecta","Coleoptera","Cantharidae","Dichelotarsus","NA"
"R2962.90__Insecta_Hemiptera_Miridae_Phytocoris_NA_BOLD_AAG8886_size.20","Insecta","Hemiptera","Miridae","Phytocoris","NA"
"R5154__Insecta_Coleoptera_Ampedidae_Ampedus_NA_BOLD_ACU9860_size.150","Insecta","Coleoptera","Ampedidae","Ampedus","NA"
"R4781.18__Insecta_Diptera_Phoridae_Megaselia_NA_BOLD_ACL4416_size.53","Insecta","Diptera","Phoridae","Megaselia","NA"
"R5414.22__Insecta_Lepidoptera_Gelechiidae_Chionodes_NA_BOLD_AAI4285_size.359","Insecta","Lepidoptera","Gelechiidae","Chionodes","NA"
"R1516.2__Insecta_Lepidoptera_Geometridae_Selenia_alciphearia_BOLD_AAA6556_size.476","Insecta","Lepidoptera","Geometridae","Selenia","NA"
"R5468.15__Insecta_Lepidoptera_Noctuidae_Aseptis_binotata_BOLD_AAA4141_size.1156","Insecta","Lepidoptera","Noctuidae","Aseptis","NA"
"R3278.3__Insecta_Coleoptera_NA_NA_NA_BOLD_AAY8856_size.371","Insecta","Coleoptera","NA","NA","NA"
"R6748.2__Insecta_Hymenoptera_Vespidae_Vespula_pensylvanica_BOLD_AAG8042_size.814","Insecta","Hymenoptera","Vespidae","Vespula","NA"
"R5858.2__Insecta_Lepidoptera_Tortricidae_Ancylis_simuloides_BOLD_AAF4251_size.16","Insecta","Lepidoptera","Tortricidae","Ancylis","NA"
"R6771.11__Insecta_Diptera_Anthomyiidae_Delia_albula_BOLD_AAP8834_size.24","Insecta","Diptera","Anthomyiidae","Delia","NA"
"R5132.18__Insecta_Hymenoptera_Braconidae_Dinotrema_NA_BOLD_ABX5161_size.8","Insecta","Hymenoptera","Braconidae","Dinotrema","NA"
"R5791.13__Insecta_Lepidoptera_Gelechiidae_Filatima_NA_BOLD_ACE5304_size.1230","Insecta","Lepidoptera","Gelechiidae","Filatima","NA"
"R1255.34__Insecta_Lepidoptera_Noctuidae_Abagrotis_apposita_BOLD_AAE9047_size.415","Insecta","Lepidoptera","Noctuidae","Abagrotis","NA"
"R4171.3__Insecta_Lepidoptera_Noctuidae_Xestia_mustelina_BOLD_AAB7040_size.2417","Insecta","Lepidoptera","Noctuidae","Xestia","NA"
"R6137.13__Insecta_Diptera_Anthomyiidae_Delia_NA_BOLD_AAG2511_size.287","Insecta","Diptera","Anthomyiidae","Delia","NA"
"R6848.11__Insecta_Lepidoptera_Copromorphidae_Lotisma_trigonana_BOLD_AAF3918_size.31","Insecta","Lepidoptera","Copromorphidae","Lotisma","NA"
"R4030.20__Insecta_Lepidoptera_NA_NA_NA_BOLD_ACG6801_size.28","Insecta","Lepidoptera","NA","NA","NA"
"R4610.7__Insecta_Hymenoptera_NA_NA_NA_BOLD_ADK0980_size.6","Insecta","Hymenoptera","NA","NA","NA"
"R7284.2__Insecta_Hemiptera_Aphrophoridae_Aphrophora_NA_BOLD_AAC1332_size.276","Insecta","Hemiptera","Aphrophoridae","Aphrophora","NA"
"R7189.2__Insecta_Hymenoptera_Ichneumonidae_Campoplex_NA_BOLD_AAE7918_size.12","Insecta","Hymenoptera","Ichneumonidae","Campoplex","NA"
"R1978.148__Insecta_Hymenoptera_Ichneumonidae_Cratocryptus_NA_BOLD_AAG8079_size.10","Insecta","Hymenoptera","Ichneumonidae","Cratocryptus","NA"
"R6620.45__Insecta_Diptera_Phoridae_Megaselia_NA_BOLD_AAG3259_size.23","Insecta","Diptera","Phoridae","Megaselia","NA"
"R4856.24__Insecta_Diptera_Tachinidae_Billaea_NA_BOLD_ACI7545_size.397","Insecta","Diptera","Tachinidae","Billaea","NA"
"R1479.123__Insecta_Diptera_Hybotidae_Tachypeza_corticalis_BOLD_AAP2863_size.17","Insecta","Diptera","Hybotidae","Tachypeza","NA"
"R1496.122__Insecta_Diptera_Phoridae_Megaselia_NA_BOLD_AAG3255_size.10","Insecta","Diptera","Phoridae","Megaselia","NA"
"R9895.2__Insecta_Diptera_Phoridae_Megaselia_NA_BOLD_ACC9898_size.41","Insecta","Diptera","Phoridae","Megaselia","NA"
"R4094.43__Insecta_Diptera_Tachinidae_Ateloglossa_marginalis_BOLD_AAG2138_size.665","Insecta","Diptera","Tachinidae","Ateloglossa","NA"
"R4758.5__Insecta_Lepidoptera_Geometridae_Perizoma_curvilinea_BOLD_AAA8277_size.315","Insecta","Lepidoptera","Geometridae","Perizoma","NA"
"R5503.10__Insecta_Lepidoptera_Gelechiidae_Telphusa_sedulitella_BOLD_AAG5274_size.38","Insecta","Lepidoptera","Gelechiidae","Telphusa","NA"
"R5340.23__Insecta_Diptera_Dolichopodidae_Scellus_amplus_BOLD_ACA9697_size.365","Insecta","Diptera","Dolichopodidae","Scellus","NA"
"R3968.59__Insecta_Coleoptera_NA_NA_NA_BOLD_ABA6332_size.16","Insecta","Coleoptera","NA","NA","NA"
"R5193.38__Insecta_Hymenoptera_Ichneumonidae_Ichneumon_memorator_BOLD_ACE4814_size.318","Insecta","Hymenoptera","Ichneumonidae","Ichneumon","NA"
"R4916.76__Insecta_Hymenoptera_Ichneumonidae_Megastylus_NA_BOLD_AAF3508_size.37","Insecta","Hymenoptera","Ichneumonidae","Megastylus","NA"
"R2694.5__Insecta_Coleoptera_Cerambycidae_Stenostrophia_NA_BOLD_ABW6219_size.1211","Insecta","Coleoptera","Cerambycidae","Stenostrophia","NA"
"R1015.67__Insecta_Hymenoptera_Ichneumonidae_NA_NA_BOLD_AAE7717_size.96","Insecta","Hymenoptera","Ichneumonidae","NA","NA"
"R9066.3__Insecta_Lepidoptera_NA_NA_NA_BOLD_ACN9608_size.28","Insecta","Lepidoptera","NA","NA","NA"
"R4590.7__Insecta_Lepidoptera_Ypsolophidae_Ypsolopha_rubrella_BOLD_AAF5804_size.376","Insecta","Lepidoptera","Ypsolophidae","Ypsolopha","NA"
"R5647.5__Insecta_Hemiptera_Cicadellidae_Eupteryx_NA_BOLD_ABA5805_size.48","Insecta","Hemiptera","Cicadellidae","Eupteryx","NA"
"R6198.2__Insecta_Diptera_Tabanidae_Chrysops_NA_BOLD_AAP7671_size.1018","Insecta","Diptera","Tabanidae","Chrysops","NA"
"R1130.30__Insecta_Diptera_Scathophagidae_Scathophaga_NA_BOLD_AAD0853_size.627","Insecta","Diptera","Scathophagidae","Scathophaga","NA"
"R4915.24__Insecta_Coleoptera_NA_NA_NA_BOLD_ACI6600_size.282","Insecta","Coleoptera","NA","NA","NA"
"R4798.30__Insecta_Coleoptera_Lampyridae_Phausis_NA_BOLD_ACC3124_size.132","Insecta","Coleoptera","Lampyridae","Phausis","NA"
"R5184__Insecta_Hymenoptera_Ichneumonidae_Bathythrix_fragilis_BOLD_AAQ2908_size.117","Insecta","Hymenoptera","Ichneumonidae","Bathythrix","NA"
"R5387.8__Insecta_Lepidoptera_Tortricidae_Epinotia_tsugana_BOLD_AAD9403_size.55","Insecta","Lepidoptera","Tortricidae","Epinotia","NA"
"R7691.15__Insecta_Diptera_Empididae_NA_NA_BOLD_ACG6571_size.56","Insecta","Diptera","Empididae","NA","NA"
"R10799__Insecta_Diptera_Cecidomyiidae_NA_NA_BOLD_ACO2727_size.24","Insecta","Diptera","Cecidomyiidae","NA","NA"
"R2920.4__Insecta_Lepidoptera_Gelechiidae_Chionodes_NA_BOLD_AAA4662_size.670","Insecta","Lepidoptera","Gelechiidae","Chionodes","NA"
"R2195.110__Insecta_Coleoptera_Eucnemidae_Epiphanis_cornutus_BOLD_AAP7844_size.10","Insecta","Coleoptera","Eucnemidae","Epiphanis","NA"
"R1.4__Insecta_Lepidoptera_Geometridae_Lambdina_fiscellaria_BOLD_AAA5482_size.9999","Insecta","Lepidoptera","Geometridae","Lambdina","NA"
"R3601.35__Insecta_Diptera_Anthomyiidae_Hylemya_NA_BOLD_ACF2899_size.242","Insecta","Diptera","Anthomyiidae","Hylemya","NA"
"R4649.56__Insecta_Diptera_Phoridae_Megaselia_NA_BOLD_ACD1294_size.77","Insecta","Diptera","Phoridae","Megaselia","NA"
"R10372__Insecta_Diptera_Syrphidae_Meliscaeva_cinctella_BOLD_AAD0765_size.166","Insecta","Diptera","Syrphidae","Meliscaeva","NA"
"R1539.22__Insecta_Lepidoptera_Noctuidae_Lacinipolia_cuneata_BOLD_AAB1084_size.116","Insecta","Lepidoptera","Noctuidae","Lacinipolia","NA"
"R3651.2__Insecta_Diptera_Syrphidae_Melanostoma_mellinum_BOLD_AAB2866_size.493","Insecta","Diptera","Syrphidae","Melanostoma","NA"
"R2120.170__Insecta_Hymenoptera_Ichneumonidae_Therion_NA_BOLD_ABV4559_size.111","Insecta","Hymenoptera","Ichneumonidae","Therion","NA"
"R5519.10__Insecta_Coleoptera_NA_NA_NA_BOLD_AAL8070_size.32","Insecta","Coleoptera","NA","NA","NA"
"R9564.2__Insecta_Diptera_Limoniidae_Limonia_nubeculosa_BOLD_AAI1355_size.641","Insecta","Diptera","Limoniidae","Limonia","NA"
"R6631.12__Insecta_Lepidoptera_NA_NA_NA_BOLD_ABX3771_size.172","Insecta","Lepidoptera","NA","NA","NA"
"R6792.20__Insecta_Diptera_Muscidae_Helina_NA_BOLD_ACC4838_size.183","Insecta","Diptera","Muscidae","Helina","NA"
"R4978.76__Insecta_Diptera_Cecidomyiidae_NA_NA_BOLD_ACX5107_size.9","Insecta","Diptera","Cecidomyiidae","NA","NA"
"R5568.34__Insecta_Hemiptera_Cicadellidae_Macustus_NA_BOLD_ACY0336_size.26","Insecta","Hemiptera","Cicadellidae","Macustus","NA"
"R3446.93__Insecta_Diptera_Phoridae_NA_NA_BOLD_ADD1343_size.4","Insecta","Diptera","Phoridae","NA","NA"
"R6019__Insecta_Hemiptera_Miridae_Phytocoris_NA_BOLD_AAE4645_size.109","Insecta","Hemiptera","Miridae","Phytocoris","NA"
"R10475.3__Insecta_Hymenoptera_Vespidae_Dolichovespula_adulterina_BOLD_AAI6347_size.972","Insecta","Hymenoptera","Vespidae","Dolichovespula","NA"
"R3772.4__Insecta_Diptera_Muscidae_Mydaea_orthonevra_BOLD_AAG1715_size.716","Insecta","Diptera","Muscidae","Mydaea","NA"
"R3226.7__Insecta_Hymenoptera_Ichneumonidae_NA_NA_BOLD_AAG7729_size.205","Insecta","Hymenoptera","Ichneumonidae","NA","NA"
"R1393.3__Arachnida_Araneae_Agelenidae_Agelenopsis_NA_BOLD_AAB0090_size.539","Arachnida","Araneae","Agelenidae","Agelenopsis","NA"
"R3583.3__Insecta_Hymenoptera_Ichneumonidae_Hyposoter_NA_BOLD_ABA0310_size.24","Insecta","Hymenoptera","Ichneumonidae","Hyposoter","NA"
"R2587.156__Insecta_Lepidoptera_Gelechiidae_Chionodes_obscurusella_BOLD_AAA4439_size.15","Insecta","Lepidoptera","Gelechiidae","Chionodes","NA"
"R4556.29__Insecta_Coleoptera_Anobiidae_Ptilinus_basalis_BOLD_ACI7730_size.154","Insecta","Coleoptera","Anobiidae","Ptilinus","NA"
"R7109.2__Insecta_Diptera_Tachinidae_Gymnosoma_occidua_BOLD_AAG2334_size.122","Insecta","Diptera","Tachinidae","Gymnosoma","NA"
"R5411.25__Insecta_Lepidoptera_NA_NA_NA_BOLD_ACE5079_size.242","Insecta","Lepidoptera","NA","NA","NA"
"R5184.18__Insecta_Diptera_Dolichopodidae_NA_NA_BOLD_ACC0778_size.95","Insecta","Diptera","Dolichopodidae","NA","NA"
"R2962.4__Insecta_Diptera_Tachinidae_Xanthomelanodes_NA_BOLD_AAP8643_size.57","Insecta","Diptera","Tachinidae","Xanthomelanodes","NA"
"R2906.4__Insecta_Lepidoptera_Gelechiidae_Helcystogramma_badia_BOLD_AAY1913_size.50","Insecta","Lepidoptera","Gelechiidae","Helcystogramma","NA"
"R4084.43__Insecta_Hymenoptera_Formicidae_Stenamma_NA_BOLD_AAF3513_size.50","Insecta","Hymenoptera","Formicidae","Stenamma","NA"
"R9024.3__Insecta_Coleoptera_Curculionidae_Anisandrus_NA_BOLD_AAD0158_size.391","Insecta","Coleoptera","Curculionidae","Anisandrus","NA"
"R5123.76__Insecta_Diptera_Phoridae_Megaselia_NA_BOLD_ACC2309_size.5","Insecta","Diptera","Phoridae","Megaselia","NA"
"R3809.2__Insecta_Lepidoptera_Gracillariidae_Cameraria_gaultheriella_BOLD_AAD2053_size.70","Insecta","Lepidoptera","Gracillariidae","Cameraria","NA"
"R1824.3__Insecta_Coleoptera_Ampedidae_Ampedus_NA_BOLD_ACC8890_size.1088","Insecta","Coleoptera","Ampedidae","Ampedus","NA"
"R7009.42__Insecta_Lepidoptera_Gelechiidae_Chionodes_NA_BOLD_AAH4677_size.47","Insecta","Lepidoptera","Gelechiidae","Chionodes","NA"
"R3221.104__Insecta_Lepidoptera_Lyonetiidae_Leucoptera_spartifoliella_BOLD_AAX4977_size.50","Insecta","Lepidoptera","Lyonetiidae","Leucoptera","NA"
"R4879.3__Insecta_Lepidoptera_Noctuidae_Adelphagrotis_stellaris_BOLD_AAC2434_size.2810","Insecta","Lepidoptera","Noctuidae","Adelphagrotis","NA"
"R5947.2__Insecta_Hymenoptera_Ichneumonidae_Mesoleptus_NA_BOLD_ACB1703_size.358","Insecta","Hymenoptera","Ichneumonidae","Mesoleptus","NA"
"R1646.187__Insecta_Diptera_Chironomidae_Tanytarsus_NA_BOLD_ACG7032_size.10","Insecta","Diptera","Chironomidae","Tanytarsus","NA"
"R1185.304__Insecta_Hymenoptera_Argidae_Arge_NA_BOLD_AAC4292_size.90","Insecta","Hymenoptera","Argidae","Arge","NA"
"R2022.192__Insecta_Trichoptera_Limnephilidae_Limnephilus_nogus_BOLD_AAJ2663_size.18","Insecta","Trichoptera","Limnephilidae","Limnephilus","NA"
"R5032.18__Insecta_Diptera_Chironomidae_NA_NA_BOLD_AAP8994_size.83","Insecta","Diptera","Chironomidae","NA","NA"
"R4375.8__Insecta_Diptera_Muscidae_Phaonia_NA_BOLD_AAE6220_size.1960","Insecta","Diptera","Muscidae","Phaonia","NA"
"R3104.107__Insecta_Diptera_Cecidomyiidae_NA_NA_BOLD_ACK7006_size.11","Insecta","Diptera","Cecidomyiidae","NA","NA"
"R4085.2__Insecta_Lepidoptera_Gelechiidae_Monochroa_NA_BOLD_ACA7615_size.66","Insecta","Lepidoptera","Gelechiidae","Monochroa","NA"
"R4968.2__Insecta_Diptera_NA_NA_NA_BOLD_ACQ0523_size.482","Insecta","Diptera","NA","NA","NA"
"R7043.2__Insecta_Hymenoptera_Apidae_Apis_NA_BOLD_AAA2326_size.2643","Insecta","Hymenoptera","Apidae","Apis","NA"
"R5247.10__Insecta_Diptera_Cecidomyiidae_NA_NA_BOLD_ACI6526_size.32","Insecta","Diptera","Cecidomyiidae","NA","NA"
"R6299.25__Insecta_Lepidoptera_Geometridae_Trichodezia_californiata_BOLD_ACG0970_size.1870","Insecta","Lepidoptera","Geometridae","Trichodezia","NA"
"R5014.24__Insecta_Diptera_Hybotidae_Hoplocyrtoma_procera_BOLD_ABY3316_size.49","Insecta","Diptera","Hybotidae","Hoplocyrtoma","NA"
"R1266.274__Insecta_Coleoptera_NA_NA_NA_BOLD_ABW1434_size.10","Insecta","Coleoptera","NA","NA","NA"
"R3923.34__Insecta_Diptera_Limoniidae_NA_NA_BOLD_ACI9199_size.295","Insecta","Diptera","Limoniidae","NA","NA"
"R6396.4__Insecta_Coleoptera_Ampedidae_Ampedus_nigrinus_BOLD_ACU3542_size.105","Insecta","Coleoptera","Ampedidae","Ampedus","NA"
"R5429.16__Insecta_Diptera_Chironomidae_NA_NA_BOLD_ACB9611_size.44","Insecta","Diptera","Chironomidae","NA","NA"
"R4986.10__Insecta_Trichoptera_Odontoceridae_Parthina_NA_BOLD_AAD9068_size.97","Insecta","Trichoptera","Odontoceridae","Parthina","NA"
"R9669.4__Insecta_Coleoptera_NA_NA_NA_BOLD_ACX7214_size.36","Insecta","Coleoptera","NA","NA","NA"
"R5819.15__Insecta_Hymenoptera_Ichneumonidae_NA_NA_BOLD_AAU9115_size.95","Insecta","Hymenoptera","Ichneumonidae","NA","NA"
"R2718.135__Insecta_Hymenoptera_Ichneumonidae_NA_NA_BOLD_ACL1068_size.129","Insecta","Hymenoptera","Ichneumonidae","NA","NA"
"R5268.23__Insecta_Diptera_Phoridae_Megaselia_NA_BOLD_ACK7179_size.4","Insecta","Diptera","Phoridae","Megaselia","NA"
"R10654.2__Insecta_Diptera_Tachinidae_Admontia_NA_BOLD_ACI4066_size.321","Insecta","Diptera","Tachinidae","Admontia","NA"
