"otu","class","order","family","genus","species"
"R1290.3__Insecta_Hemiptera_Cicadellidae_NA_NA_BOLD_ACL9911_size.206","Insecta","Hemiptera","Cicadellidae","NA","NA"
"R7952.15__Insecta_Diptera_Dolichopodidae_NA_NA_BOLD_ACT0151_size.12","Insecta","Diptera","Dolichopodidae","NA","NA"
"R1925__Insecta_Diptera_Tabanidae_NA_NA_BOLD_AAP7672_size.3316","Insecta","Diptera","Tabanidae","NA","NA"
"R3478.21__Insecta_Diptera_Asilidae_Laphria_asackeni_BOLD_AAU2476_size.622","Insecta","Diptera","Asilidae","Laphria","NA"
"R6449.12__Insecta_Diptera_Bombyliidae_Villa_psammina_BOLD_ACE8997_size.187","Insecta","Diptera","Bombyliidae","Villa","NA"
"R5811.2__Insecta_Raphidioptera_Raphidiidae_Agulla_unicolor_BOLD_ACA6995_size.789","Insecta","Raphidioptera","Raphidiidae","Agulla","NA"
"R4633.2__Insecta_Lepidoptera_Geometridae_Scopula_quinquelinearia_BOLD_ACF4078_size.286","Insecta","Lepidoptera","Geometridae","Scopula","NA"
"R505.133__Insecta_Coleoptera_Cerambycidae_Monochamus_NA_BOLD_AAA9568_size.299","Insecta","Coleoptera","Cerambycidae","Monochamus","NA"
"R4213.5__Insecta_Coleoptera_Cerambycidae_Necydalis_laevicollis_BOLD_ACT4277_size.998","Insecta","Coleoptera","Cerambycidae","Necydalis","NA"
"R8845.4__Insecta_Diptera_NA_NA_NA_BOLD_AAG3915_size.1216","Insecta","Diptera","NA","NA","NA"
"R401.30__Insecta_Diptera_Syrphidae_Eupeodes_lapponicus_BOLD_AAB5561_size.512","Insecta","Diptera","Syrphidae","Eupeodes","NA"
"R7319.2__Insecta_Orthoptera_NA_NA_NA_BOLD_ACP1661_size.175","Insecta","Orthoptera","NA","NA","NA"
"R1693.110__Insecta_Lepidoptera_Gelechiidae_Neotelphusa_NA_BOLD_AAA6353_size.103","Insecta","Lepidoptera","Gelechiidae","Neotelphusa","NA"
"R3962.3__Insecta_Coleoptera_Cleridae_Enoclerus_NA_BOLD_AAG5716_size.257","Insecta","Coleoptera","Cleridae","Enoclerus","NA"
"R2812.30__Insecta_Diptera_Dolichopodidae_Medetera_NA_BOLD_ACD0799_size.39","Insecta","Diptera","Dolichopodidae","Medetera","NA"
"R5718.21__Insecta_Lepidoptera_Blastobasidae_Hypatopa_NA_BOLD_ABW8333_size.187","Insecta","Lepidoptera","Blastobasidae","Hypatopa","NA"
"R3661.62__Insecta_Diptera_Heleomyzidae_Suillia_NA_BOLD_AAG0466_size.103","Insecta","Diptera","Heleomyzidae","Suillia","NA"
"R5701.3__Insecta_Diptera_Cecidomyiidae_NA_NA_BOLD_AAU9541_size.8","Insecta","Diptera","Cecidomyiidae","NA","NA"
"R3115.137__Insecta_Hymenoptera_Ichneumonidae_NA_NA_BOLD_AAI2298_size.11","Insecta","Hymenoptera","Ichneumonidae","NA","NA"
"R4391__Insecta_Diptera_Mycetophilidae_Syntemna_NA_BOLD_ACN8370_size.116","Insecta","Diptera","Mycetophilidae","Syntemna","NA"
"R3862.4__Insecta_Hymenoptera_Pompilidae_Aporus_NA_BOLD_ACQ4467_size.768","Insecta","Hymenoptera","Pompilidae","Aporus","NA"
"R2132.10__Insecta_Coleoptera_NA_NA_NA_BOLD_ADC1012_size.170","Insecta","Coleoptera","NA","NA","NA"
"R7824.18__Insecta_Diptera_Fanniidae_NA_NA_BOLD_AAP6343_size.247","Insecta","Diptera","Fanniidae","NA","NA"
"R3318.4__Insecta_Hymenoptera_Braconidae_Orgilus_NA_BOLD_AAC5505_size.24","Insecta","Hymenoptera","Braconidae","Orgilus","NA"
"R1646.3__Insecta_Diptera_Tabanidae_Chrysops_NA_BOLD_AAG4564_size.2038","Insecta","Diptera","Tabanidae","Chrysops","NA"
"R2987.3__Insecta_Coleoptera_Cerambycidae_Lepturopsis_dolorosa_BOLD_AAJ1376_size.5036","Insecta","Coleoptera","Cerambycidae","Lepturopsis","NA"
"R3851.4__Insecta_Hymenoptera_Scelionidae_Telenomus_NA_BOLD_ACX1641_size.80","Insecta","Hymenoptera","Scelionidae","Telenomus","NA"
"R1589.2__Insecta_Lepidoptera_Noctuidae_Syngrapha_viridisigma_BOLD_AAA8795_size.1227","Insecta","Lepidoptera","Noctuidae","Syngrapha","NA"
"R7873.4__Insecta_Diptera_Anthomyiidae_Hylemya_NA_BOLD_AAI2273_size.1714","Insecta","Diptera","Anthomyiidae","Hylemya","NA"
"R4527.20__Insecta_Coleoptera_Cleridae_Enoclerus_NA_BOLD_ACI7539_size.962","Insecta","Coleoptera","Cleridae","Enoclerus","NA"
"R5510.17__Insecta_Coleoptera_Melandryidae_Serropalpus_substriatus_BOLD_AAH9565_size.347","Insecta","Coleoptera","Melandryidae","Serropalpus","NA"
"R3035.77__Insecta_Lepidoptera_Crambidae_Eudonia_NA_BOLD_ABZ0499_size.22","Insecta","Lepidoptera","Crambidae","Eudonia","NA"
"R2562.107__Insecta_Diptera_Phoridae_Pseudacteon_NA_BOLD_AAU5624_size.10","Insecta","Diptera","Phoridae","Pseudacteon","NA"
"R2323.36__Insecta_Diptera_Phoridae_Megaselia_NA_BOLD_ACU3001_size.9","Insecta","Diptera","Phoridae","Megaselia","NA"
"R4152.85__Insecta_Hymenoptera_Ichneumonidae_Lissonota_NA_BOLD_AAD8806_size.12","Insecta","Hymenoptera","Ichneumonidae","Lissonota","NA"
"R2383.110__Insecta_Diptera_Mycetophilidae_Ectrepesthoneura_NA_BOLD_ACC4437_size.28","Insecta","Diptera","Mycetophilidae","Ectrepesthoneura","NA"
"R5004.17__Insecta_Lepidoptera_Crambidae_Eudonia_NA_BOLD_AAE4522_size.134","Insecta","Lepidoptera","Crambidae","Eudonia","NA"
"R9160.3__Insecta_Hymenoptera_Ichneumonidae_NA_NA_BOLD_AAH1913_size.73","Insecta","Hymenoptera","Ichneumonidae","NA","NA"
"R1614.48__Insecta_Lepidoptera_Cosmopterigidae_Sorhagenia_nimbosus_BOLD_AAE8668_size.91","Insecta","Lepidoptera","Cosmopterigidae","Sorhagenia","NA"
"R5506.16__Insecta_Diptera_Phoridae_Megaselia_NA_BOLD_ACT8182_size.18","Insecta","Diptera","Phoridae","Megaselia","NA"
"R5062.38__Insecta_Diptera_Tachinidae_Allophorocera_NA_BOLD_ACU5190_size.700","Insecta","Diptera","Tachinidae","Allophorocera","NA"
"R3812.3__Insecta_Lepidoptera_Geometridae_Ultralcis_latipennis_BOLD_AAC8430_size.460","Insecta","Lepidoptera","Geometridae","Ultralcis","NA"
"R10779__Insecta_Diptera_Dolichopodidae_NA_NA_BOLD_ACT7566_size.96","Insecta","Diptera","Dolichopodidae","NA","NA"
"R6412.10__Insecta_Coleoptera_Cerambycidae_Eumichthus_oedipus_BOLD_AAY3573_size.166","Insecta","Coleoptera","Cerambycidae","Eumichthus","NA"
"R4583.38__Insecta_Diptera_Sciaridae_NA_NA_BOLD_ACJ8021_size.12","Insecta","Diptera","Sciaridae","NA","NA"
"R4113.82__Insecta_Diptera_NA_NA_NA_BOLD_AAN9015_size.107","Insecta","Diptera","NA","NA","NA"
"R4357.77__Insecta_Diptera_Cecidomyiidae_NA_NA_BOLD_AAP6848_size.20","Insecta","Diptera","Cecidomyiidae","NA","NA"
"R3238.103__Insecta_Diptera_Cecidomyiidae_NA_NA_BOLD_AAH3621_size.9","Insecta","Diptera","Cecidomyiidae","NA","NA"
"R2079.194__Insecta_Lepidoptera_Bucculatricidae_Bucculatrix_NA_BOLD_AAH4689_size.8","Insecta","Lepidoptera","Bucculatricidae","Bucculatrix","NA"
"R2856.2__Insecta_Lepidoptera_Geometridae_Eupithecia_maestosa_BOLD_AAA7998_size.978","Insecta","Lepidoptera","Geometridae","Eupithecia","NA"
"R4524.40__Insecta_Lepidoptera_Tortricidae_Thaumatographa_youngiella_BOLD_AAE7723_size.201","Insecta","Lepidoptera","Tortricidae","Thaumatographa","NA"
"R5149.37__Insecta_Hymenoptera_Crabronidae_Trypoxylon_clavicerum_BOLD_AAN3726_size.40","Insecta","Hymenoptera","Crabronidae","Trypoxylon","NA"
"R5175.8__Insecta_Diptera_Cecidomyiidae_NA_NA_BOLD_ACX4987_size.20","Insecta","Diptera","Cecidomyiidae","NA","NA"
"R1966.2__Insecta_Coleoptera_NA_NA_NA_BOLD_ACG3777_size.1352","Insecta","Coleoptera","NA","NA","NA"
"R3809.42__Insecta_Lepidoptera_Gracillariidae_Caloptilia_alnivorella_BOLD_AAB7939_size.114","Insecta","Lepidoptera","Gracillariidae","Caloptilia","NA"
"R3179.5__Insecta_Lepidoptera_Tineidae_NA_NA_BOLD_ADC2083_size.698","Insecta","Lepidoptera","Tineidae","NA","NA"
"R5369.9__Insecta_Coleoptera_Ampedidae_Ampedus_phoenicopterus_BOLD_ACA3174_size.317","Insecta","Coleoptera","Ampedidae","Ampedus","NA"
"R10996__Arachnida_Araneae_Gnaphosidae_Sergiolus_montanus_BOLD_AAP4007_size.311","Arachnida","Araneae","Gnaphosidae","Sergiolus","NA"
"R2359.110__Insecta_Lepidoptera_NA_NA_NA_BOLD_ACG2659_size.11","Insecta","Lepidoptera","NA","NA","NA"
"R7989.14__Insecta_Neuroptera_NA_NA_NA_BOLD_AAG2021_size.54","Insecta","Neuroptera","NA","NA","NA"
"R3595.44__Insecta_Coleoptera_Ampedidae_Ampedus_rhodopus_BOLD_ACC8889_size.446","Insecta","Coleoptera","Ampedidae","Ampedus","NA"
"R2484.140__Insecta_Neuroptera_Chrysopidae_Nothochrysa_NA_BOLD_ACF9634_size.17","Insecta","Neuroptera","Chrysopidae","Nothochrysa","NA"
"R4211.4__Insecta_Coleoptera_Elateridae_Hemicrepidius_NA_BOLD_ACG6952_size.3888","Insecta","Coleoptera","Elateridae","Hemicrepidius","NA"
"R1423.113__Insecta_Coleoptera_NA_NA_NA_BOLD_ACI2933_size.19","Insecta","Coleoptera","NA","NA","NA"
"R3254.69__Insecta_Diptera_Phoridae_Megaselia_NA_BOLD_AAG3314_size.30","Insecta","Diptera","Phoridae","Megaselia","NA"
"R10647.6__Insecta_Hymenoptera_Ichneumonidae_Diadromus_NA_BOLD_ACD3537_size.29","Insecta","Hymenoptera","Ichneumonidae","Diadromus","NA"
"R6691.4__Insecta_Coleoptera_Melandryidae_Scotochroa_basalis_BOLD_AAL8069_size.450","Insecta","Coleoptera","Melandryidae","Scotochroa","NA"
"R6275.13__Insecta_Hymenoptera_Formicidae_Formica_NA_BOLD_AAD8688_size.79","Insecta","Hymenoptera","Formicidae","Formica","NA"
"R4118.30__Insecta_Lepidoptera_Crambidae_Eudonia_NA_BOLD_AAD2838_size.1487","Insecta","Lepidoptera","Crambidae","Eudonia","NA"
"R1505.122__Insecta_Diptera_Phoridae_Megaselia_NA_BOLD_AAU5627_size.51","Insecta","Diptera","Phoridae","Megaselia","NA"
"R3228.45__Insecta_Diptera_Cecidomyiidae_NA_NA_BOLD_ACB9710_size.80","Insecta","Diptera","Cecidomyiidae","NA","NA"
"R1.79__Insecta_Orthoptera_Rhaphidophoridae_Pristoceuthophilus_NA_BOLD_AAU6113_size.884","Insecta","Orthoptera","Rhaphidophoridae","Pristoceuthophilus","NA"
"R1.212__Insecta_Coleoptera_Bostrichidae_Melalgus_confertus_BOLD_ACU3155_size.334","Insecta","Coleoptera","Bostrichidae","Melalgus","NA"
"R3140.45__Insecta_Lepidoptera_Crambidae_Catoptria_oregonicus_BOLD_ACE2907_size.256","Insecta","Lepidoptera","Crambidae","Catoptria","NA"
"R674.115__Insecta_Lepidoptera_Pyralidae_Ephestiodes_gilvescentella_BOLD_AAA2650_size.70","Insecta","Lepidoptera","Pyralidae","Ephestiodes","NA"
"R636.115__Insecta_Diptera_NA_NA_NA_BOLD_ABV1408_size.38","Insecta","Diptera","NA","NA","NA"
"R5765.3__Insecta_Coleoptera_NA_NA_NA_BOLD_AAP7198_size.122","Insecta","Coleoptera","NA","NA","NA"
"R4204.16__Insecta_Lepidoptera_Symmocidae_Glyphidocera_septentrionella_BOLD_AAH4943_size.353","Insecta","Lepidoptera","Symmocidae","Glyphidocera","NA"
"R2542.64__Insecta_Lepidoptera_Noctuidae_Abagrotis_trigona_BOLD_ABY3181_size.542","Insecta","Lepidoptera","Noctuidae","Abagrotis","NA"
"R5997.26__Insecta_Lepidoptera_Tortricidae_Argyrotaenia_provana_BOLD_AAB6362_size.1057","Insecta","Lepidoptera","Tortricidae","Argyrotaenia","NA"
"R9626__Insecta_Lepidoptera_Tortricidae_Rhopobota_naevana_BOLD_AAA9812_size.304","Insecta","Lepidoptera","Tortricidae","Rhopobota","NA"
"R5909.15__Insecta_Coleoptera_Oedemeridae_Nacerdes_NA_BOLD_ACA8932_size.434","Insecta","Coleoptera","Oedemeridae","Nacerdes","NA"
"R2014.4__Insecta_Coleoptera_NA_NA_NA_BOLD_ABW9891_size.811","Insecta","Coleoptera","NA","NA","NA"
"R4502.29__Insecta_Coleoptera_Coccinellidae_Psyllobora_borealis_BOLD_ACA7954_size.115","Insecta","Coleoptera","Coccinellidae","Psyllobora","NA"
"R4045.2__Insecta_Lepidoptera_Blastobasidae_Blastobasis_glandulella_BOLD_AAG8588_size.365","Insecta","Lepidoptera","Blastobasidae","Blastobasis","NA"
"R3027.4__Insecta_Lepidoptera_Gelechiidae_Bryotropha_NA_BOLD_AAC5850_size.177","Insecta","Lepidoptera","Gelechiidae","Bryotropha","NA"
"R6831.43__Insecta_Lepidoptera_Gelechiidae_Bryotropha_similis_BOLD_AAA2297_size.27","Insecta","Lepidoptera","Gelechiidae","Bryotropha","NA"
"R2445.84__Insecta_Diptera_Tachinidae_Peleteria_NA_BOLD_ABY4454_size.321","Insecta","Diptera","Tachinidae","Peleteria","NA"
"R5034.17__Insecta_Lepidoptera_Hesperiidae_Ochlodes_sylvanoides_BOLD_AAC3799_size.2756","Insecta","Lepidoptera","Hesperiidae","Ochlodes","NA"
"R2060.21__Insecta_Diptera_Asilidae_Machimus_vescus_BOLD_AAU2341_size.1041","Insecta","Diptera","Asilidae","Machimus","NA"
"R4823.17__Insecta_Lepidoptera_Noctuidae_Adelphagrotis_indeterminata_BOLD_ABZ5978_size.153","Insecta","Lepidoptera","Noctuidae","Adelphagrotis","NA"
"R4612.18__Insecta_Lepidoptera_NA_NA_NA_BOLD_ACG8924_size.439","Insecta","Lepidoptera","NA","NA","NA"
"R2201.21__Insecta_Diptera_Asilidae_Cophura_brevicornis_BOLD_AAV9337_size.185","Insecta","Diptera","Asilidae","Cophura","NA"
"R5864.13__Insecta_Hemiptera_Cicadellidae_Osbornellus_NA_BOLD_ACF6049_size.28","Insecta","Hemiptera","Cicadellidae","Osbornellus","NA"
"R1419.125__Insecta_Diptera_Tachinidae_Exorista_dydas_BOLD_ABZ7039_size.132","Insecta","Diptera","Tachinidae","Exorista","NA"
