"tr","lambda.env","alpha.env","lambda.sp","alpha.sp","hidden.ind","drop","acti.sp","lambda.bio","alpha.bio","AUC.train_mean","ll.train_mean","nagel.train_mean","plr.train_mean","tjur.train_mean","cor.train_mean","auc.lt5.train_mean","AUC.test_mean","ll.test_mean","nagel.test_mean","plr.test_mean","tjur.test_mean","cor.test_mean","auc.lt5.test_mean"
842,0.4,0.8,1,1,2,0.1,"relu",0.1,1,0.844560380252039,-23.8658526277325,0.330702200189985,3.28696691412316,0.169693559577455,0.466912495289498,0.2,0.671470905500259,-3.78789536075257,-0.252237842803498,2.74912535212701,0.0764260966711041,0.237236374386458,33.5
843,0.8,0.8,0.25,1,1,0.1,"relu",0.3,0.1,0.857297897204568,-23.1008950881016,0.359082853143333,3.72249517073577,0.196464752419044,0.496028234877127,0.3,0.659056709143123,-3.79525140497395,-0.352860079705392,2.55565858838836,0.0765659883649885,0.227379617550685,36.7
844,0,0.2,1,0.75,1,0.4,"relu",0.1,0.9,0.776047405801668,-27.0525182132313,0.200482582015631,1.90209280470038,0.0874296521637353,0.348894313694505,1.3,0.643229761948647,-3.53141741961686,-0.0477694178782617,1.53725732515334,0.046945486660492,0.205439614168224,41.5
845,0.4,0.4,0.5,0.25,1,0.3,"relu",0,0,0.746600730814441,-28.3541093328178,0.162741246932413,1.68092096546781,0.0940926736078184,0.305473476031278,3,0.639491384237943,-3.57768697807169,-0.0226911421186627,1.41313560798502,0.0497836870623776,0.195583228159271,42.2
846,0.4,0.2,0,0,2,0.2,"relu",0.8,0.9,0.834061135787974,-24.3753771108226,0.310479388329627,3.07816921757395,0.16765758463283,0.452368863917851,0.1,0.658833609632018,-3.72657149413808,-0.164076856175831,2.68013037616841,0.077426952670078,0.233165530445887,37.2
847,0,0.2,0.25,0.25,1,0.4,"relu",0.1,0.3,0.791648643965982,-26.6404537018905,0.219043152996837,2.04148533334993,0.0970485276937662,0.371199494103018,0.3,0.667087720931751,-3.48460781881382,0.00153403830541243,1.70083068194864,0.0576982636387363,0.239762031501669,36.3
848,0,0.4,0.5,0.25,1,0.2,"relu",0.7,0.2,0.850386206809343,-23.8061187310106,0.332111755731793,3.10463832310642,0.166909600425004,0.474890658357783,0,0.670515123864278,-3.66809503900272,-0.293674926833828,2.22245443406079,0.0741005758812261,0.250758330697507,36.4
849,1,1,0,0.25,2,0.3,"relu",0.6,0.9,0.793502998258145,-26.0201776533853,0.243431280125835,2.4549778763595,0.134047786861217,0.385010226268446,1,0.644733548188635,-3.68751865640953,-0.123127335381363,1.7941085920383,0.0629445346501774,0.206694402968232,40.1
850,0.2,0.4,0.25,0.5,2,0.2,"relu",0.2,0.3,0.804952512755207,-25.612328633183,0.258560629313717,2.50366997994832,0.12989376990009,0.397007025483124,0.6,0.662815091481543,-3.6255488539877,-0.145846088683147,1.84658921082874,0.0643281890368177,0.230423141651462,37.2
851,0.4,0.6,0.75,0.5,2,0.1,"relu",0.8,1,0.85191358888875,-23.4541203087597,0.346301129561297,3.4428552390638,0.182625943868894,0.480825127293709,0.1,0.670269179003159,-3.76191290680277,-0.399364123054604,31.3877529243793,0.0779816756491162,0.238020821397173,36.5
852,0,0,0,0,1,0.1,"relu",0.8,0.8,0.883553201326469,-21.4622785902063,0.422709773771132,4.82247478325812,0.238114249226035,0.5566193092602,0.2,0.666446696577261,-4.19713936535016,-0.743624196064319,4.05582067872334,0.0845313274605588,0.225133500630647,36.8
853,0.8,1,0.75,0,2,0.2,"relu",0.3,0.7,0.803309544520817,-25.628146324823,0.257474138763622,2.47645133480686,0.132257764461703,0.396516837989795,0.9,0.650080513393543,-3.63042551567509,-0.277290272817621,1.95376198386342,0.0644449323178023,0.21408732307845,38.6
854,0.2,1,0,0.25,1,0.1,"relu",0.6,0.9,0.884039962972449,-21.4137060997704,0.424020723439116,4.82430091249311,0.245107014334141,0.554223869025334,0,0.665621178058124,-4.0257118446192,-0.612611080120341,4.79912961814555,0.0892442910403477,0.23736667836249,37.9
855,1,0.6,0.25,1,2,0.4,"relu",1,0.4,0.725383447013371,-28.3892925021862,0.142455669945527,1.63384194933917,0.073222721153419,0.286355780452092,7.1,0.624955771979196,-3.62165314422124,-0.130717366893566,1.37629906459012,0.0411879626887789,0.171971977889561,43
856,0.2,0.4,0.25,0.25,1,0.1,"relu",0.9,0.9,0.858219128331691,-22.9850898179986,0.365423235062747,3.89230440483563,0.197312320492519,0.497151013886881,0.1,0.655371399399015,-3.85448157799753,-0.32283070823771,4.25776270016387,0.0766100481357536,0.225934350860217,39.5
857,0.8,1,0.5,0.75,2,0.3,"relu",0.7,0.1,0.748573527832282,-27.4683421917777,0.179802718099331,1.89147795324616,0.0908402057589764,0.314477124236221,4,0.638093592258169,-3.54371296132002,-0.0506599877102067,1.60876558647216,0.0510413690216265,0.203281643263567,41.9
858,0.8,0.6,0.75,0,1,0.1,"relu",0.2,0.2,0.854170419262811,-23.1723215655933,0.356879495905213,3.72250329922257,0.193351397954786,0.487140965791767,0.2,0.659835495862212,-3.94446621520251,-0.541340532726636,2.85576171304484,0.0749051457339357,0.227352970245585,37.8
859,0.2,0.6,0.5,1,1,0.3,"relu",0.8,0.3,0.789411298450239,-26.2841148165889,0.229904300796091,2.21580117516358,0.120233227561501,0.377079579181091,1.6,0.649057469867098,-3.59019746661351,-0.096398664774727,1.74614405402129,0.0596620540131971,0.213457852441544,39.8
860,0,0.4,0,0,1,0.2,"relu",0.8,0.7,0.881672927453498,-22.0947594491881,0.399498794243894,4.00759709407644,0.215375838113834,0.541224148327144,0,0.670049714941727,-3.89451897072292,-0.468117415340069,3.5014051596611,0.0886347193456111,0.244511301890005,35.6
861,0,0.2,1,0.75,2,0.4,"relu",0.6,0.6,0.761518066928689,-27.5332349029191,0.182134624723633,1.81263722121676,0.0775045819618549,0.325533250355399,2.4,0.655216088490542,-3.51554779114408,-0.00901752773835515,1.64375242189484,0.0472418038421862,0.222588741274286,38.7
862,0.8,0.6,0.75,1,2,0.2,"relu",0.4,0.2,0.816504425472294,-25.2664904906686,0.272763928726456,2.55362925247696,0.136413702192304,0.418414491260601,0.6,0.676308200685973,-3.52760546985835,-0.0627820616619479,2.06166344661907,0.0704112658511859,0.256830341212957,34.5
863,0.6,1,0.25,0.25,2,0.1,"relu",0.3,0,0.847483639637823,-23.6359603824269,0.338624370004442,3.36540724511917,0.181370217749428,0.473522029436799,0.2,0.655355213835017,-3.83890161813936,-0.406016475266176,2.51440492280044,0.0782868734247254,0.224718734308525,37.4
864,0.4,1,0.25,1,2,0.2,"relu",0.4,0.4,0.82753265200569,-24.9468037578336,0.284956613850589,2.61508533737589,0.143488160496963,0.436186238652149,0.2,0.680641696392863,-3.51705928601904,-0.052855508930709,1.96118146248387,0.07257533065489,0.25242188272218,33
865,0.2,0.6,0.75,0.25,1,0.1,"relu",0.3,0.2,0.854266773840637,-23.2202884005879,0.355356775813338,3.68579838199806,0.195077044082327,0.488758752593668,0,0.672344445915651,-3.79065102114163,-0.376977667758256,2.89414901537784,0.0826731127383043,0.246701034369789,35.8
866,0,0.6,1,0.75,1,0.3,"relu",0.7,0.4,0.822725619936113,-25.3406864100993,0.271736931110005,2.44526875637827,0.126014481202748,0.420314785729669,0.1,0.663899137916721,-3.51586847880547,-0.0735592082620458,1.7533145551484,0.0608587649795851,0.243337725504768,37.2
867,0.2,0.4,0,0.25,2,0.4,"relu",0.2,0.1,0.74813007690372,-27.6521646138308,0.176809771260685,1.93283205190178,0.102834386035368,0.316338451034892,3.4,0.625813724602608,-3.7029436574558,-0.0950916851141737,1.49761949870811,0.0489873672965807,0.171892173911192,42
868,0.4,0.6,1,0.5,2,0.1,"relu",0.1,0.9,0.85324127062754,-23.3685300460749,0.349405338881099,3.52896819799198,0.186195792319437,0.482408077885842,0.1,0.65759111840547,-3.77096998514587,-0.325067566584873,2.38335095247121,0.0797344311364484,0.23490834300939,37.6
869,0.8,0.8,0.5,0.75,2,0.4,"relu",0.4,1,0.690201728530856,-29.075260536408,0.111048518290514,1.50596344268635,0.0585613227807396,0.235980661042697,15.3,0.621456962994162,-3.50858719141079,0.0115005061470625,1.33848874309114,0.0346797227659292,0.175277537974104,42.1
870,0,0,0.25,0.25,1,0.2,"relu",0.5,0.4,0.85406572116469,-23.6819436837727,0.337386366071077,3.14988978547024,0.168188194016059,0.480304699050084,0.1,0.661613332907984,-3.74088455837828,-0.302378674498179,2.54467767486279,0.0701554975625683,0.227169817176798,35.3
871,0.6,0.6,0.75,1,1,0.1,"relu",0.1,0.2,0.872485206675321,-22.3392920602099,0.38918830969377,4.10939584848504,0.215230548976148,0.525257687429533,0,0.677411203072796,-3.79567004268875,-0.292564154951935,3.09991235961021,0.0866520646653177,0.250026231539227,33
872,1,0.8,0.75,1,2,0.4,"relu",0.9,0.2,0.700979323395504,-28.8999903575311,0.119307515184094,1.53729033975742,0.0610756154821469,0.251103313915179,11.7,0.636146258480739,-3.53174414216418,-0.0104377562123316,1.33928012424326,0.0400497988306692,0.190776647917632,42.6
873,0,0.4,0,0.25,1,0.3,"relu",0.5,0.7,0.854254741434201,-23.7202685781759,0.338682787012651,3.25913514175605,0.17394412961726,0.485108163197885,0,0.672924496340046,-3.72169403340745,-0.221520582397296,2.55107265405117,0.0789316391500569,0.247569717640687,34.6
874,0.4,1,0.25,1,1,0.3,"relu",0.1,1,0.791567008716888,-26.154496760436,0.233343076991954,2.22429595748067,0.122348093469129,0.379743362412546,1.5,0.662251311444681,-3.50045033523359,-0.00527017011969197,1.81045769601858,0.0666626167991264,0.237214117539723,38.2
875,0.6,0.2,0,0.5,1,0.4,"relu",0.5,0.9,0.769013920619476,-26.9194281945244,0.20641144742431,2.15008701722755,0.117538517282494,0.348289908699712,1.6,0.638231676592227,-3.6406618182425,-0.0705844153377801,2.06388382541739,0.0593402517639761,0.195186739915601,40.4
876,0.8,0.8,1,1,1,0.4,"relu",0,0.8,0.697712984372369,-30.2764885256161,0.105132715562771,1.40796124366485,0.0687334455230395,0.240535934545206,9.9,0.610688237075489,-3.71630178753449,-0.0126077102445409,1.22676486997957,0.0385772257648309,0.152842799745822,46.8
877,0.4,0.2,1,0.25,2,0.4,"relu",0.3,0.7,0.687702297411615,-29.1642580214881,0.108685434356696,1.48920027783591,0.0578326587312654,0.22862211025251,13.1,0.630698840070163,-3.53276747415512,0.00456635190220407,1.37280217996879,0.0375763822831719,0.188978879743323,44
878,0,0,0.5,0.5,2,0.3,"relu",0.8,0.2,0.798666052483014,-26.2858773299799,0.232498175444369,2.12029587776067,0.104193131837533,0.381853314453454,0.5,0.653678033998409,-3.56262598858439,-0.0630670417292362,1.64836801303053,0.053780211685734,0.2204617721205,37.7
879,0.6,0.8,0,0,2,0.2,"relu",0.8,0.7,0.83948843224618,-24.1008659125665,0.321051218015635,3.19117554972952,0.17273248553338,0.461618200100742,0.1,0.660662061070544,-3.74183101816836,-0.212019708044752,2.36670669344872,0.0758476584521985,0.228487426440992,36.7
880,1,1,0.25,1,1,0.4,"relu",0.4,0.8,0.751129575802038,-27.6139183781403,0.174716653994228,1.83196234951621,0.0938872302241948,0.324398059831909,4.2,0.632667569612187,-3.52943701310669,-0.00708083649358702,1.51836389065702,0.0461044947598183,0.193459849042876,43.9
881,0.2,0.6,1,0.75,2,0.1,"relu",0.9,0.5,0.840875978245914,-23.9375796099696,0.327544181058591,3.35775414736058,0.170677247299138,0.460605385981826,0.5,0.675135396570181,-3.72557066036887,-0.220461567259628,3.12045429672462,0.0789240281896415,0.249201452661903,34.1
882,1,0.2,0,0.5,2,0.1,"relu",0.4,0.9,0.873016710844414,-22.2966172727608,0.392154915225235,4.23100360805857,0.218666921296388,0.526041260659288,0.1,0.660134664890476,-3.86533959479621,-0.399160891575826,4.78919142218307,0.0874021509663173,0.238883212305505,36.9
