"tr","lambda.env","alpha.env","lambda.sp","alpha.sp","hidden.ind","drop","acti.sp","lambda.bio","alpha.bio","auc_explain","auc_test"
78,0.3,0.9,1,1,1,0.5,"relu",0,0.2,0.753466517575333,0.606758330393431
79,0.3,0.7,0.25,0.75,2,0.1,"relu",0.5,0.5,0.901577550924165,0.645340022842742
80,0.1,1,0.75,0.75,1,0.1,"relu",0.1,0,0.893160175225562,0.653657371773444
81,0.3,0.9,0.25,0.75,2,0.1,"relu",0.7,0.1,0.895490774114948,0.665854959564065
82,0.3,1,0.25,1,2,0.3,"relu",0.2,0.5,0.848302483848682,0.669453193046814
83,0.2,0.8,0.5,1,1,0.3,"relu",0,0.6,0.82972144545483,0.64072952149194
84,0,0.8,0,0.5,1,0.1,"relu",0.2,0.7,0.929514506049364,0.651545194178031
85,0.3,0.7,0.75,0,1,0.3,"relu",0.5,0,0.843900972306522,0.654718995925266
86,0.3,0.9,0.75,0.75,1,0.5,"relu",0.9,1,0.737682836836762,0.633349217498715
87,0.2,0.7,0.75,0.75,2,0.3,"relu",0.8,0.4,0.827044909458206,0.656251578240009
88,0.1,1,0.25,0.75,1,0.3,"relu",0,1,0.826586160888008,0.647139381928665
89,0.3,0.7,0.5,0.25,1,0.1,"relu",0.1,0.5,0.894241905945362,0.656413488205387
90,0.3,0.8,0.25,0,1,0.3,"relu",0.3,0.6,0.858642528268376,0.655657160136178
91,0.3,0.7,0,0,1,0.3,"relu",0.3,0.4,0.874232331602781,0.645808143989395
92,0.1,0.9,0.25,0.25,2,0.1,"relu",1,0.5,0.894448737752096,0.662993921094824
93,0.1,0.8,0,0,1,0.3,"relu",1,0.7,0.875564616295515,0.648830407928275
94,0.3,0.8,0,0,2,0.3,"relu",0.3,0.2,0.853406305829512,0.641378228802653
95,0.2,0.9,0.75,1,2,0.3,"relu",0.8,0.8,0.833531785461769,0.671519581918483
96,0,1,0,0.5,2,0.1,"relu",0,0.2,0.888490021987746,0.636802831174589
97,0.1,0.8,1,0.5,2,0.1,"relu",0.2,0.4,0.89755024393933,0.651535307374287
98,0.1,0.9,0,0.75,1,0.5,"relu",0.9,0.4,0.790146074064803,0.611879463010022
99,0.1,1,1,0,1,0.3,"relu",0.4,0.4,0.851494669739206,0.661439357411993
100,0.1,0.9,0.75,1,1,0.5,"relu",0.1,0.7,0.776915367924862,0.632708715046478
101,0.1,0.7,0,1,2,0.5,"relu",1,0.8,0.762664997505247,0.587600233770594
102,0,0.7,0.75,0.5,1,0.1,"relu",0.6,0.5,0.904310787585036,0.654497174874842
103,0.2,0.7,0.25,1,1,0.3,"relu",0.5,1,0.862821306268041,0.664284569922495
104,0.2,0.9,1,0.75,2,0.3,"relu",0.6,0.3,0.820903717688003,0.661040626267689
105,0.3,0.9,0.5,0,2,0.3,"relu",0.7,0.5,0.822880605419361,0.658762257496458
106,0.3,1,1,0.75,1,0.5,"relu",0.3,0.6,0.742793124501719,0.633147159402001
107,0.2,1,0.75,0.75,2,0.1,"relu",0.5,0.8,0.899850611896252,0.659491994024587
108,0.2,0.8,0.25,1,2,0.3,"relu",0,0.9,0.802957522027491,0.626911610697164
109,0.2,0.7,0,0.75,1,0.3,"relu",0.5,0.1,0.883402795488634,0.655846891294489
110,0,0.8,0.5,1,2,0.5,"relu",1,0.5,0.799748394754289,0.637333818674936
111,0,0.7,1,0.25,1,0.3,"relu",0.2,1,0.864013055034905,0.659624137598867
112,0,1,0.75,0,1,0.5,"relu",0.8,0.2,0.806873552007352,0.648502233255782
113,0.3,0.8,0.75,0,1,0.1,"relu",0.3,0.6,0.90364382234355,0.656788350672718
114,0.3,0.9,0.5,1,1,0.3,"relu",0.5,0,0.865713997986484,0.660124093443903
115,0.2,1,0.5,0.5,2,0.3,"relu",0.9,0.9,0.82248020323825,0.661607263939737
116,0,0.9,0.25,0.25,1,0.3,"relu",0.4,0.9,0.868996118486961,0.656323039250516
117,0.2,0.8,0,0.25,1,0.1,"relu",0.6,0.2,0.915260407146679,0.645123064601838
118,0.2,1,0,1,1,0.3,"relu",0.3,0,0.875347617097837,0.654270052476301
119,0,1,1,1,1,0.1,"relu",0,0.8,0.86037689920293,0.632539037027072
120,0.2,0.8,0.5,0.25,1,0.5,"relu",0.7,0.1,0.740289831724854,0.621137779016081
121,0.2,0.8,1,0.25,2,0.3,"relu",0.5,0.3,0.81639800891291,0.657820637087672
122,0.3,0.9,1,0,1,0.1,"relu",1,0,0.903234865821955,0.657313487550924
123,0,0.8,1,0.25,2,0.3,"relu",0.6,0.9,0.844728641241662,0.667329149497423
