"tr","lambda.env","alpha.env","lambda.sp","alpha.sp","hidden.ind","drop","acti.sp","lambda.bio","alpha.bio","AUC.train_mean","ll.train_mean","nagel.train_mean","plr.train_mean","tjur.train_mean","cor.train_mean","auc.lt5.train_mean","AUC.test_mean","ll.test_mean","nagel.test_mean","plr.test_mean","tjur.test_mean","cor.test_mean","auc.lt5.test_mean"
335,0.4,0.2,0,0.25,1,0.4,"relu",0.3,0.7,0.828994645054389,-28.4997649881786,0.328338933971003,2.37467262993751,0.186130906351658,0.502940781137223,0,0.645170890483428,-9.47119087675497,-0.063145149275038,1.50072857393635,0.076279318035808,0.208549898712066,15.8
336,0.8,0,0,1,1,0.2,"relu",0,1,0.863019673994109,-26.6838791694988,0.394109561016038,2.89222632357143,0.218400112480095,0.561195826117723,0,0.638946074983679,-10.0142729685332,-0.261069271403373,1.50303697354879,0.0760487490045376,0.202465918912348,16
337,0.2,0.4,0.75,0,2,0.4,"relu",0.9,0.6,0.775793607038567,-31.2171672272511,0.229740123205531,1.77153091306884,0.112780416762697,0.407984665216755,0,0.647605623107513,-9.13442559307352,0.0103130402862142,1.33333158611398,0.056146113047793,0.220422642735152,12.8
338,0,0.4,0,1,1,0.4,"relu",0,0.7,0.826384665813058,-29.0684827520984,0.307999273538469,2.11789132596602,0.161096334472219,0.491882118336084,0,0.631819813477266,-9.46682936660693,-0.0792655856753886,1.39640247400113,0.0663363567208683,0.195081628205629,16.4
339,0.6,0.4,0.75,0,1,0.4,"relu",0.7,0.1,0.798195324913445,-30.477415275734,0.259942484814457,1.91957902762277,0.129679528843272,0.444289136432768,0.2,0.648948061196697,-9.17532909716473,-0.00684892984570083,1.32600717766375,0.0572256190601974,0.219772827988461,12.2
340,0.2,0,0.25,1,2,0.4,"relu",0.8,0.7,0.801594250808701,-30.6883486280928,0.248360803835228,1.81233330256448,0.121520610266097,0.449927283097276,0,0.640836055596687,-9.19383772975072,0.0117838494305487,1.3121374027457,0.0539057713988372,0.210877627020853,17
341,0,0.4,0,0.75,2,0.1,"relu",0.3,0.8,0.908344266442304,-22.8750215723829,0.517148131329375,4.68897400167538,0.313301028392049,0.66292579025608,0,0.649965899070655,-10.9323661497978,-0.608747271254314,1.90989754096929,0.0996548569024011,0.216285215963434,14.6
342,0.4,0.8,1,0,1,0.3,"relu",0.5,0.5,0.848528824292033,-27.7239464898007,0.358355691986677,2.60530207535063,0.191279505923708,0.536183424657103,0,0.658656922656862,-9.40779007137785,-0.0769618342710256,1.51800232422209,0.0812597500328641,0.240621266743704,12.2
343,0.6,0.2,0.25,1,2,0.4,"relu",0.4,0.8,0.808887327633926,-30.1995279578949,0.264294739369554,1.88570522111182,0.131715410643923,0.466388124599209,0,0.65470264056953,-8.98668574764851,0.0518713682615472,1.37218086282784,0.0626917126619851,0.232277856427478,13.6
344,0.4,0.2,1,0.75,2,0.4,"relu",0.5,1,0.773588964914308,-31.3729078575822,0.222737933172298,1.70598841283081,0.108706070018502,0.405154302199727,0.4,0.642229914483635,-9.07426913447285,0.0393025415390499,1.27969812456917,0.0507991333733529,0.215957235073984,14.8
