"lambda.env","alpha.env","lambda.sp","alpha.sp","lambda.bio","alpha.bio","drop","hidden","loglike","loss","AUC.explain","AUC.test"
0.155,0.8,0.01,0.5,1,0.8,0.3,"1",5172.06787109375,83.663,0.810925284459574,0.613242972433616
0.155,0.8,0.01,0.5,0.3,0.8,0.4,"1",5362.947265625,88.271,0.7921266543397,0.62659097428652
0.155,0.8,0.01,0.6,0,1,0.2,"1",3897.4091796875,56.896,0.849567548652786,0.622824781092577
0.155,0.8,0.01,0.6,0.4,0.7,0.3,"1",4803.7451171875,80.837,0.840122329109241,0.662171678492011
0.155,0.8,0.01,0.6,0.5,0,0.4,"1",5325.5986328125,87.835,0.791349574574515,0.608800188870521
0.155,0.8,0.155,0.4,0.4,0.6,0.2,"1",4824.29638671875,83.952,0.843442252387813,0.617535378574648
0.155,0.8,0.155,0.4,0.8,0.6,0.3,"1",5346.2587890625,89.669,0.772694620133015,0.646785617211875
0.155,0.8,0.155,0.4,0.3,1,0.4,"1",5199.77734375,87.196,0.717007574046833,0.601386065901198
0.155,0.8,0.155,0.5,0,0.9,0.2,"1",4402.60400390625,62.837,0.80138520006581,0.617647571497209
0.155,0.8,0.155,0.5,0.2,0,0.3,"1",5280.19384765625,89.928,0.78044195524191,0.621919081064968
0.155,0.8,0.155,0.5,0.3,0.6,0.4,"1",5626.19921875,94.554,0.73709040731729,0.612773175937605
0.155,0.8,0.155,0.6,0.3,0.6,0.2,"1",4731.087890625,78.982,0.861156050614492,0.632452084202937
0.155,0.8,0.155,0.6,0.6,0.4,0.3,"1",5263.9599609375,87.481,0.789850433030786,0.631469849515992
0.155,0.8,0.155,0.6,0.7,0.7,0.4,"1",5618.81689453125,92.754,0.750976103060155,0.625156782925325
0.155,0.8,0.3,0.4,0,0.7,0.2,"1",4605.40625,65.518,0.750012454902294,0.614036425668992
0.155,0.8,0.3,0.4,0.1,0.1,0.3,"1",5330.72705078125,87.566,0.78401080333494,0.629818503601006
0.155,0.8,0.3,0.4,0.3,0.5,0.4,"1",5876.19677734375,95.912,0.710815701415575,0.577497150338689
0.155,0.8,0.3,0.5,0.5,0.4,0.2,"1",4922.17919921875,82.812,0.830288135551106,0.652422669055235
0.155,0.8,0.3,0.5,0.4,0.3,0.3,"1",5173.9580078125,84.388,0.803169359076521,0.661946779904207
0.155,0.8,0.3,0.5,0.9,0.7,0.4,"1",5670.23681640625,96.469,0.742453279593025,0.644866614294896
0.155,0.8,0.3,0.6,0.7,0.8,0.2,"1",4876.7509765625,79.724,0.828782691928853,0.657657757774179
