"lambda.env","alpha.env","lambda.sp","alpha.sp","lambda.bio","alpha.bio","drop","hidden","loglike","loss","AUC.explain","AUC.test","ll.explain","ll.test","nagel.explain","nagel.test"
0.01,0.9,0.01,0.4,0.3,0.3,0.3,"1",4635.85009765625,77.837,0.834173954192163,0.63068364214091,-76.8202229081722,-100.19360409647,0.410346420543796,0.0209400804443184
0.01,0.9,0.01,0.4,0.1,0,0.4,"1",4987.2783203125,83.715,0.797316047878027,0.619929823874304,-81.6308734650154,-96.759226165202,0.356935696811549,0.0886756017881544
0.01,0.9,0.01,0.5,0.1,0.2,0.2,"1",4468.1708984375,74.243,0.866644450169979,0.624360832286024,-72.1972258354129,-112.743874768368,0.444921651945035,-0.28098038471304
0.01,0.9,0.01,0.5,0.9,0.4,0.3,"1",4681.2666015625,77.677,0.830258820994079,0.629116058292849,-77.7254909640364,-102.344820536775,0.398256667376877,0.0309312113948504
0.01,0.9,0.01,0.5,0.5,0,0.4,"1",5075.86181640625,84.387,0.775583487068215,0.615886219078355,-83.3642999469736,-98.5477360107179,0.338151485907955,0.0824003586354207
0.01,0.9,0.01,0.6,0.3,0,0.2,"1",4372.5693359375,70.594,0.875153722141292,0.649730043093214,-70.8245426705883,-106.997780536222,0.464174445738413,-0.112749983235619
0.01,0.9,0.01,0.6,0.8,0.4,0.3,"1",4871.38720703125,76.802,0.814836539782655,0.612944190431935,-80.0704508458737,-97.4427994462884,0.372349426900047,0.0736384227045186
0.01,0.9,0.01,0.6,0.3,0,0.4,"1",5006.0830078125,85.007,0.784315492766866,0.613368937864888,-82.6952786855879,-97.9630553805787,0.346733193633501,0.0685640552849501
0.01,0.9,0.155,0.4,0.9,0,0.2,"1",4434.875,270.069,0.848484691228139,0.650149503481505,-75.1552535452598,-108.848651716234,0.424398385580375,-0.228563953028434
0.01,0.9,0.155,0.4,1,0.3,0.3,"1",4987.58935546875,82.893,0.773391785584442,0.658379806330041,-83.9244715151151,-91.1485201828009,0.332864486382757,0.145993336546943
0.01,0.9,0.155,0.4,0.2,0.6,0.4,"1",5217.58837890625,87.348,0.749398647782581,0.604797955805522,-86.442151853073,-104.064638504207,0.308996707684347,-0.125601580460335
0.01,0.9,0.155,0.5,0.9,0.2,0.2,"1",4546.30908203125,75.527,0.839934900124988,0.663858088092956,-76.0392440152065,-100.108318852365,0.415055649210077,0.00472603555390074
0.01,0.9,0.155,0.5,0.7,0.8,0.3,"1",4993.728515625,84.681,0.786526592501938,0.640450035483603,-82.3793363296373,-98.4249310341442,0.350741819198392,0.0097925383559353
0.01,0.9,0.155,0.5,1,0.7,0.4,"1",5243.341796875,86.915,0.738163813497375,0.603176481407513,-87.6563454900744,-95.9344529263797,0.300233662408684,0.105020833554113
0.01,0.9,0.155,0.6,0.8,0.5,0.2,"1",4575.54150390625,75.115,0.842769598999595,0.640994512832215,-75.7853382040402,-104.444904464098,0.422515278014169,-0.027951264830886
0.01,0.9,0.155,0.6,0.1,0.7,0.3,"1",4921.76806640625,80.052,0.801812664278781,0.623798990745922,-82.6498037084586,-99.3619569569783,0.345742432671049,-0.0271629771424294
0.01,0.9,0.155,0.6,0.3,0.7,0.4,"1",5183.66650390625,91.782,0.73685837980999,0.601086126711926,-87.6415563999042,-105.715403821174,0.295432904208975,-0.197063977577126
0.01,0.9,0.3,0.4,0.7,0.6,0.2,"1",4553.30517578125,74.668,0.838707791170853,0.624767185626094,-76.367482626471,-103.829244811448,0.411137591363893,-0.0419336856026306
0.01,0.9,0.3,0.4,0,0.5,0.3,"1",4569.12255859375,67.719,0.766740056493478,0.640452426626766,-86.3422804941259,-97.8838942164529,0.318209924772218,0.0635560895150484
0.01,0.9,0.3,0.4,1,0.8,0.4,"1",5245.09912109375,85.403,0.735797402784889,0.587414711720978,-87.1027480258915,-101.824170026803,0.306009216814396,-0.136204186474665
0.01,0.9,0.3,0.5,0.9,0.7,0.2,"1",4723.97509765625,75.342,0.820326646050285,0.625564423637207,-78.6609885612072,-109.81773630267,0.3904077885043,-0.353561818357043
0.01,0.9,0.3,0.5,0.5,0.4,0.3,"1",5018.662109375,83.409,0.759309545250313,0.630326741574077,-85.5751578406353,-94.9176066406365,0.316178630104731,0.0933632408968916
0.01,0.9,0.3,0.5,0.2,0,0.4,"1",5458.31494140625,90.295,0.704192400661249,0.617613929674884,-90.5472952685424,-93.0656953714184,0.268659678732136,0.124686935918607
0.01,0.9,0.3,0.6,1,0,0.2,"1",4664.99365234375,75.991,0.820996035598141,0.618272621414139,-78.4435718827832,-112.615720619604,0.393908811533481,-0.384308038313929
0.01,0.9,0.3,0.6,0.4,0.8,0.3,"1",4913.5966796875,82.429,0.80281890176149,0.638632784156814,-81.3304858647059,-104.617002609892,0.361294782160278,-0.0784252674393913
0.01,0.9,0.3,0.6,0.3,0.4,0.4,"1",5195.49462890625,85.827,0.73476557847418,0.647645925717111,-88.1719280403337,-92.2456288552313,0.289280861983045,0.132308649869653
0.01,1,0.01,0.4,0.8,1,0.2,"1",4138.28125,71.362,0.87184602993486,0.643060806611531,-71.373294112297,-105.856026621517,0.459832570684991,-0.086338506396746
0.01,1,0.01,0.4,0.6,0.3,0.3,"1",4621.40966796875,77.37,0.831560266094459,0.608976994734135,-77.2769100814494,-108.461000584806,0.406034355336202,-0.0821349581044526
0.01,1,0.01,0.4,0.5,0.6,0.4,"1",4953.404296875,133.182,0.78689358754164,0.651845792602932,-83.0638421917079,-96.6551812829445,0.345781272540916,0.0593330975188568
0.01,1,0.01,0.5,0.3,0.1,0.2,"1",4210.57080078125,115.996,0.880892146382168,0.661923425947296,-69.7667518591113,-104.650603388937,0.471296284494124,-0.0230253156370946
0.01,1,0.01,0.5,0.5,0.6,0.3,"1",4775.84716796875,77.366,0.81745977222139,0.632312002157484,-78.7443041500746,-97.0455188513331,0.386536071409706,0.0724705428529524
0.01,1,0.01,0.5,0.5,0,0.4,"1",5057.1533203125,198.409,0.778781128033521,0.622418334838412,-83.2753036904459,-97.7407009147887,0.344257070055847,0.0870291491538142
0.01,1,0.01,0.6,1,1,0.2,"1",4064.07446289062,70.94,0.880782887258498,0.627623272410943,-69.6915119358918,-118.608278641284,0.477995721528228,-0.366814403761439
