"lambda.env","alpha.env","lambda.sp","alpha.sp","lambda.bio","alpha.bio","drop","hidden","loglike","loss","AUC.explain","AUC.test"
0.01,0.9,0.155,0.6,0.3,0.7,0.4,"1",5183.66650390625,91.782,0.758558974446002,0.594110275696486
0.01,0.9,0.3,0.4,0.7,0.6,0.2,"1",4553.30517578125,74.668,0.839320215234408,0.606961692951676
0.01,0.9,0.3,0.4,0,0.5,0.3,"1",4569.12255859375,67.719,0.76851500415524,0.646837436248668
0.01,0.9,0.3,0.4,1,0.8,0.4,"1",5245.09912109375,85.403,0.723183226768084,0.606631463579993
0.01,0.9,0.3,0.5,0.9,0.7,0.2,"1",4723.97509765625,75.342,0.833929285954834,0.619341406911739
0.01,0.9,0.3,0.5,0.5,0.4,0.3,"1",5018.662109375,83.409,0.779112453823645,0.61477180252809
0.01,0.9,0.3,0.5,0.2,0,0.4,"1",5458.31494140625,90.295,0.691267581984162,0.591676542194978
0.01,0.9,0.3,0.6,1,0,0.2,"1",4664.99365234375,75.991,0.835897467408979,0.624803463040622
0.01,0.9,0.3,0.6,0.4,0.8,0.3,"1",4913.5966796875,82.429,0.788840264769552,0.638482048405322
0.01,0.9,0.3,0.6,0.3,0.4,0.4,"1",5195.49462890625,85.827,0.734189933408152,0.626738839016119
0.01,1,0.01,0.4,0.8,1,0.2,"1",4138.28125,71.362,0.863163961582982,0.59367371539846
0.01,1,0.01,0.4,0.6,0.3,0.3,"1",4621.40966796875,77.37,0.837521726279078,0.639284813336391
0.01,1,0.01,0.4,0.5,0.6,0.4,"1",4953.404296875,133.182,0.781678458427369,0.632207190030613
0.01,1,0.01,0.5,0.3,0.1,0.2,"1",4210.57080078125,115.996,0.880150703516745,0.665094428971773
0.01,1,0.01,0.5,0.5,0.6,0.3,"1",4775.84716796875,77.366,0.832266713094759,0.645613431317822
0.01,1,0.01,0.5,0.5,0,0.4,"1",5057.1533203125,198.409,0.777759629044613,0.633065779615225
0.01,1,0.01,0.6,1,1,0.2,"1",4064.07446289062,70.94,0.877264902540331,0.643042202619142
0.01,1,0.01,0.6,0.8,0.9,0.3,"1",4661.44873046875,77.605,0.832320709623476,0.629596095250933
0.01,1,0.01,0.6,0.3,0.2,0.4,"1",4992.939453125,79.827,0.776096370667273,0.653786087495593
0.01,1,0.155,0.4,0.4,0,0.2,"1",4648.42138671875,75.287,0.828940709779481,0.65936687056865
0.01,1,0.155,0.4,0.7,0.3,0.3,"1",4924.5888671875,79.956,0.802501509151363,0.657065266322513
0.01,1,0.155,0.4,0.4,0,0.4,"1",5123.53759765625,84.868,0.746810178324953,0.634494551164948
0.01,1,0.155,0.5,0.4,1,0.2,"1",4365.71337890625,73.471,0.848565615460549,0.658745175189655
0.01,1,0.155,0.5,0.1,0.8,0.3,"1",4922.4609375,82.305,0.789139752103221,0.661306592017909
0.01,1,0.155,0.5,0.4,0.4,0.4,"1",5276.4482421875,139.495,0.726742575108046,0.609184484289983
0.01,1,0.155,0.6,0,0.4,0.2,"1",4321.0009765625,63.183,0.782668123123657,0.644154801282359
0.01,1,0.155,0.6,1,0.2,0.3,"1",4931.7822265625,81.677,0.800025509152109,0.626897743016669
