"tr","lambda.env","alpha.env","lambda.sp","alpha.sp","lr","hidden.ind","drop","acti.sp","lambda.bio","alpha.bio","AUC.train_mean","ll.train_mean","nagel.train_mean","plr.train_mean","tjur.train_mean","cor.train_mean","auc.lt5.train_mean","AUC.test_mean","ll.test_mean","nagel.test_mean","plr.test_mean","tjur.test_mean","cor.test_mean","auc.lt5.test_mean"
13,0.2,0.4,0.25,0.5,0.002,2,0.2,"relu",0.5,0.8,0.859575761698155,-19.4233582900074,0.357496617506352,3.42109790846038,0.192711848792963,0.482579257442831,0.2,0.655465917961348,-7.27713799590279,-0.167576283702959,1.87699941466101,0.0725093323004114,0.198532322418976,38.2
481,0.6,0.2,0,0.25,0.003,2,0.2,"relu",0.4,0.5,0.891851123531365,-17.6512331307793,0.440657210639242,5.13189564186989,0.264818141957199,0.558003593258759,0,0.655458716994641,-8.00561175188609,-0.443585545925554,3.14025520965229,0.0883599894945942,0.193536514488413,41.4
482,0.4,0.8,0.5,1,0.002,1,0.1,"relu",0.2,0,0.914533956121083,-15.8792429085266,0.509311997941905,6.60199186155779,0.319006854453191,0.615549526062935,0,0.655383336054912,-8.57446673791997,-0.739571863433158,12.2079104621476,0.08677498882769,0.198598878358885,41
946,0.6,1,0.75,0.75,0.001,2,0.1,"relu",0.3,0,0.848818670726796,-19.6827729665857,0.346368190397021,3.55681200013812,0.189843329665501,0.470380428353616,0,0.655377630423814,-7.5142559657782,-0.272735755485744,2.35699486927125,0.0760542591344446,0.199955140406547,44.2
794,0,0.6,1,1,0.002,2,0.3,"relu",0.6,0.3,0.843936675557525,-20.396898495872,0.312784706246972,2.85688463210597,0.154257488390411,0.449625164971687,0,0.655373693369743,-7.04016206622114,-0.0949907581057871,2.12640444673563,0.0624289923745561,0.20383317689941,41.8
635,0.2,0.6,0,0.25,0.002,2,0.2,"relu",0.1,1,0.87972551614645,-18.380152018136,0.409717737815214,4.62240232939326,0.235674942469568,0.531062077283886,0,0.6553660882931,-7.7124326505832,-0.325562877738511,2.92115053413277,0.0831170467414736,0.199542129078337,39.4
321,0.8,0,0,0,0.002,2,0.2,"relu",0.6,0.2,0.881149523872651,-18.3177043323353,0.41115669111711,4.48984252026905,0.244704035110416,0.533264723640344,0,0.655360040614073,-7.67842402791974,-0.324053340708909,5.69665084033197,0.0880563622119884,0.19373555291508,40.2
76,1,0,0.25,0.75,0.003,1,0.3,"relu",0.8,0.7,0.861223539695274,-19.6016028740506,0.350720283168933,3.40553586479204,0.188654308292094,0.482880455212151,0,0.655327601401978,-7.20496685693213,-0.14073496040788,2.04067941312401,0.0696212778272464,0.205555125857636,41.8
751,0,0.4,1,0,0.002,1,0.2,"relu",0.7,0.2,0.891323562398043,-17.6435801840918,0.43449503502996,4.77382645946413,0.244699824514019,0.550601061182833,0,0.655254601600917,-7.83710975576755,-0.430545509607559,2.08351361015805,0.0752512772202787,0.195664630128326,42
623,0.2,0.6,0.25,0,0.003,1,0.4,"relu",0.4,0.2,0.819892579717044,-21.550136641494,0.267398866387875,2.49588241105718,0.141758798343857,0.407255560541145,0.2,0.655135161057633,-6.92906387911952,-0.0297370886640297,1.69387434628302,0.0604023686993355,0.199732196329535,43.2
