Sample	r_processed	r_with_adapters	bp_processed	quality_trimmed	percent_trimmed	bp_written
159408-M2-S2_BDSW190602996-1a_2	26927787	10350140	4039168050	18488912	0.9009269371696481	4002778097
161191-M1-S1_BDSW190602997-1a_1	28620411	10784872	4293061650	8798779	0.5823755873619938	4268059907
161191-M1-S1_BDSW190602997-1a_2	28620411	10758469	4293061650	13972719	0.7122583715982742	4262483959
161191-M2-S2_BDSW190602998-1a_1	29404092	11118683	4410613800	7900043	0.5471813923041732	4386479742
161191-M2-S2_BDSW190602998-1a_2	29404092	11082218	4410613800	9386032	0.5898581508088512	4384597435
179439-M1-S1_BDSW190602999-1a_1	26955222	10178590	4043283300	10119523	0.646239727995315	4017153997
179439-M1-S1_BDSW190602999-1a_2	26955222	10096862	4043283300	10584752	0.662804186884456	4016484249
179439-M1-S2_BDSW190603000-1a_1	33609200	12783575	5041380000	9620734	0.5811238787792231	5012083337
179439-M1-S2_BDSW190603000-1a_2	33609200	12724663	5041380000	12816651	0.6499831395371902	5008611880
207446-M1-S1_BDSW190603001-1a_1	23069938	8831122	3460490700	17003123	1.0474124955746882	3424245088
207446-M1-S1_BDSW190603001-1a_2	23069938	8592002	3460490700	20503955	1.1778175274391	3419732434
207746-M1-S2_BDSW190603002-1a_1	28022353	10783209	4203352950	9720413	0.6705169976268588	4175168754
207746-M1-S2_BDSW190603002-1a_2	28022353	10633252	4203352950	15112776	0.8270172030164634	4168590498
207746-M2-S1_BDSW190603003-1a_1	31924024	12063348	4788603600	15661064	0.8368672027895565	4748529347
207746-M2-S1_BDSW190603003-1a_2	31924024	12001854	4788603600	17871162	0.9120597077611519	4744928676
207746-M2-S2_BDSW190603004-1a_1	33441695	12758212	5016254250	9801470	0.6792635161983666	4982180665
207746-M2-S2_BDSW190603004-1a_2	33441695	12725412	5016254250	13492176	0.7971623647266285	4976266559
217961-M1-S1_BDSW190603005-1a_1	31576640	12176644	4736496000	10740620	0.6374535732744206	4706303037
217961-M1-S1_BDSW190603005-1a_2	31576640	12143470	4736496000	11741205	0.6759716043252227	4704478632
217961-M1-S2_BDSW190603006-1a_1	24634921	9833004	3695238150	8068471	0.6322092934659705	3671876511
217961-M1-S2_BDSW190603006-1a_2	24634921	9851848	3695238150	10005737	0.7032219019496754	3669252426
248762-M1-S1_BDSW190603007-1a_1	31103048	11808082	4665457200	7708177	0.5821771551135438	4638295974
248762-M1-S1_BDSW190603007-1a_2	31103048	11787031	4665457200	8211949	0.6160311791093057	4636716529
