"RowNumber","SiteName","UTM_E","UTM_N","o","y","point.ID","poly.ID","AGENCY","UNIT_NAME","TS_NAME","YEAR","YrsSinceDi","TREATMENT_","class","e","ht","mint","maxt","p","r.d","s.d","YrsSinceDist","hja"
"53","307043",557449,4898230,7,0,53,271,"USFS","WIL",NA,1959,59,"Clearcut",2,1836.18762207031,80.037841796875,4.19999980926514,15.3000001907349,2151,39.4045654336755,91.3977258961929,200,0
"54","292528",555665,4898922,2,0,54,263,"USFS","WIL","TIDBITS B-205",1962,56,"Clearcut",2,2738.21801757812,29.39306640625,4.07999992370605,14.0699996948242,2427.43994140625,38.8224427999605,232.976196020464,200,0
"55","378882",555122,4899228,3,0,55,243,"USFS","WIL","TIDBITS CREEK B-206",1962,56,"Clearcut",2,2908.85522460938,66.83740234375,3.20000004768372,13.8699998855591,2491.17993164062,51.4837830758693,228.941898927387,200,0
"56","134101",559836,4897180,4,1,56,312,"USFS","WIL",NA,1959,59,"Clearcut",2,2199.55004882812,81.35986328125,3.94000005722046,15.9399995803833,2047.56005859375,64.2976792439526,374.486073665911,1,0
"57","130102",561523,4898458,43,0,57,NA,NA,NA,NA,NA,NA,NA,NA,2552.30004882812,48.489990234375,3.20000004768372,15.3599996566772,2059.080078125,29.3779472484488,791.891559565767,200,0
"58","128101",562060,4898855,15,0,58,266,"USFS","WIL","BLUE RIDGE",1976,42,"Clearcut",2,2637.5400390625,46.679931640625,4,14.9899997711182,2043.58996582031,78.9210204337289,1004.61156994835,200,0
"59","130101",561772,4899699,30,0,59,NA,NA,NA,NA,NA,NA,NA,NA,2479.6220703125,136.826904296875,3.44000005722046,15.0699996948242,2030.88000488281,27.953302845714,559.132686888677,200,0
"60","279822",562363,4899611,4,0,60,235,"USFS","WIL","BLUE RIDGE #2",1976,42,"Clearcut",2,2467.9599609375,77.219970703125,4.01999998092651,14.9899997711182,2007.02001953125,27.6488359393584,996.69940404433,200,0
"61","268413",562804,4900021,55,14,61,1656,"USFS","WIL","BLUE RIVER FACE",2004,14,"Single-tree selectio",1,2304.2900390625,117.489990234375,4.01999998092651,14.9899997711182,2007.02001953125,30.2253855111691,812.282426691428,14,0
"62","252447",563239,4900683,15,0,62,213,"USFS","WIL","BLUE EXTENSION",1981,37,"Clearcut",1,2394.34008789062,45.559814453125,4.03000020980835,14.9899997711182,2019.53002929688,56.6427660170563,686.923480393503,200,0
"63","HOBO-211",561071,4897180,61,0,63,NA,NA,NA,NA,NA,NA,NA,NA,1581.69995117188,136.440063476562,3.96000003814697,15.8299999237061,2018.03002929688,42.9951291800797,9.63848399284123,200,1
"64","HOBO-341",562273,4896274,32,0,64,NA,NA,NA,NA,NA,NA,NA,NA,2591.77001953125,111.179931640625,4.17000007629395,14.5699996948242,2220.06005859375,40.4877871320734,207.806071898515,200,1
"65","HOBO-347",561155,4895781,15,0,65,NA,NA,NA,NA,NA,NA,NA,NA,2446.8798828125,197.580078125,4.17000007629395,15.0799999237061,2006.2099609375,178.677036798921,1073.54007544901,200,1
"66","HOBO-357",562701,4895822,44,0,66,376,"USFS","WIL",NA,1959,59,"Clearcut",2,2864.69995117188,124.280029296875,4.17000007629395,14.5699996948242,2220.06005859375,9.53635452270313,226.796660546678,200,1
"67","HOBO-353",561600,4895723,38,0,67,361,"USFS","WIL",NA,1963,55,"Clearcut",2,2795.38989257812,41.260009765625,4.07999992370605,14.8699998855591,2075.419921875,12.6078828860799,1059.35319004243,200,1
"68","HOBO-345",563178,4896142,56,0,68,NA,NA,NA,NA,NA,NA,NA,NA,3412.72998046875,138.02001953125,3.63000011444092,14.3800001144409,2334.9599609375,35.7121944276353,213.033907381934,200,1
"69","HOBO-351",562042,4895853,47,0,69,NA,NA,NA,NA,NA,NA,NA,NA,2939.4599609375,93.679931640625,4.07999992370605,14.8699998855591,2075.419921875,17.722138792504,621.239441919225,200,1
"70","HOBO-032",565592,4895774,8,0,70,369,"USFS","WIL",NA,1957,61,"Clearcut",2,3882.0400390625,76.4599609375,3.53999996185303,14.2399997711182,2494.46997070312,28.4379381124131,1108.38369972982,200,1
"71","HOBO-014",564342,4896049,23,0,71,NA,NA,NA,NA,NA,NA,NA,NA,3834.44995117188,152.070068359375,3.32999992370605,14.1300001144409,2426.57006835938,39.0457327429286,811.008797314459,200,1
"72","HOBO-040",566145,4895960,13,0,72,369,"USFS","WIL",NA,1957,61,"Clearcut",2,3618.93994140625,94.18017578125,3.53999996185303,14.2399997711182,2494.46997070312,146.564214357319,644.256258908757,200,1
"73","HOBO-060",567339,4895095,0,0,73,397,"USFS","WIL","LOOKOUT RIDGE",1962,56,"Clearcut",2,3888.6298828125,79.64013671875,3.25999999046326,14.0699996948242,2688.25,83.8576061715685,658.80140087868,200,1
"74","076361",559380,4908110,5,0,74,1321,"USFS","WIL","BEAR PASS",1975,43,"Clearcut",2,4242.60205078125,33.23974609375,2.05999994277954,12.3100004196167,2612.60009765625,39.6757441457399,800.432421524891,200,0
"75","159408",557638,4905945,3,0,75,1381,"USFS","WIL",NA,1975,43,"Clearcut",2,4095.67651367188,30.785888671875,2.30999994277954,12.5200004577637,2463.18994140625,29.4366881896645,756.536435431965,200,0
"76","155365",559531,4905949,24,0,76,461,"USFS","WIL","WEST QUENTIN",1972,46,"Clearcut",2,3759.3212890625,50.12158203125,2.6800000667572,13.1099996566772,2321.89990234375,34.7522472799588,856.942453869694,200,0
"77","123545",559069,4906844,41,0,77,NA,NA,NA,NA,NA,NA,NA,NA,4056.28881835938,5.93994140625,2.6800000667572,13.1099996566772,2321.89990234375,20.6657817131526,711.295260347456,200,0
"78","217961",559905,4904157,42,0,78,NA,NA,NA,NA,NA,NA,NA,NA,3724.18383789062,98.759521484375,3.17000007629395,13.8400001525879,2207.9599609375,13.2993460920021,979.886203124234,200,0
"79","131067",560727,4904273,3,32,79,111,"USFS","WIL","UPPER QUENTIN",1985,33,"Clearcut",1,3250.861328125,23.80615234375,3.77999997138977,14.1300001144409,2205.7900390625,29.1301939221472,534.126475809943,32,0
"80","207746",561269,4904331,14,32,80,109,"USFS","WIL","UPPER QUENTIN",1985,33,"Clearcut",1,3041.431640625,26.991943359375,3.77999997138977,14.1300001144409,2205.7900390625,40.0671385572115,360.685624093158,32,0
"81","257002",561506,4903045,22,0,81,NA,NA,NA,NA,NA,NA,NA,NA,3292.755859375,69.189697265625,3.77999997138977,13.9799995422363,2065.40991210938,28.318727613355,796.582840670362,200,0
"82","286789",562481,4902252,50,0,82,NA,NA,NA,NA,NA,NA,NA,NA,2350.19995117188,91.489501953125,3.11999988555908,15.1099996566772,2040.59997558594,60.7123981096,272.743846904658,200,0
