"RowNumber","SiteName","UTM_E","UTM_N","ogsi","y","point.ID","poly.ID","AGENCY","UNIT_NAME","TS_NAME","YEAR","YrsSinceDi_cuts","TREATMENT_","class","elevation","canopy_ht","avg_min_temp","avg_max_temp","avg_precip","distance_rd","distance_stream","YrsSinceDist","in_hja"
"33","290415",560871,4899062,4,2,32,1373,"USFS","WIL",NA,1964,54,"Clearcut",2,1691.42065429688,74.6639404296875,3.83999991416931,15.6700000762939,2039.78002929688,73.5373262441172,44.2971636743529,2,0
"34","292528",555658,4898898,2,0,33,263,"USFS","WIL","TIDBITS B-205",1962,56,"Clearcut",2,2760.04028320312,52.462890625,4.07999992370605,14.0699996948242,2427.43994140625,27.3817432809222,253.868058306432,200,0
"35","301004",558972,4898571,14,0,34,NA,NA,NA,NA,NA,NA,NA,NA,3155.59741210938,55.98583984375,3.57999992370605,14.1199998855591,2178.3701171875,62.6697940845248,1064.9901037521,200,0
"36","307043",557451,4898268,3,0,35,271,"USFS","WIL",NA,1959,59,"Clearcut",2,1905.13879394531,20.0360107421875,4.19999980926514,15.3000001907349,2151,73.7221849677692,127.425114416771,200,0
"37","335225",558223,4897251,9,0,36,319,"USFS","WIL","COOK RIDGE #1",1972,46,"Clearcut",2,1560.21154785156,55.9698486328125,3.63000011444092,15.3500003814697,2118.82006835938,20.2349074576494,73.0958395878267,200,0
"38","357256",556929,4896398,22,0,37,NA,NA,NA,NA,NA,NA,NA,NA,2976.169921875,113,4.30999994277954,14.5,2111.8701171875,23.5595698048684,377.807372806725,200,0
"39","361840",557666,4896164,5,29,38,1405,"USFS","WIL",NA,1982,36,"Clearcut",1,2779.14990234375,52.280029296875,4.15000009536743,15.0600004196167,2097.78002929688,9.56063958356897,607.429151385844,29,0
"40","364070",556050,4895937,42,0,39,NA,NA,NA,NA,NA,NA,NA,NA,3064.05004882812,0.349853515625,4.17000007629395,14.2600002288818,2167.84008789062,13.3786468110759,538.765887563742,200,0
"41","367193",558504,4895959,16,0,40,NA,NA,NA,NA,NA,NA,NA,NA,1842.44995117188,78.580078125,4.03000020980835,16.0900001525879,2098.17993164062,33.193707093642,310.464211778721,200,0
"42","372502",557908,4895682,30,0,41,NA,NA,NA,NA,NA,NA,NA,NA,2104.23999023438,153.5,4.15000009536743,15.0600004196167,2097.78002929688,35.0710366838308,250.748631332221,200,0
"43","378882",555165,4899252,0,0,42,243,"USFS","WIL","TIDBITS CREEK B-206",1962,56,"Clearcut",2,2830.099609375,55.05126953125,4.07999992370605,14.0699996948242,2427.43994140625,99.8793422014032,183.692452020817,200,0
"45","400605",556330,4894437,21,0,43,410,"USFS","WIL","SCOUT",1976,42,"Clearcut",2,2550.67993164062,12.8701171875,4.3899998664856,14.8199996948242,2040.31994628906,23.1517421362444,473.805799808715,200,0
"46","544292",562144,4894685,0,0,44,841,"USFS","WIL","MILL CREEK",1946,72,"Clearcut",2,2516.06005859375,119.0400390625,3.5699999332428,14.4499998092651,2166.919921875,70.3910450213668,267.376829644382,200,0
"47","593665",565934,4893395,32,0,45,NA,NA,NA,NA,NA,NA,NA,NA,2337.64990234375,132.530029296875,4.21000003814697,14.7700004577637,2220.8798828125,25.1934116363331,598.607904228044,200,0
"48","594580",562613,4893228,27,0,46,1485,"USFS","WIL",NA,1947,71,"Clearcut",2,1751.10998535156,93.510009765625,3.76999998092651,15.7299995422363,1987.22998046875,157.516491474233,95.5707185137894,200,0
"49","601725",561511,4892975,31,0,47,1043,"USFS","WIL","MILL CREEK",1962,56,"Clearcut",2,1749.68005371094,117.309936523438,4.28000020980835,16.6100006103516,1828.77001953125,37.0123645839782,346.099475438835,200,0
"50","622337",564491,4892841,44,22,48,1044,"USFS","WIL",NA,1940,78,"Clearcut",2,1717.77001953125,100.2099609375,4.26000022888184,16.5900001525879,1839.18994140625,65.3432836943443,606.516829866948,22,0
