,fastq_files,sample,site,period,trap,UTM_E,UTM_N
98,179439-M1-S2_BDSW190603000-1a.pair2.truncated,179439-M1-S2,179439,2,1,564607,4903596
99,207446-M1-S1_BDSW190603001-1a.pair1.truncated,207446-M1-S1,207446,1,1,561269,4904331
100,207446-M1-S1_BDSW190603001-1a.pair2.truncated,207446-M1-S1,207446,1,1,561269,4904331
101,207746-M1-S2_BDSW190603002-1a.pair1.truncated,207746-M1-S2,207746,2,1,561269,4904331
102,207746-M1-S2_BDSW190603002-1a.pair2.truncated,207746-M1-S2,207746,2,1,561269,4904331
103,207746-M2-S1_BDSW190603003-1a.pair1.truncated,207746-M2-S1,207746,1,2,561269,4904331
104,207746-M2-S1_BDSW190603003-1a.pair2.truncated,207746-M2-S1,207746,1,2,561269,4904331
105,207746-M2-S2_BDSW190603004-1a.pair1.truncated,207746-M2-S2,207746,2,2,561269,4904331
106,207746-M2-S2_BDSW190603004-1a.pair2.truncated,207746-M2-S2,207746,2,2,561269,4904331
107,217961-M1-S1_BDSW190603005-1a.pair1.truncated,217961-M1-S1,217961,1,1,559905,4904157
108,217961-M1-S1_BDSW190603005-1a.pair2.truncated,217961-M1-S1,217961,1,1,559905,4904157
109,217961-M1-S2_BDSW190603006-1a.pair1.truncated,217961-M1-S2,217961,2,1,559905,4904157
110,217961-M1-S2_BDSW190603006-1a.pair2.truncated,217961-M1-S2,217961,2,1,559905,4904157
111,248762-M1-S1_BDSW190603007-1a.pair1.truncated,248762-M1-S1,248762,1,1,564142,4900864
112,248762-M1-S1_BDSW190603007-1a.pair2.truncated,248762-M1-S1,248762,1,1,564142,4900864
113,248762-M1-S2_BDSW190603008-1a.pair1.truncated,248762-M1-S2,248762,2,1,564142,4900864
114,248762-M1-S2_BDSW190603008-1a.pair2.truncated,248762-M1-S2,248762,2,1,564142,4900864
115,248762-M2-S1_BDSW190603009-1a.pair1.truncated,248762-M2-S1,248762,1,2,564142,4900864
116,248762-M2-S1_BDSW190603009-1a.pair2.truncated,248762-M2-S1,248762,1,2,564142,4900864
117,248762-M2-S2_BDSW190603010-1a.pair1.truncated,248762-M2-S2,248762,2,2,564142,4900864
118,248762-M2-S2_BDSW190603010-1a.pair2.truncated,248762-M2-S2,248762,2,2,564142,4900864
119,252447-M1-S1_BDSW190603011-1a.pair1.truncated,252447-M1-S1,252447,1,1,563239,4900683
120,252447-M1-S1_BDSW190603011-1a.pair2.truncated,252447-M1-S1,252447,1,1,563239,4900683
121,252447-M1-S2_BDSW190603012-1a.pair1.truncated,252447-M1-S2,252447,2,1,563239,4900683
122,252447-M1-S2_BDSW190603012-1a.pair2.truncated,252447-M1-S2,252447,2,1,563239,4900683
123,252447-M2-S1-1_BDSW190603014-1a.pair1.truncated,252447-M2-S1-1,252447,1,2,563239,4900683
124,252447-M2-S1-1_BDSW190603014-1a.pair2.truncated,252447-M2-S1-1,252447,1,2,563239,4900683
125,252447-M2-S2_BDSW190603015-1a.pair1.truncated,252447-M2-S2,252447,2,2,563239,4900683
126,252447-M2-S2_BDSW190603015-1a.pair2.truncated,252447-M2-S2,252447,2,2,563239,4900683
127,257002-M1-S1_BDSW190603016-1a.pair1.truncated,257002-M1-S1,257002,1,1,561506,4903045
128,257002-M1-S1_BDSW190603016-1a.pair2.truncated,257002-M1-S1,257002,1,1,561506,4903045
129,257002-M1-S2_BDSW190603017-1a.pair1.truncated,257002-M1-S2,257002,2,1,561506,4903045
130,257002-M1-S2_BDSW190603017-1a.pair2.truncated,257002-M1-S2,257002,2,1,561506,4903045
131,258173-M1-S1_BDSW190603018-1a.pair1.truncated,258173-M1-S1,258173,1,1,565879,4903183
132,258173-M1-S1_BDSW190603018-1a.pair2.truncated,258173-M1-S1,258173,1,1,565879,4903183
133,258173-M1-S2_BDSW190603019-1a.pair1.truncated,258173-M1-S2,258173,2,1,565879,4903183
134,258173-M1-S2_BDSW190603019-1a.pair2.truncated,258173-M1-S2,258173,2,1,565879,4903183
135,268355-M2-S1_BDSW190603020-1a.pair1.truncated,258355-M2-S1,268355,1,2,560966,4899982
136,268355-M2-S1_BDSW190603020-1a.pair2.truncated,258355-M2-S1,268355,1,2,560966,4899982
137,268355-M1-S1_BDSW190603021-1a.pair1.truncated,268355-M1-S1,268355,1,1,560966,4899982
138,268355-M1-S1_BDSW190603021-1a.pair2.truncated,268355-M1-S1,268355,1,1,560966,4899982
139,268355-M1-S2_BDSW190603022-1a.pair1.truncated,268355-M1-S2,268355,2,1,560966,4899982
140,268355-M1-S2_BDSW190603022-1a.pair2.truncated,268355-M1-S2,268355,2,1,560966,4899982
141,268355-M2-S2_BDSW190603023-1a.pair1.truncated,268355-M2-S2,268355,2,2,560966,4899982
142,268355-M2-S2_BDSW190603023-1a.pair2.truncated,268355-M2-S2,268355,2,2,560966,4899982
143,268413-M1-S1_BDSW190603024-1a.pair1.truncated,268413-M1-S1,268413,1,1,562804,4900021
144,268413-M1-S1_BDSW190603024-1a.pair2.truncated,268413-M1-S1,268413,1,1,562804,4900021
145,268413-M1-S2_BDSW190603025-1a.pair1.truncated,268413-M1-S2,268413,2,1,562804,4900021
