"lambda.env","alpha.env","lambda.SB","alpha.SB","drop","hidden","loglike","loss","AUC.explain","AUC.test"
0.01,0.9,0.2,0.4,0.2,"1",4964.71630859375,86.623,0.869418200706345,0.739457289103495
0.01,0.9,0.2,0.4,0.3,"1",5682.94482421875,95.921,0.79275581008067,0.727119542624658
0.01,0.9,0.2,0.4,0.4,"1",5913.67724609375,98.691,0.752066164049537,0.710338557632888
0.01,0.9,0.2,0.5,0.2,"1",4976.94775390625,84.921,0.8638832666886,0.738958160891238
0.01,0.9,0.2,0.5,0.3,"1",5429.9169921875,97.404,0.822380230373036,0.729232839324485
0.01,0.9,0.2,0.5,0.4,"1",5914.6533203125,112.092,0.761027405084922,0.716536479272519
0.01,0.9,0.2,0.6,0.2,"1",4900.80322265625,84.765,0.875338583211972,0.742449738797245
0.01,0.9,0.2,0.6,0.3,"1",5648.23046875,95.671,0.825009327900663,0.72927966329714
0.01,0.9,0.2,0.6,0.4,"1",6074.7109375,100.053,0.76839351579015,0.71354982548237
0.01,1,0.01,0.4,0.2,"1",4446.1611328125,80.771,0.855334106392866,0.722464309907831
0.01,1,0.01,0.4,0.3,"1",5009.78173828125,88.401,0.822610700492201,0.724780207596704
0.01,1,0.01,0.4,0.4,"1",4974.857421875,92.144,0.809238263833741,0.722466570541485
0.01,1,0.01,0.5,0.2,"1",4579.5400390625,82.826,0.848868647840046,0.714855692048787
0.01,1,0.01,0.5,0.3,"1",4608.26953125,81.759,0.830000307023185,0.710642379943318
0.01,1,0.01,0.5,0.4,"1",4876.88671875,88.037,0.814346455277553,0.734916701222115
0.105,0.8,0.01,0.4,0.2,"1",5115.1591796875,90.753,0.815609330268968,0.715680637681916
0.105,0.8,0.01,0.4,0.3,"1",5360.4580078125,95.969,0.768301135104733,0.700967492593132
0.105,0.8,0.01,0.4,0.4,"1",5399.98046875,99.387,0.760508949911401,0.696917817054752
0.105,0.8,0.01,0.5,0.2,"1",4716.36279296875,88.81,0.831603100901744,0.724694923635141
0.105,0.8,0.01,0.5,0.3,"1",5269.01611328125,94.527,0.781450240181538,0.697461350535732
0.105,0.8,0.01,0.5,0.4,"1",5456.337890625,99.289,0.76585350635857,0.684178338810159
0.105,0.8,0.01,0.6,0.2,"1",5622.30029296875,94.811,0.72891051215577,0.697932749558389
0.105,0.8,0.01,0.6,0.3,"1",5162.7734375,92.633,0.767043551033847,0.704297443541902
0.105,0.8,0.01,0.6,0.4,"1",5314.3544921875,95.231,0.776745491840186,0.706172666452931
0.105,0.8,0.105,0.4,0.2,"1",5650.22900390625,102.418,0.806194077061646,0.70048066267429
0.105,0.8,0.105,0.4,0.3,"1",5876.0166015625,106.669,0.780462406064726,0.728084659668739
0.105,0.8,0.105,0.4,0.4,"1",6377.052734375,114.56,0.722405667809787,0.705251734625136
0.105,0.8,0.105,0.5,0.2,"1",5486.921875,95.525,0.845708828129931,0.736019584615599
0.105,0.8,0.105,0.5,0.3,"1",6205.890625,106.171,0.753267463841075,0.707805740110194
0.105,0.8,0.105,0.5,0.4,"1",6274.9384765625,113.205,0.750887215421127,0.700292065059755
0.105,0.8,0.105,0.6,0.2,"1",5579.57421875,101.084,0.810887981910119,0.727240305142586
0.105,0.8,0.105,0.6,0.3,"1",6089.099609375,104.522,0.762753372438701,0.707260335789215
0.105,0.8,0.105,0.6,0.4,"1",6096.1162109375,113.207,0.745479253747859,0.709149297388854
