"lambda.env","alpha.env","lambda.SB","alpha.SB","drop","hidden","loglike","loss","AUC.explain","AUC.test"
0.105,0.8,0.01,0.4,0.2,"1",5022.70947265625,89.429,0.764454885790372,0.685120418205457
0.105,0.8,0.01,0.4,0.3,"1",5110.95703125,91.072,0.777651161865182,0.710988835648895
0.105,0.8,0.01,0.4,0.4,"1",5335.66552734375,97.03,0.720939278939209,0.703148613566346
0.105,0.8,0.01,0.5,0.2,"1",5089.93994140625,89.333,0.756041474288862,0.705657375643522
0.105,0.8,0.01,0.5,0.3,"1",5363.265625,95.727,0.710875727817977,0.686212994916107
0.105,0.8,0.01,0.5,0.4,"1",5368.66552734375,95.903,0.714637715590984,0.691247591350426
0.105,0.8,0.01,0.6,0.2,"1",4908.31396484375,88.502,0.780532843824406,0.711584279405038
0.105,0.8,0.01,0.6,0.3,"1",4927.87939453125,91.206,0.775373651909173,0.696123211333676
0.105,0.8,0.01,0.6,0.4,"1",5305.60107421875,93.884,0.727775800135647,0.685798860607045
0.105,0.8,0.105,0.4,0.2,"1",5609.9189453125,96.909,0.77317615613259,0.724585030587801
0.105,0.8,0.105,0.4,0.3,"1",5761.94140625,100.766,0.741234965386292,0.683414877152622
0.105,0.8,0.105,0.4,0.4,"1",5753.0615234375,106.505,0.718162876448383,0.71408147076945
0.105,0.8,0.105,0.5,0.2,"1",5619.5615234375,96.176,0.738415187344199,0.70296657821434
0.105,0.8,0.105,0.5,0.3,"1",5911.31201171875,106.609,0.714708444817184,0.680233970625062
0.105,0.8,0.105,0.5,0.4,"1",5831.833984375,107.311,0.712890000224325,0.709202116203395
0.105,0.8,0.105,0.6,0.2,"1",5629.04150390625,95.547,0.734036761590644,0.701693572581787
0.105,0.8,0.105,0.6,0.3,"1",5700.4765625,99.923,0.746048962460687,0.709027955247052
0.105,0.8,0.105,0.6,0.4,"1",6008.17919921875,107.8,0.686221975685226,0.690449178260879
0.105,0.8,0.2,0.4,0.2,"1",5616.34130859375,95.833,0.739306816978157,0.712940247704208
0.105,0.8,0.2,0.4,0.3,"1",5902.07373046875,102.228,0.736665472896327,0.70536127697253
0.105,0.8,0.2,0.4,0.4,"1",5839.80078125,117.317,0.687577358240047,0.692940331096235
0.105,0.8,0.2,0.5,0.2,"1",5537.755859375,96.197,0.751124927094815,0.711261103934271
