Sample	100	102	104	106	108	110	112	114	116	118	120	122	124	126	128	130	132	134	136	138	140	142	144	146	148	150
130102-M1-S1_BDSW190602968-1a_2_val_2	6982.0	6938.0	7396.0	7933.0	7557.0	8412.0	8632.0	8421.0	8911.0	9762.0	9511.0	10384.0	10989.0	10956.0	12290.0	13204.0	14474.0	16140.0	17769.0	22483.0	30411.0	43529.0	109451.0	876565.0	10338101.0	15417895.0
130102-M1-S2_BDSW190602969-1a_1_val_1	4313.0	4192.0	4560.0	4670.0	4552.0	4959.0	5145.0	5202.0	5494.0	6020.0	5785.0	6374.0	7418.0	7720.0	7816.0	8482.0	9535.0	10486.0	12181.0	15836.0	21957.0	32770.0	90221.0	912725.0	11141139.0	16923756.0
130102-M1-S2_BDSW190602969-1a_2_val_2	6892.0	7103.0	7805.0	7959.0	8035.0	8711.0	9099.0	8936.0	9691.0	10284.0	9833.0	10885.0	12097.0	11904.0	13304.0	14338.0	16414.0	18213.0	20193.0	25933.0	34210.0	51812.0	128531.0	1018712.0	11234861.0	16557553.0
130102-M2-S1_BDSW190602970-1a_1_val_1	4313.0	4413.0	4483.0	4673.0	4798.0	5048.0	5160.0	5218.0	5641.0	6191.0	6395.0	6690.0	7438.0	8015.0	8038.0	9194.0	10555.0	11714.0	13776.0	17642.0	25000.0	38247.0	105704.0	968823.0	11953743.0	18325980.0
130102-M2-S1_BDSW190602970-1a_2_val_2	6149.0	6268.0	6593.0	7083.0	7172.0	7534.0	7897.0	8072.0	8769.0	9344.0	9308.0	10163.0	10444.0	11153.0	12266.0	13392.0	15392.0	17046.0	19588.0	24266.0	33530.0	50752.0	133362.0	1044086.0	12028064.0	18059199.0
131067-M1-S1_BDSW190602971-1a_1_val_1	4857.0	4480.0	4792.0	5150.0	4738.0	4962.0	5241.0	5088.0	5334.0	5611.0	5197.0	5641.0	6300.0	6566.0	6620.0	7042.0	7441.0	8689.0	9944.0	12894.0	18160.0	26777.0	77615.0	757894.0	10108294.0	15464978.0
131067-M1-S1_BDSW190602971-1a_2_val_2	6443.0	6403.0	6833.0	7070.0	6788.0	7236.0	7864.0	7651.0	8147.0	8473.0	8274.0	8977.0	9651.0	9521.0	10351.0	11513.0	12636.0	14153.0	15708.0	19906.0	27302.0	40183.0	104786.0	834760.0	10177380.0	15202296.0
131067-M1-S2_BDSW190602972-1a_1_val_1	4941.0	4982.0	5370.0	5450.0	5424.0	5609.0	5793.0	6136.0	6345.0	6714.0	6662.0	7460.0	8164.0	8585.0	8706.0	9286.0	10638.0	11781.0	13384.0	17622.0	22624.0	34916.0	91160.0	794191.0	9429992.0	14012109.0
131067-M1-S2_BDSW190602972-1a_2_val_2	7266.0	7506.0	7910.0	7969.0	8211.0	8506.0	9089.0	9297.0	9583.0	10318.0	10252.0	11074.0	12141.0	12266.0	13385.0	14670.0	16323.0	18088.0	20638.0	26821.0	32513.0	49218.0	121008.0	870021.0	9441220.0	13788751.0
134101-M1-S1_BDSW190602973-1a_1_val_1	2986.0	3030.0	3201.0	3222.0	3419.0	3303.0	3627.0	3681.0	3874.0	4094.0	4148.0	4417.0	4717.0	5369.0	5523.0	5893.0	6591.0	7152.0	8879.0	11380.0	15936.0	24416.0	77342.0	815944.0	11426509.0	17858525.0
134101-M1-S1_BDSW190602973-1a_2_val_2	4566.0	4746.0	4973.0	5234.0	5407.0	5634.0	6018.0	6099.0	6264.0	6558.0	7065.0	7431.0	7875.0	8393.0	9033.0	10078.0	11338.0	12396.0	14713.0	18639.0	24327.0	36506.0	100380.0	878809.0	11458095.0	17656601.0
134101-M1-S2_BDSW190602974-1a_1_val_1	1960.0	2092.0	2129.0	2233.0	2307.0	2363.0	2417.0	2501.0	2652.0	2769.0	2882.0	2920.0	3249.0	3519.0	3659.0	3961.0	4681.0	5064.0	6266.0	8267.0	11665.0	17932.0	58311.0	641095.0	8837060.0	14154549.0
