"uniqueID","clearcut","insideHJA","oldGrowthIndex","elevation_m","canopyHeight_m","precipitation_mm","minT_annual","maxT_annual","mean.NDVI","mean.EVI","mean.green","mean.wet","mean.bright","l_p25","l_p95","l_rumple","B1_median","B2_median","B3_median","B4_median","B5_median","B6_median","B7_median","B10_median","B11_median","lg_DistStream","lg_DistRoad","lg_YrsDisturb","lg_cover2m_max","lg_cover2m_4m","lg_cover4m_16m","be10","tri","slope","aspect","Nss","Ess","twi","ht","ht.r250","ht.r500","ht.r1k","cov2_4","cov2_4.r250","cov2_4.r500","cov2_4.r1k","cov4_16","cov4_16.r250","cov4_16.r500","cov4_16.r1k","be500","mTopo","cut.r1k.pt"
"146764_M1_S1","yes","no",9,789.8983528392,59.38989258,2170.459961,3.559999943,14.31999969,0.914,2.2325,2269,-109.75,2311.25,11.4700002670288,18.6599998474121,3.0868604183197,37,72,275,138.5,3058,771.5,266.5,3002,2994.5,4.55986676998613,3.86268212657321,3.58354671584809,-0.0116532160920358,-4.5203480173938,-0.262337265072304,789.871459960938,0.888214111328125,5.26282509796372,128.588732841784,-0.623725899421606,0.781643142610942,4.72564097062495,18.6599998474121,27.0761124568002,31.9154389226404,30.0949764031826,0.00988523475825787,0.0282326973225961,0.0260501433026761,0.0257739914855423,0.768251538276672,0.244931875454152,0.188770049238681,0.181869912523278,798.846760210393,-8.97530024945547,0.397432239657632
"150732_M1_S1","yes","no",29,568.3941059832,74.94995117,2040.599976,3.119999886,15.10999966,0.90225,2.273,2338.25,-215.5,2482.75,9.36999988555908,18.8600006103516,4.70691251754761,69,104,298,159.5,3162,918.5,327.5,2993.5,2985.5,0.715750130349421,2.11220916792584,3.52638993594835,-0.115991629577087,-3.60897753481882,-0.383264226480886,567.818237304688,4.02334594726562,28.2998051842237,143.749636426415,-0.806440852062685,0.591314765691177,5.67538193176273,18.8600006103516,26.5226954753836,34.7578135613896,33.4447583051747,0.0260795205831528,0.0370324407436802,0.0269854300432616,0.0337265802045432,0.680632770061493,0.297064762936331,0.18371159253305,0.194303321096308,607.919224502325,-40.1009871976372,0.392867332382311
"150801_M1_S1","no","no",41,918.8958,91.09008789,2180.899902,3.569999933,14.39000034,0.89975,2.102,1669.25,-112.75,1748,28.9099998474121,40.4099998474121,3.96627759933472,9,46,216.5,122,2287.5,605.5,218.5,2983,2975.5,4.41500997038495,4.0383159591996,5.29832236653554,-0.00128690425189416,-5.78046885714947,-4.11010671214076,919.489868164062,1.94043731689453,12.7624222187003,297.740473816662,0.465467372956628,-0.885065039820721,4.66112556029091,40.4099998474121,28.6959913544176,29.5246028514824,29.1466874597226,0.00208726758137345,0.0118647032376269,0.0230430191143721,0.0241755937595317,0.0154060237109661,0.0935980407666144,0.15846511134339,0.156151978011199,918.470962501083,1.01890566297993,0.273038516405136
"150802_M1_S1","yes","no",33,812.4931411776,4.880126953,2140.879883,3.50999999,14.38000011,0.85975,1.95525,2005.5,-450,2390,3.52999997138977,50.3600006103516,4.20914649963379,45,93.5,326,218.5,2845.5,1104.5,479,2991.5,2984.5,6.241320837183,3.55888902771938,2.56502627758003,-1.28285046964094,-2.51249546556276,-3.62352875899721,811.426818847656,2.55214691162109,19.0387295906366,318.543044897118,0.749453319378068,-0.662057189427919,5.05419849313373,50.3600006103516,26.114259482255,29.6430247620337,31.3169264672301,0.0800656899809837,0.0474998895346522,0.0339777173424729,0.0250462059283229,0.0256883334368467,0.243053243301364,0.200878414902789,0.194505004473131,808.666042398757,2.76077644889915,0.485021398002853
"155365_M1_S1","yes","no",24,1145.8411288872,50.12158203,2321.899902,2.680000067,13.10999966,0.9105,2.1615,2340.75,-232.5,2421.5,5.23000001907349,17.2000007629395,4.17436647415161,21,65,259,156,3162.5,911.5,358.5,2987.5,2975.5,6.753371934974,3.54827301455139,3.82866313538324,-0.14767625304957,-1.98127906366281,-0.44776191670951,1145.90185546875,1.95530700683594,13.9827851977807,55.8189518850026,0.561809771356782,0.827266450914118,7.11195134047614,17.2000007629395,17.1708355609933,24.5884076863719,28.2175219301711,0.136892750859261,0.0807361294935674,0.0750453050273153,0.0479856156050229,0.638056814670563,0.27565568111592,0.233857494388956,0.180431442680007,1140.16033731034,5.74151815841378,0.266476462196862
"159408_M1_S1","yes","no",3,1248.3622014672,30.78588867,2463.189941,2.309999943,12.52000046,0.894,2.0285,1904,-131.25,1995.25,10.4799995422363,18.9340000152588,4.11134386062622,-10,44,233.5,142.5,2572.5,667.5,271.5,2971.5,2964.5,6.62875201700076,3.38227576462244,3.7612233712371,-0.0367785634288881,-4.10483719189548,-0.33658552152205,1250.11450195312,3.8582763671875,25.9602143313774,246.318708537503,-0.401648767976416,-0.915793790753697,5.91508495124386,18.9340000152588,13.0043321249807,15.088317954529,18.6782499085783,0.0154927037656307,0.0556519470551409,0.053616600823144,0.0576278974912843,0.713204801082611,0.452558069596241,0.449159288917767,0.34187497872933,1256.36465052887,-6.25014857574524,0.586875891583452
"161191_M1_S1","no","no",32,731.666297904,135.2199707,2123.879883,3.690000057,14.48999977,0.89875,2.17375,1918,-256,2081.5,34.3199996948242,53.7200012207031,5.18364524841309,37,72.5,248,137.5,2603.5,819,317,3002,2991.5,4.59771279937265,3.78002676802107,5.29832236653554,9.97860711613409e-05,-6.09840361870794,-2.87901500314447,730.557006835938,2.51970672607422,15.8835537001238,168.994905076091,-0.981610212220708,0.190896284049787,9.4135338977568,53.7200012207031,30.5197300300466,30.0992157693518,29.6193128759172,0.00124645105097443,0.0226836973596018,0.0215082394692747,0.0255730392230326,0.0551900826394558,0.231144555486661,0.241860308509732,0.213726466896437,776.215776422836,-45.658769586899,0.613124108416548
"179439_M1_S1","no","no",52,712.857102096,116.25,2091.669922,3.910000086,14.72999954,0.90325,2.1895,1720.75,-176.75,1827.25,17.9274997711182,57.2099990844727,8.80322647094727,29,60,217,120.5,2312.5,679.5,253,2993,2984.5,4.45708158490943,3.86386459447062,5.29832236653554,-0.00466226588524272,-4.39792136683886,-1.6974798591987,712.473999023438,1.69179534912109,4.84151023008988,156.476000465174,-0.916892969557576,0.399133163713428,12.9341403731806,57.2099990844727,40.5552733464225,36.3118503481232,32.5514492020891,0.011302886530757,0.0116846771456807,0.0181442062269311,0.0243086710772666,0.182144492864609,0.140424403060666,0.215172347339867,0.212374524192938,721.216769415007,-8.74277039156982,0.774037089871612
"207746_M1_S1","yes","no",14,927.0283641768,26.99194336,2205.790039,3.779999971,14.13000011,0.888,2.052,2034.25,-210,2229.25,3.53999996185303,9.98799991607666,3.3776478767395,31.5,68.5,311.5,162.5,2816.5,832,307.5,3001.5,2993,5.88800950405028,3.69058146886473,3.46576715231146,-0.418318379517189,-1.60207233615322,-6.90775527898214,926.889770507812,2.97943115234375,20.9531210860198,78.2265004266181,0.20404328453587,0.978961867508543,4.37381057360696,9.98799991607666,24.2550311253558,28.8398773838775,31.0654075562649,0.200478553771973,0.0542477164996561,0.0466119324519007,0.041252777768309,0,0.11329496275814,0.165907213490463,0.158403483713322,888.525193911234,38.3645765965783,0.210841654778887
"217961_M1_S1","no","no",42,1135.1312338224,98.75952148,2207.959961,3.170000076,13.84000015,0.891,2.163,2021.5,-114.25,2146.25,26.1200008392334,37.9300003051758,4.50274896621704,34,86.5,283,158,2744,729,262,2983.5,2975.5,6.88743746616268,2.58779005669366,5.29832236653554,-0.0108926587359539,-6.78550312115598,-3.77895501281143,1135.25854492188,1.86810302734375,14.0255739034308,48.6800098161967,0.660263739728823,0.751033816814735,7.58601643753469,37.9300003051758,25.4875951192783,28.4281579206798,30.8743338076089,0.00013003901403863,0.0367917943398469,0.0377974329300939,0.0355008466103576,0.0218465533107519,0.147975468722891,0.16878143424353,0.17818780063766,1123.23940179765,12.0191431242242,0.196861626248217
"248762_M1_S1","yes","no",39,830.8360588224,3.949951172,2001.650024,3.799999952,14.67000008,0.87125,2.005,2245.25,-524.75,2643,2.74000000953674,30.2854995727539,3.55005645751953,46.5,93.5,334,214,3145.5,1223,537,3001.5,2995,7.01177573215717,3.99167148974433,2.4849899796493,-1.40794954550196,-2.45617796318714,-3.01123158178764,830.725158691406,0.946609497070312,6.75132982674757,277.238968744051,0.126007974361993,-0.99202922860024,8.02014664038999,30.2854995727539,28.1346228642447,29.4160160703107,32.4124985662168,0.0847621113061905,0.0299521766686679,0.034144001584716,0.0333786147369014,0.0482310093939304,0.230020451188655,0.219202829195619,0.186477357838664,847.650164578077,-16.925005886671,0.655920114122682
