"otu","order","family","genus","species"
"R3311_3__Insecta_Hymenoptera_Ichneumonidae_Campoletis_NA_BOLD_ACG1630_size.78","Hymenoptera","Ichneumonidae","Campoletis","NA"
"R3608_9__Insecta_Raphidioptera_Raphidiidae_Agulla_NA_BOLD_ACA6996_size.236","Raphidioptera","Raphidiidae","Agulla","NA"
"R5052_2__Insecta_Diptera_Mycetophilidae_Cordyla_NA_BOLD_AAP6493_size.62","Diptera","Mycetophilidae","Cordyla","NA"
"R1647_10__Insecta_Hymenoptera_Ichneumonidae_Coleocentrus_NA_BOLD_AAI2885_size.162","Hymenoptera","Ichneumonidae","Coleocentrus","NA"
"R959_198__Insecta_Hymenoptera_Halictidae_Lasioglossum_NA_BOLD_ABZ0652_size.11","Hymenoptera","Halictidae","Lasioglossum","NA"
"R2488_74__Insecta_Diptera_Phoridae_Megaselia_sp_BOLD_ACC5887_size.16","Diptera","Phoridae","Megaselia","NA"
"R818_97__Insecta_Diptera_Asilidae_NA_sp_BOLD_ABW2452_size.3731","Diptera","Asilidae","NA","NA"
"R845_236__Insecta_Hymenoptera_Apidae_Bombus_Bombus_bifarius_BOLD_AAB4830_size.86","Hymenoptera","Apidae","Bombus","bifarius"
"R1294_78__Insecta_Hymenoptera_Pompilidae_Episyron_Episyron_biguttatus_BOLD_ABV9551_size.34","Hymenoptera","Pompilidae","Episyron","biguttatus"
"R3633_6__Insecta_Hymenoptera_Ichneumonidae_Aplomerus_NA_BOLD_ACT5589_size.9","Hymenoptera","Ichneumonidae","Aplomerus","NA"
"R1297_178__Insecta_Diptera_Lauxaniidae_Minettia_sp_BOLD_AAB8787_size.17","Diptera","Lauxaniidae","Minettia","NA"
"R904_134__Insecta_Hymenoptera_Formicidae_Tapinoma_sp_BOLD_AAA3898_size.9","Hymenoptera","Formicidae","Tapinoma","NA"
"R1276_125__Insecta_Hymenoptera_Formicidae_NA_sp_BOLD_ACW9594_size.15","Hymenoptera","Formicidae","NA","NA"
"R1234_88__Insecta_Lepidoptera_Tortricidae_Orthotaenia_Orthotaenia_undulana_BOLD_AAB4022_size.93","Lepidoptera","Tortricidae","Orthotaenia","undulana"
"R484_6__Insecta_Lepidoptera_Blastobasidae_Hypatopa_Hypatopa_simplicella_BOLD_AAB9632_size.161","Lepidoptera","Blastobasidae","Hypatopa","simplicella"
"R1682_42__Insecta_Hymenoptera_Apidae_Bombus_Bombus_melanopygus_BOLD_AAB5223_size.66","Hymenoptera","Apidae","Bombus","melanopygus"
"R2578_50__Insecta_Diptera_Heleomyzidae_Suillia_Suillia_nemorum_BOLD_ACX5303_size.69","Diptera","Heleomyzidae","Suillia","nemorum"
"R2772_3__Insecta_Coleoptera_Elateridae_Athous_Athous_sierrae_BOLD_AAP7790_size.319","Coleoptera","Elateridae","Athous","sierrae"
"R2278_26__Insecta_Hymenoptera_Apidae_Bombus_Bombus_melanopygus_BOLD_AAB5223_size.8","Hymenoptera","Apidae","Bombus","melanopygus"
"R2532_3__Insecta_Diptera_Keroplatidae_NA_NA_BOLD_AAP9078_size.247","Diptera","Keroplatidae","NA","NA"
"R2827_13__Insecta_Hymenoptera_Ichneumonidae_Aplomerus_NA_BOLD_ACB1489_size.58","Hymenoptera","Ichneumonidae","Aplomerus","NA"
"R1578_42__Insecta_Coleoptera_Elateridae_Dolerosomus_sp_BOLD_ACI5951_size.43","Coleoptera","Elateridae","Dolerosomus","NA"
"R1908_53__Insecta_Hemiptera_Aphididae_Cinara_Cinara_splendens_BOLD_AAL7025_size.141","Hemiptera","Aphididae","Cinara","splendens"
"R1966_21__Insecta_Neuroptera_Hemerobiidae_Hemerobius_NA_BOLD_ACZ4269_size.10","Neuroptera","Hemerobiidae","Hemerobius","NA"
"R2586_44__Insecta_Diptera_Syrphidae_Ferdinandea_Ferdinandea_buccata_BOLD_AAE0948_size.686","Diptera","Syrphidae","Ferdinandea","buccata"
"R2198_97__Insecta_Lepidoptera_Crambidae_Scoparia_Scoparia_biplagialis_BOLD_AAA1518_size.64","Lepidoptera","Crambidae","Scoparia","biplagialis"
"R464_143__Insecta_Diptera_Tachinidae_Xanthoepalpus_sp_BOLD_AAZ4955_size.265","Diptera","Tachinidae","Xanthoepalpus","NA"
"R2280_37__Insecta_Diptera_Empididae_Rhamphomyia_NA_BOLD_AAP2862_size.61","Diptera","Empididae","Rhamphomyia","NA"
"R1497_175__Insecta_Hymenoptera_Ichneumonidae_Helcostizus_sp_BOLD_ACI8855_size.12","Hymenoptera","Ichneumonidae","Helcostizus","NA"
"R1725_152__Insecta_Diptera_Empididae_NA_NA_BOLD_ACC0167_size.16","Diptera","Empididae","NA","NA"
"R3086_2__Insecta_Hymenoptera_Braconidae_Wroughtonia_NA_BOLD_ACB1459_size.605","Hymenoptera","Braconidae","Wroughtonia","NA"
"R349_106__Insecta_Hymenoptera_Ichneumonidae_NA_NA_BOLD_ABA8084_size.19","Hymenoptera","Ichneumonidae","NA","NA"
"R4843_6__Insecta_Diptera_Lauxaniidae_Minettia_sp_BOLD_AAU4691_size.38","Diptera","Lauxaniidae","Minettia","NA"
"R4689_7__Insecta_Lepidoptera_Gelechiidae_Chionodes_NA_BOLD_AAU7692_size.163","Lepidoptera","Gelechiidae","Chionodes","NA"
"R2354_19__Insecta_Diptera_NA_NA_NA_BOLD_ABA8385_size.151","Diptera","NA","NA","NA"
"R1225_154__Insecta_Diptera_Phoridae_Megaselia_NA_BOLD_ACG6395_size.20","Diptera","Phoridae","Megaselia","NA"
"R4619__Insecta_Diptera_Sciaridae_Hyperlasion_Hyperlasion_wasmanni_BOLD_ACX4194_size.205","Diptera","Sciaridae","Hyperlasion","wasmanni"
"R1373_108__Insecta_Diptera_Cecidomyiidae_NA_NA_BOLD_ADC1777_size.55","Diptera","Cecidomyiidae","NA","NA"
"R1174_149__Insecta_Lepidoptera_NA_NA_NA_BOLD_ACI7195_size.575","Lepidoptera","NA","NA","NA"
"R1890_132__Insecta_Hemiptera_Aleyrodidae_NA_NA_BOLD_ACI5425_size.14","Hemiptera","Aleyrodidae","NA","NA"
"R103_91__Insecta_Lepidoptera_Noctuidae_Pseudorthodes_Pseudorthodes_irrorata_BOLD_ABZ1590_size.523","Lepidoptera","Noctuidae","Pseudorthodes","irrorata"
"R154_20__Insecta_Hymenoptera_Ichneumonidae_NA_sp_BOLD_AAU8883_size.101","Hymenoptera","Ichneumonidae","NA","NA"
"R1338_94__Insecta_Lepidoptera_Yponomeutidae_Eucalantica_Eucalantica_polita_BOLD_AAB6103_size.27","Lepidoptera","Yponomeutidae","Eucalantica","polita"
"R3318_29__Insecta_Hemiptera_Cicadellidae_Empoasca_sp_BOLD_ACC4174_size.4","Hemiptera","Cicadellidae","Empoasca","NA"
"R7200__Insecta_Diptera_Phoridae_Megaselia_NA_BOLD_ACD9585_size.211","Diptera","Phoridae","Megaselia","NA"
"R2648_7__Insecta_Coleoptera_Cantharidae_Dichelotarsus_sp_BOLD_AAP7080_size.40","Coleoptera","Cantharidae","Dichelotarsus","NA"
"R1756_156__Insecta_Diptera_Cecidomyiidae_NA_sp_BOLD_ACC1724_size.16","Diptera","Cecidomyiidae","NA","NA"
"R2360_56__Insecta_Hemiptera_Miridae_Phytocoris_NA_BOLD_AAG8886_size.34","Hemiptera","Miridae","Phytocoris","NA"
"R2888_37__Insecta_Coleoptera_Ampedidae_Ampedus_NA_BOLD_ACU9860_size.40","Coleoptera","Ampedidae","Ampedus","NA"
"R2715_65__Insecta_Lepidoptera_Gelechiidae_Chionodes_NA_BOLD_AAI4285_size.185","Lepidoptera","Gelechiidae","Chionodes","NA"
"R1744_73__Insecta_Lepidoptera_Geometridae_Selenia_Selenia_alciphearia_BOLD_AAA6556_size.193","Lepidoptera","Geometridae","Selenia","alciphearia"
"R4415_8__Insecta_Lepidoptera_Noctuidae_Aseptis_Aseptis_binotata_BOLD_AAA4141_size.795","Lepidoptera","Noctuidae","Aseptis","binotata"
"R1261_90__Insecta_Coleoptera_NA_NA_sp_BOLD_AAY8856_size.240","Coleoptera","NA","NA","NA"
"R1965_75__Insecta_Hymenoptera_Vespidae_Vespula_Vespula_pensylvanica_BOLD_AAG8042_size.526","Hymenoptera","Vespidae","Vespula","pensylvanica"
"R2441_61__Insecta_Lepidoptera_Tortricidae_Ancylis_Ancylis_simuloides_BOLD_AAF4251_size.4","Lepidoptera","Tortricidae","Ancylis","simuloides"
"R1510_145__Insecta_Diptera_Anthomyiidae_Delia_Delia_albula_BOLD_AAP8834_size.16","Diptera","Anthomyiidae","Delia","albula"
"R1483_81__Insecta_Lepidoptera_Gelechiidae_Filatima_NA_BOLD_ACE5304_size.901","Lepidoptera","Gelechiidae","Filatima","NA"
"R1_92__Insecta_Lepidoptera_Noctuidae_Abagrotis_Abagrotis_apposita_BOLD_AAE9047_size.191","Lepidoptera","Noctuidae","Abagrotis","apposita"
"R2814_7__Insecta_Lepidoptera_Noctuidae_Xestia_Xestia_mustelina_BOLD_AAB7040_size.1376","Lepidoptera","Noctuidae","Xestia","mustelina"
"R1102_54__Insecta_Diptera_Anthomyiidae_Delia_sp_BOLD_AAG2511_size.176","Diptera","Anthomyiidae","Delia","NA"
"R1411_153__Insecta_Lepidoptera_Copromorphidae_Lotisma_Lotisma_trigonana_BOLD_AAF3918_size.18","Lepidoptera","Copromorphidae","Lotisma","trigonana"
"R1909_35__Insecta_Hemiptera_Aphrophoridae_Aphrophora_sp_BOLD_AAC1332_size.138","Hemiptera","Aphrophoridae","Aphrophora","NA"
"R1315_123__Insecta_Hymenoptera_Ichneumonidae_Campoplex_sp_BOLD_AAE7918_size.4","Hymenoptera","Ichneumonidae","Campoplex","NA"
"R1975_95__Insecta_Hymenoptera_Ichneumonidae_Cratocryptus_NA_BOLD_AAG8079_size.10","Hymenoptera","Ichneumonidae","Cratocryptus","NA"
"R1255_150__Insecta_Diptera_Phoridae_Megaselia_NA_BOLD_AAG3259_size.11","Diptera","Phoridae","Megaselia","NA"
"R3077_17__Insecta_Diptera_Tachinidae_Billaea_Billaea_trivittata_BOLD_ACI7545_size.284","Diptera","Tachinidae","Billaea","trivittata"
"R862_204__Insecta_Diptera_Hybotidae_Tachypeza_Tachypeza_corticalis_BOLD_AAP2863_size.15","Diptera","Hybotidae","Tachypeza","corticalis"
"R1576_168__Insecta_Diptera_Phoridae_Megaselia_NA_BOLD_AAG3255_size.8","Diptera","Phoridae","Megaselia","NA"
"R3283_25__Insecta_Diptera_Phoridae_Megaselia_NA_BOLD_ACC9898_size.15","Diptera","Phoridae","Megaselia","NA"
"R273_19__Insecta_Diptera_Tachinidae_Ateloglossa_Ateloglossa_marginalis_BOLD_AAG2138_size.405","Diptera","Tachinidae","Ateloglossa","marginalis"
"R1537_97__Insecta_Lepidoptera_Geometridae_Perizoma_Perizoma_curvilinea_BOLD_AAA8277_size.236","Lepidoptera","Geometridae","Perizoma","curvilinea"
"R3574_6__Insecta_Diptera_Dolichopodidae_Scellus_Scellus_amplus_BOLD_ACA9697_size.282","Diptera","Dolichopodidae","Scellus","amplus"
"R2641_42__Insecta_Coleoptera_BOLD_ABA6332_size.12","Coleoptera","NA","NA","NA"
"R4754__Insecta_Hymenoptera_Ichneumonidae_Megastylus_sp_BOLD_AAF3508_size.28","Hymenoptera","Ichneumonidae","Megastylus","NA"
"R3088_11__Insecta_Coleoptera_Cerambycidae_Stenostrophia_sp_BOLD_ABW6219_size.547","Coleoptera","Cerambycidae","Stenostrophia","NA"
"R3198_30__Insecta_Coleoptera_Coccinellidae_Mulsantina_Mulsantina_picta_BOLD_AAM7729_size.25","Coleoptera","Coccinellidae","Mulsantina","picta"
"R1328_78__Insecta_Hymenoptera_Ichneumonidae_NA_NA_BOLD_AAE7717_size.43","Hymenoptera","Ichneumonidae","NA","NA"
"R5970_5__Insecta_Lepidoptera_NA_NA_NA_BOLD_ACN9608_size.11","Lepidoptera","NA","NA","NA"
"R3756_2__Insecta_Lepidoptera_Ypsolophidae_Ypsolopha_Ypsolopha_rubrella_BOLD_AAF5804_size.133","Lepidoptera","Ypsolophidae","Ypsolopha","rubrella"
"R1213_5__Insecta_Hemiptera_Cicadellidae_Eupteryx_sp_BOLD_ABA5805_size.25","Hemiptera","Cicadellidae","Eupteryx","NA"
"R1968_25__Insecta_Diptera_Tabanidae_Chrysops_NA_BOLD_AAP7671_size.363","Diptera","Tabanidae","Chrysops","NA"
"R1220_5__Insecta_Coleoptera_BOLD_ACI6600_size.182","Coleoptera","NA","NA","NA"
"R2362_19__Insecta_Diptera_Scathophagidae_Scathophaga_NA_BOLD_AAD0853_size.248","Diptera","Scathophagidae","Scathophaga","NA"
"R1745_42__Insecta_Coleoptera_Lampyridae_Phausis_sp_BOLD_ACC3124_size.66","Coleoptera","Lampyridae","Phausis","NA"
"R1702_54__Insecta_Hymenoptera_Ichneumonidae_Bathythrix_Bathythrix_fragilis_BOLD_AAQ2908_size.29","Hymenoptera","Ichneumonidae","Bathythrix","fragilis"
"R2437_18__Insecta_Lepidoptera_Tortricidae_Epinotia_Epinotia_tsugana_BOLD_AAD9403_size.30","Lepidoptera","Tortricidae","Epinotia","tsugana"
"R3371_22__Insecta_Diptera_Muscidae_Helina_sp_BOLD_AAG1717_size.4","Diptera","Muscidae","Helina","NA"
"R2642_19__Insecta_Diptera_Empididae_NA_sp_BOLD_ACG6571_size.38","Diptera","Empididae","NA","NA"
"R1506_81__Insecta_Lepidoptera_Gelechiidae_Chionodes_sp_BOLD_AAA4662_size.395","Lepidoptera","Gelechiidae","Chionodes","NA"
"R2110_96__Insecta_Coleoptera_Eucnemidae_Epiphanis_Epiphanis_cornutus_BOLD_AAP7844_size.10","Coleoptera","Eucnemidae","Epiphanis","cornutus"
"R1698_36__Insecta_Lepidoptera_Geometridae_Lambdina_Lambdina_fiscellaria_BOLD_AAA5482_size.5070","Lepidoptera","Geometridae","Lambdina","fiscellaria"
"R454_73__Insecta_Diptera_Anthomyiidae_Hylemya_NA_BOLD_ACF2899_size.116","Diptera","Anthomyiidae","Hylemya","NA"
"R1929_112__Insecta_Diptera_Phoridae_Megaselia_sp_BOLD_ACD1294_size.23","Diptera","Phoridae","Megaselia","NA"
"R2254_17__Insecta_Diptera_Syrphidae_Meliscaeva_Meliscaeva_cinctella_BOLD_AAD0765_size.71","Diptera","Syrphidae","Meliscaeva","cinctella"
"R308_91__Insecta_Lepidoptera_Noctuidae_Lacinipolia_Lacinipolia_cuneata_BOLD_AAB1084_size.77","Lepidoptera","Noctuidae","Lacinipolia","cuneata"
"R1788_127__Insecta_Diptera_Syrphidae_Melanostoma_sp_BOLD_AAB2866_size.8","Diptera","Syrphidae","Melanostoma","NA"
"R2656_10__Insecta_Diptera_Syrphidae_Melanostoma_Melanostoma_mellinum_BOLD_AAB2866_size.215","Diptera","Syrphidae","Melanostoma","mellinum"
"R1665_46__Insecta_Hymenoptera_Ichneumonidae_Therion_sp_BOLD_ABV4559_size.97","Hymenoptera","Ichneumonidae","Therion","NA"
"R1139_73__Insecta_Coleoptera_BOLD_AAL8070_size.22","Coleoptera","NA","NA","NA"
"R1263_163__Insecta_Diptera_Limoniidae_Limonia_Limonia_nubeculosa_BOLD_AAI1355_size.24","Diptera","Limoniidae","Limonia","nubeculosa"
"R2876_9__Insecta_Diptera_Muscidae_Helina_sp_BOLD_ACC4838_size.92","Diptera","Muscidae","Helina","NA"
"R2828_6__Insecta_Lepidoptera_NA_NA_NA_BOLD_ABX3771_size.124","Lepidoptera","NA","NA","NA"
"R1717_10__Insecta_Lepidoptera_Coleophoridae_Coleophora_Coleophora_glaucella_BOLD_AAB6565_size.16","Lepidoptera","Coleophoridae","Coleophora","glaucella"
"R2523_3__Insecta_Hemiptera_Cicadellidae_Macustus_sp_BOLD_ACY0336_size.15","Hemiptera","Cicadellidae","Macustus","NA"
"R3106_8__Insecta_Hemiptera_Miridae_Phytocoris_sp_BOLD_AAE4645_size.13","Hemiptera","Miridae","Phytocoris","NA"
"R53_14__Insecta_Hymenoptera_Vespidae_Dolichovespula_Dolichovespula_adulterina_BOLD_AAI6347_size.422","Hymenoptera","Vespidae","Dolichovespula","adulterina"
"R2114_21__Insecta_Diptera_Muscidae_Mydaea_Mydaea_orthonevra_BOLD_AAG1715_size.294","Diptera","Muscidae","Mydaea","orthonevra"
"R2503_22__Insecta_Hymenoptera_Ichneumonidae_NA_sp_BOLD_AAG7729_size.86","Hymenoptera","Ichneumonidae","NA","NA"
"R1360_94__Arachnida_Araneae_Agelenidae_Agelenopsis_sp_BOLD_AAB0090_size.343","Araneae","Agelenidae","Agelenopsis","NA"
"R3505_3__Insecta_Diptera_Empididae_NA_sp_BOLD_ACU3303_size.171","Diptera","Empididae","NA","NA"
"R1984_89__Insecta_Hymenoptera_Ichneumonidae_Hyposoter_sp_BOLD_ABA0310_size.14","Hymenoptera","Ichneumonidae","Hyposoter","NA"
"R1065_42__Insecta_Lepidoptera_Gelechiidae_Chionodes_Chionodes_obscurusella_BOLD_AAA4439_size.9","Lepidoptera","Gelechiidae","Chionodes","obscurusella"
"R2653_66__Insecta_Coleoptera_Anobiidae_Ptilinus_Ptilinus_basalis_BOLD_ACI7730_size.71","Coleoptera","Anobiidae","Ptilinus","basalis"
"R680_137__Insecta_Diptera_Tachinidae_Gymnosoma_Gymnosoma_occidua_BOLD_AAG2334_size.77","Diptera","Tachinidae","Gymnosoma","occidua"
"R1137_6__Insecta_Lepidoptera_NA_NA_NA_BOLD_ACE5079_size.147","Lepidoptera","NA","NA","NA"
"R3066_36__Insecta_Diptera_Dolichopodidae_NA_NA_BOLD_ACC0778_size.56","Diptera","Dolichopodidae","NA","NA"
"R1537_81__Insecta_Diptera_Tachinidae_Xanthomelanodes_Xanthomelanodes_arcuatus_BOLD_AAP8643_size.30","Diptera","Tachinidae","Xanthomelanodes","arcuatus"
"R1166_105__Insecta_Lepidoptera_Gelechiidae_Helcystogramma_Helcystogramma_badia_BOLD_AAY1913_size.27","Lepidoptera","Gelechiidae","Helcystogramma","badia"
"R920_65__Insecta_Coleoptera_Curculionidae_Anisandrus_sp_BOLD_AAD0158_size.148","Coleoptera","Curculionidae","Anisandrus","NA"
"R4830__Insecta_Diptera_Phoridae_Megaselia_NA_BOLD_ACC2309_size.6","Diptera","Phoridae","Megaselia","NA"
"R2516_43__Insecta_Lepidoptera_Gracillariidae_Cameraria_Cameraria_gaultheriella_BOLD_AAD2053_size.29","Lepidoptera","Gracillariidae","Cameraria","gaultheriella"
"R2301_37__Insecta_Diptera_Cecidomyiidae_NA_NA_BOLD_AAV5604_size.7","Diptera","Cecidomyiidae","NA","NA"
"R820_4__Insecta_Coleoptera_Ampedidae_Ampedus_sp_BOLD_ACC8890_size.671","Coleoptera","Ampedidae","Ampedus","NA"
"R4095_13__Insecta_Lepidoptera_Lyonetiidae_Leucoptera_Leucoptera_spartifoliella_BOLD_AAX4977_size.45","Lepidoptera","Lyonetiidae","Leucoptera","spartifoliella"
"R1843_28__Insecta_Lepidoptera_Noctuidae_Adelphagrotis_Adelphagrotis_stellaris_BOLD_AAC2434_size.954","Lepidoptera","Noctuidae","Adelphagrotis","stellaris"
"R1705_10__Insecta_Hymenoptera_Ichneumonidae_Mesoleptus_NA_BOLD_ACB1703_size.137","Hymenoptera","Ichneumonidae","Mesoleptus","NA"
"R1650_82__Insecta_Diptera_Chironomidae_Tanytarsus_NA_BOLD_ACG7032_size.10","Diptera","Chironomidae","Tanytarsus","NA"
"R2014_70__Insecta_Hymenoptera_Argidae_Arge_sp_BOLD_AAC4292_size.71","Hymenoptera","Argidae","Arge","NA"
"R1812_23__Insecta_Trichoptera_Limnephilidae_Limnephilus_Limnephilus_nogus_BOLD_AAJ2663_size.19","Trichoptera","Limnephilidae","Limnephilus","nogus"
"R1343_86__Insecta_Hemiptera_Aphididae_Cinara_sp_BOLD_AAI3978_size.8","Hemiptera","Aphididae","Cinara","NA"
"R2185_33__Insecta_Diptera_Chironomidae_NA_NA_BOLD_AAP8994_size.46","Diptera","Chironomidae","NA","NA"
"R1882_75__Insecta_Lepidoptera_Gelechiidae_Monochroa_sp_BOLD_ACA7615_size.58","Lepidoptera","Gelechiidae","Monochroa","NA"
"R3576_18__Insecta_Diptera_BOLD_ACN4807_size.317","Diptera","NA","NA","NA"
"R1761_8__Insecta_Hymenoptera_Apidae_Apis_sp_BOLD_AAA2326_size.1403","Hymenoptera","Apidae","Apis","NA"
"R2693_33__Insecta_Diptera_Cecidomyiidae_NA_NA_BOLD_ACI6526_size.13","Diptera","Cecidomyiidae","NA","NA"
"R3535__Insecta_Lepidoptera_Geometridae_Trichodezia_Trichodezia_californiata_BOLD_ACG0970_size.794","Lepidoptera","Geometridae","Trichodezia","californiata"
"R1914_44__Insecta_Diptera_Hybotidae_Hoplocyrtoma_Hoplocyrtoma_procera_BOLD_ABY3316_size.22","Diptera","Hybotidae","Hoplocyrtoma","procera"
"R1707_76__Insecta_Coleoptera_BOLD_ABW1434_size.15","Coleoptera","NA","NA","NA"
"R767_72__Insecta_Diptera_Limoniidae_NA_NA_BOLD_ACI9199_size.142","Diptera","Limoniidae","NA","NA"
"R2247_29__Insecta_Coleoptera_Ampedidae_Ampedus_Ampedus_nigrinus_BOLD_ACU3542_size.42","Coleoptera","Ampedidae","Ampedus","nigrinus"
"R2521_22__Insecta_Lepidoptera_Geometridae_Enypia_Enypia_venata_BOLD_AAA2071_size.66","Lepidoptera","Geometridae","Enypia","venata"
"R1837_65__Insecta_Diptera_Chironomidae_NA_NA_BOLD_ACB9611_size.18","Diptera","Chironomidae","NA","NA"
"R2095_2__Insecta_Trichoptera_Odontoceridae_Parthina_NA_BOLD_AAD9068_size.39","Trichoptera","Odontoceridae","Parthina","NA"
"R1705_18__Insecta_Coleoptera_BOLD_ACX7214_size.27","Coleoptera","NA","NA","NA"
"R4254_3__Insecta_Hymenoptera_Ichneumonidae_NA_NA_BOLD_AAU9115_size.57","Hymenoptera","Ichneumonidae","NA","NA"
"R2302_30__Insecta_Hymenoptera_Ichneumonidae_NA_sp_BOLD_ACL1068_size.100","Hymenoptera","Ichneumonidae","NA","NA"
"R3676_8__Insecta_Diptera_Phoridae_Megaselia_NA_BOLD_ACK7179_size.2","Diptera","Phoridae","Megaselia","NA"
"R3094_6__Insecta_Diptera_Tachinidae_Admontia_NA_BOLD_ACI4066_size.93","Diptera","Tachinidae","Admontia","NA"
