"otu","order","family","genus","species"
"R3532_2__Insecta_Diptera_Keroplatidae_NA_NA_BOLD_ACD3023_size.370","Diptera","Keroplatidae","NA","NA"
"R2457_74__Insecta_Diptera_Drosophilidae_Drosophila_sp_BOLD_AAB8851_size.6","Diptera","Drosophilidae","Drosophila","NA"
"R1707_2__Insecta_Hymenoptera_Ichneumonidae_NA_NA_BOLD_ACB1534_size.675","Hymenoptera","Ichneumonidae","NA","NA"
"R1758_75__Insecta_Hymenoptera_Ichneumonidae_NA_sp_BOLD_ACE1717_size.23","Hymenoptera","Ichneumonidae","NA","NA"
"R3606_5__Insecta_Diptera_Tabanidae_Hybomitra_sp_BOLD_ACG6460_size.885","Diptera","Tabanidae","Hybomitra","NA"
"R3333_26__Insecta_Lepidoptera_Nepticulidae_Stigmella_sp_BOLD_ACB2708_size.3","Lepidoptera","Nepticulidae","Stigmella","NA"
"R1529_54__Insecta_Psocodea_Caeciliusidae_Valenzuela_Valenzuela_flavidus_BOLD_AAH3228_size.140","Psocodea","Caeciliusidae","Valenzuela","flavidus"
"R2711_73__Insecta_Hymenoptera_Formicidae_Leptothorax_NA_BOLD_AAB1385_size.15","Hymenoptera","Formicidae","Leptothorax","NA"
"R2534_53__Insecta_Diptera_Cecidomyiidae_NA_NA_BOLD_AAV5622_size.32","Diptera","Cecidomyiidae","NA","NA"
"R4170_16__Insecta_Hymenoptera_Crabronidae_Rhopalum_Rhopalum_clavipes_BOLD_AAN8139_size.11","Hymenoptera","Crabronidae","Rhopalum","clavipes"
"R6336_2__Insecta_Lepidoptera_Geometridae_Enypia_NA_BOLD_AAA6739_size.237","Lepidoptera","Geometridae","Enypia","NA"
"R3252_14__Insecta_Diptera_Phoridae_Megaselia_NA_BOLD_ACU6891_size.114","Diptera","Phoridae","Megaselia","NA"
"R911_126__Insecta_Diptera_Phoridae_Megaselia_sp_BOLD_ACI7290_size.20","Diptera","Phoridae","Megaselia","NA"
"R824_90__Insecta_Diptera_Muscidae_Helina_NA_BOLD_ABY9119_size.180","Diptera","Muscidae","Helina","NA"
"R1182_16__Insecta_Lepidoptera_Geometridae_Campaea_Campaea_perlata_BOLD_AAA2078_size.1131","Lepidoptera","Geometridae","Campaea","perlata"
"R864__Insecta_Hymenoptera_Vespidae_Dolichovespula_Dolichovespula_norvegicoides_BOLD_AAB9565_size.14844","Hymenoptera","Vespidae","Dolichovespula","norvegicoides"
"R1386_10__Insecta_Diptera_Sarcophagidae_Sarcophaga_NA_BOLD_AAP7706_size.606","Diptera","Sarcophagidae","Sarcophaga","NA"
"R2032_20__Insecta_Diptera_Muscidae_Phaonia_Phaonia_errans_BOLD_ACE6851_size.2","Diptera","Muscidae","Phaonia","errans"
"R2732_7__Insecta_Diptera_Phoridae_Megaselia_NA_BOLD_ACC9948_size.57","Diptera","Phoridae","Megaselia","NA"
"R2717_3__Insecta_Diptera_Muscidae_Coenosia_NA_BOLD_ACB9516_size.111","Diptera","Muscidae","Coenosia","NA"
"R2672_10__Insecta_Diptera_Ditomyiidae_NA_NA_BOLD_AAP8153_size.213","Diptera","Ditomyiidae","NA","NA"
"R1791_9__Insecta_Diptera_Tipulidae_NA_NA_BOLD_ACY1009_size.389","Diptera","Tipulidae","NA","NA"
"R1778_88__Insecta_Lepidoptera_Noctuidae_Diarsia_Diarsia_esurialis_BOLD_ABX6710_size.165","Lepidoptera","Noctuidae","Diarsia","esurialis"
"R821_28__Insecta_Diptera_Tabanidae_Chrysops_NA_BOLD_AAP7670_size.1395","Diptera","Tabanidae","Chrysops","NA"
"R1835_2__Insecta_Diptera_NA_NA_sp_BOLD_ACX8657_size.877","Diptera","NA","NA","NA"
"R814__Insecta_Diptera_Keroplatidae_NA_sp_BOLD_ACX2568_size.769","Diptera","Keroplatidae","NA","NA"
"R1_26__Insecta_Diptera_Muscidae_Helina_sp_BOLD_ACE8833_size.2760","Diptera","Muscidae","Helina","NA"
"R1249_5__Insecta_Diptera_Anthomyiidae_Hylemyza_NA_BOLD_AAL8103_size.404","Diptera","Anthomyiidae","Hylemyza","NA"
"R1182_210__Insecta_Diptera_Anthomyiidae_Hylemya_NA_BOLD_ADQ9158_size.64","Diptera","Anthomyiidae","Hylemya","NA"
"R2939_51__Insecta_Neuroptera_Hemerobiidae_Hemerobius_Hemerobius_stigma_BOLD_AAG0891_size.72","Neuroptera","Hemerobiidae","Hemerobius","stigma"
"R1115_213__Arachnida_Opiliones_BOLD_AAX2417_size.81","Opiliones","NA","NA","NA"
"R1113_63__Insecta_Diptera_Keroplatidae_NA_NA_BOLD_ACV7181_size.9","Diptera","Keroplatidae","NA","NA"
"R1148_107__Insecta_Hemiptera_Cicadellidae_Colladonus_sp_BOLD_ABX4169_size.39","Hemiptera","Cicadellidae","Colladonus","NA"
"R1827_104__Insecta_Hymenoptera_Ichneumonidae_NA_NA_BOLD_ACB1611_size.33","Hymenoptera","Ichneumonidae","NA","NA"
"R2164_94__Insecta_Diptera_Anthomyiidae_Lasiomma_NA_BOLD_AAG2515_size.24","Diptera","Anthomyiidae","Lasiomma","NA"
"R2351_47__Insecta_Diptera_Cecidomyiidae_NA_NA_BOLD_ACC1523_size.8","Diptera","Cecidomyiidae","NA","NA"
"R1999_80__Insecta_Hymenoptera_Ichneumonidae_NA_NA_BOLD_AAU8873_size.38","Hymenoptera","Ichneumonidae","NA","NA"
"R1968_9__Insecta_Diptera_Cecidomyiidae_NA_NA_BOLD_ACB8810_size.32","Diptera","Cecidomyiidae","NA","NA"
"R3147_25__Insecta_Diptera_Sciaridae_NA_NA_BOLD_ACC1657_size.14","Diptera","Sciaridae","NA","NA"
"R905_109__Insecta_Diptera_Hybotidae_NA_NA_BOLD_ACZ0135_size.13","Diptera","Hybotidae","NA","NA"
"R1788_79__Insecta_Hymenoptera_NA_NA_sp_BOLD_ABV0695_size.58","Hymenoptera","NA","NA","NA"
"R1874_142__Insecta_Diptera_Piophilidae_Actenoptera_Actenoptera_hilarella_BOLD_AAG0471_size.55","Diptera","Piophilidae","Actenoptera","hilarella"
"R1912_11__Insecta_Hymenoptera_Ichneumonidae_NA_NA_BOLD_ACE5353_size.652","Hymenoptera","Ichneumonidae","NA","NA"
"R695__Insecta_Hymenoptera_Apidae_Bombus_Bombus_flavifrons_BOLD_ACE3465_size.1161","Hymenoptera","Apidae","Bombus","flavifrons"
"R7_73__Insecta_Diptera_Phoridae_Megaselia_NA_BOLD_ACD1105_size.8","Diptera","Phoridae","Megaselia","NA"
"R1233_87__Insecta_Diptera_Cecidomyiidae_NA_NA_BOLD_ACI6458_size.35","Diptera","Cecidomyiidae","NA","NA"
"R1825_22__Insecta_Psocodea_Philotarsidae_Philotarsus_Philotarsus_californicus_BOLD_ACU2415_size.51","Psocodea","Philotarsidae","Philotarsus","californicus"
"R1854_85__Insecta_Diptera_Cecidomyiidae_NA_NA_BOLD_ACZ4244_size.25","Diptera","Cecidomyiidae","NA","NA"
"R2061_14__Insecta_Coleoptera_Melyridae_Dasyrhadus_sp_BOLD_ACX2918_size.5","Coleoptera","Melyridae","Dasyrhadus","NA"
"R4228_13__Insecta_Diptera_Cecidomyiidae_NA_NA_BOLD_ACX4695_size.16","Diptera","Cecidomyiidae","NA","NA"
"R1172_26__Insecta_Diptera_Phoridae_Megaselia_sp_BOLD_ACM0844_size.36","Diptera","Phoridae","Megaselia","NA"
"R1678_98__Insecta_Diptera_Cecidomyiidae_NA_NA_BOLD_ACB9287_size.39","Diptera","Cecidomyiidae","NA","NA"
"R3216_8__Insecta_Diptera_Muscidae_Helina_Helina_evecta_BOLD_AAC2498_size.1032","Diptera","Muscidae","Helina","evecta"
"R3311_2__Insecta_Coleoptera_Curculionidae_NA_sp_BOLD_ACJ2713_size.220","Coleoptera","Curculionidae","NA","NA"
"R5047_2__Insecta_Hemiptera_Cicadellidae_Osbornellus_NA_BOLD_ACX3634_size.538","Hemiptera","Cicadellidae","Osbornellus","NA"
"R5380_5__Insecta_Diptera_Cecidomyiidae_NA_NA_BOLD_ACT6661_size.71","Diptera","Cecidomyiidae","NA","NA"
"R1513_114__Insecta_Diptera_Sciaridae_Bradysia_Bradysia_placida_BOLD_ACR4350_size.36","Diptera","Sciaridae","Bradysia","placida"
"R2493_18__Insecta_Psocodea_Psocidae_Loensia_Loensia_maculosa_BOLD_ACC5693_size.354","Psocodea","Psocidae","Loensia","maculosa"
"R1945__Insecta_Diptera_Sciomyzidae_NA_NA_BOLD_AAP6462_size.148","Diptera","Sciomyzidae","NA","NA"
"R1464_137__Insecta_Hemiptera_Miridae_Psallovius_Psallovius_piceicola_BOLD_AAZ1683_size.21","Hemiptera","Miridae","Psallovius","piceicola"
"R2610_25__Insecta_Hymenoptera_Braconidae_Meteorus_NA_BOLD_ACG6325_size.25","Hymenoptera","Braconidae","Meteorus","NA"
"R2555_4__Insecta_Coleoptera_Curculionidae_NA_sp_BOLD_ADQ7967_size.42","Coleoptera","Curculionidae","NA","NA"
"R1958_109__Insecta_Diptera_Phoridae_Megaselia_sp_BOLD_ACG7069_size.10","Diptera","Phoridae","Megaselia","NA"
"R2664_7__Insecta_Coleoptera_Curculionidae_NA_NA_BOLD_ADQ7967_size.483","Coleoptera","Curculionidae","NA","NA"
"R1815_87__Insecta_Diptera_Sciaridae_NA_NA_BOLD_ACI9213_size.20","Diptera","Sciaridae","NA","NA"
"R306_18__Insecta_Lepidoptera_Geometridae_Nepytia_Nepytia_umbrosaria_BOLD_AAC8504_size.843","Lepidoptera","Geometridae","Nepytia","umbrosaria"
"R3248_25__Insecta_Diptera_Phoridae_Megaselia_NA_BOLD_AAU5673_size.8","Diptera","Phoridae","Megaselia","NA"
"R426__Insecta_Odonata_Coenagrionidae_Enallagma_NA_BOLD_AAA2218_size.2666","Odonata","Coenagrionidae","Enallagma","NA"
"R611__Insecta_Coleoptera_Elateridae_Athous_Athous_scissus_BOLD_ACX0632_size.1024","Coleoptera","Elateridae","Athous","scissus"
"R3640_6__Arachnida_Araneae_Anyphaenidae_Anyphaena_Anyphaena_pacifica_BOLD_AAJ2526_size.1668","Araneae","Anyphaenidae","Anyphaena","pacifica"
"R2313_26__Insecta_Coleoptera_Cerambycidae_Pidonia_Pidonia_quadrata_BOLD_AAD4910_size.32","Coleoptera","Cerambycidae","Pidonia","quadrata"
"R3622_25__Insecta_Hymenoptera_Ichneumonidae_NA_NA_BOLD_ACY6323_size.48","Hymenoptera","Ichneumonidae","NA","NA"
"R1804_151__Insecta_Diptera_Heleomyzidae_Suillia_Suillia_sororcula_BOLD_AAP8074_size.6","Diptera","Heleomyzidae","Suillia","sororcula"
"R2540_2__Insecta_Lepidoptera_Oecophoridae_Denisia_Denisia_haydenella_BOLD_AAD4867_size.108","Lepidoptera","Oecophoridae","Denisia","haydenella"
"R1391_26__Insecta_Diptera_Keroplatidae_NA_NA_BOLD_AAP9077_size.207","Diptera","Keroplatidae","NA","NA"
"R1888_2__Insecta_Coleoptera_Elateridae_Gamepenthes_sp_BOLD_ACI5218_size.855","Coleoptera","Elateridae","Gamepenthes","NA"
"R2211_16__Insecta_Diptera_Keroplatidae_NA_NA_BOLD_ACU5785_size.138","Diptera","Keroplatidae","NA","NA"
"R2662_74__Insecta_Diptera_Chironomidae_Chironomus_NA_BOLD_ACL4081_size.45","Diptera","Chironomidae","Chironomus","NA"
"R2210_32__Insecta_Coleoptera_Elateridae_Ctenicera_Ctenicera_angularis_BOLD_AAQ0082_size.6","Coleoptera","Elateridae","Ctenicera","angularis"
"R4174_13__Insecta_Coleoptera_Throscidae_Aulonothroscus_sp_BOLD_AAU7339_size.6","Coleoptera","Throscidae","Aulonothroscus","NA"
"R6983_2__Insecta_Coleoptera_Scraptiidae_Anaspis_sp_BOLD_AAP7056_size.217","Coleoptera","Scraptiidae","Anaspis","NA"
"R2644_74__Insecta_Diptera_Mycetophilidae_Cordyla_NA_BOLD_ACB6454_size.14","Diptera","Mycetophilidae","Cordyla","NA"
"R2698_73__Insecta_Diptera_Chironomidae_Paratanytarsus_sp_BOLD_AAC8842_size.45","Diptera","Chironomidae","Paratanytarsus","NA"
"R723_111__Insecta_Hymenoptera_Formicidae_Lasius_Lasius_pallitarsis_BOLD_AAE1550_size.723","Hymenoptera","Formicidae","Lasius","pallitarsis"
"R3360_10__Insecta_Diptera_Cecidomyiidae_NA_NA_BOLD_ACC1724_size.40","Diptera","Cecidomyiidae","NA","NA"
"R1671_158__Insecta_Diptera_Chironomidae_NA_NA_BOLD_AAV6023_size.21","Diptera","Chironomidae","NA","NA"
"R3807_2__Insecta_Psocodea_Caeciliusidae_Valenzuela_sp_BOLD_AAP4630_size.86","Psocodea","Caeciliusidae","Valenzuela","NA"
