rownumber,SiteName,UTM_E,UTM_N,o,y,point.ID,poly.ID,AGENCY,UNIT_NAME,TS_NAME,YEAR,YrsSinceDi,TREATMENT_,class,e,ht,mint,maxt,p,r.d,s.d,YrsSinceDist,hja
56,134101,559836,4897180,4,1,56,312,USFS,WIL,NA,1959,59,Clearcut,2,2199.550049,81.35986328,3.940000057,15.93999958,2047.560059,64.29767924,374.4860737,1,0
57,130102,561523,4898458,43,0,57,NA,NA,NA,NA,NA,NA,NA,NA,2552.300049,48.48999023,3.200000048,15.35999966,2059.080078,29.37794725,791.8915596,200,0
58,128101,562060,4898855,15,0,58,266,USFS,WIL,BLUE RIDGE,1976,42,Clearcut,2,2637.540039,46.67993164,4,14.98999977,2043.589966,78.92102043,1004.61157,42,0
59,130101,561772,4899699,30,0,59,NA,NA,NA,NA,NA,NA,NA,NA,2479.62207,136.8269043,3.440000057,15.06999969,2030.880005,27.95330285,559.1326869,200,0
60,279822,562363,4899611,4,0,60,235,USFS,WIL,BLUE RIDGE #2,1976,42,Clearcut,2,2467.959961,77.2199707,4.019999981,14.98999977,2007.02002,27.64883594,996.699404,42,0
61,268413,562804,4900021,55,14,61,1656,USFS,WIL,BLUE RIVER FACE,2004,14,Single-tree selectio,1,2304.290039,117.4899902,4.019999981,14.98999977,2007.02002,30.22538551,812.2824267,14,0
62,252447,563239,4900683,15,0,62,213,USFS,WIL,BLUE EXTENSION,1981,37,Clearcut,1,2394.340088,45.55981445,4.03000021,14.98999977,2019.530029,56.64276602,686.9234804,37,0
63,HOBO-211,561071,4897180,61,0,63,NA,NA,NA,NA,NA,NA,NA,NA,1581.699951,136.4400635,3.960000038,15.82999992,2018.030029,42.99512918,9.638483993,200,1
64,HOBO-341,562273,4896274,32,0,64,NA,NA,NA,NA,NA,NA,NA,NA,2591.77002,111.1799316,4.170000076,14.56999969,2220.060059,40.48778713,207.8060719,200,1
65,HOBO-347,561155,4895781,15,0,65,NA,NA,NA,NA,NA,NA,NA,NA,2446.879883,197.5800781,4.170000076,15.07999992,2006.209961,178.6770368,1073.540075,200,1
66,HOBO-357,562701,4895822,44,0,66,376,USFS,WIL,NA,1959,59,Clearcut,2,2864.699951,124.2800293,4.170000076,14.56999969,2220.060059,9.536354523,226.7966605,59,1
67,HOBO-353,561600,4895723,38,0,67,361,USFS,WIL,NA,1963,55,Clearcut,2,2795.389893,41.26000977,4.079999924,14.86999989,2075.419922,12.60788289,1059.35319,55,1
68,HOBO-345,563178,4896142,56,0,68,NA,NA,NA,NA,NA,NA,NA,NA,3412.72998,138.0200195,3.630000114,14.38000011,2334.959961,35.71219443,213.0339074,200,1
69,HOBO-351,562042,4895853,47,0,69,NA,NA,NA,NA,NA,NA,NA,NA,2939.459961,93.67993164,4.079999924,14.86999989,2075.419922,17.72213879,621.2394419,200,1
70,HOBO-032,565592,4895774,8,0,70,369,USFS,WIL,NA,1957,61,Clearcut,2,3882.040039,76.45996094,3.539999962,14.23999977,2494.469971,28.43793811,1108.3837,61,1
71,HOBO-014,564342,4896049,23,0,71,NA,NA,NA,NA,NA,NA,NA,NA,3834.449951,152.0700684,3.329999924,14.13000011,2426.570068,39.04573274,811.0087973,200,1
72,HOBO-040,566145,4895960,13,0,72,369,USFS,WIL,NA,1957,61,Clearcut,2,3618.939941,94.18017578,3.539999962,14.23999977,2494.469971,146.5642144,644.2562589,61,1
73,HOBO-060,567339,4895095,0,0,73,397,USFS,WIL,LOOKOUT RIDGE,1962,56,Clearcut,2,3888.629883,79.64013672,3.25999999,14.06999969,2688.25,83.85760617,658.8014009,56,1
74,76361,559380,4908110,5,0,74,1321,USFS,WIL,BEAR PASS,1975,43,Clearcut,2,4242.602051,33.23974609,2.059999943,12.31000042,2612.600098,39.67574415,800.4324215,43,0
75,159408,557638,4905945,3,0,75,1381,USFS,WIL,NA,1975,43,Clearcut,2,4095.676514,30.78588867,2.309999943,12.52000046,2463.189941,29.43668819,756.5364354,43,0
76,155365,559531,4905949,24,0,76,461,USFS,WIL,WEST QUENTIN,1972,46,Clearcut,2,3759.321289,50.12158203,2.680000067,13.10999966,2321.899902,34.75224728,856.9424539,46,0
77,123545,559069,4906844,41,0,77,NA,NA,NA,NA,NA,NA,NA,NA,4056.288818,5.939941406,2.680000067,13.10999966,2321.899902,20.66578171,711.2952603,200,0
78,217961,559905,4904157,42,0,78,NA,NA,NA,NA,NA,NA,NA,NA,3724.183838,98.75952148,3.170000076,13.84000015,2207.959961,13.29934609,979.8862031,200,0
79,131067,560727,4904273,3,32,79,111,USFS,WIL,UPPER QUENTIN,1985,33,Clearcut,1,3250.861328,23.80615234,3.779999971,14.13000011,2205.790039,29.13019392,534.1264758,32,0
80,207746,561269,4904331,14,32,80,109,USFS,WIL,UPPER QUENTIN,1985,33,Clearcut,1,3041.431641,26.99194336,3.779999971,14.13000011,2205.790039,40.06713856,360.6856241,32,0
81,257002,561506,4903045,22,0,81,NA,NA,NA,NA,NA,NA,NA,NA,3292.755859,69.18969727,3.779999971,13.97999954,2065.409912,28.31872761,796.5828407,200,0
82,286789,562481,4902252,50,0,82,NA,NA,NA,NA,NA,NA,NA,NA,2350.199951,91.48950195,3.119999886,15.10999966,2040.599976,60.71239811,272.7438469,200,0
83,150732,562682,4901132,29,0,83,205,USFS,WIL,BLUE TITAN,1984,34,Clearcut,1,1864.810059,74.94995117,3.119999886,15.10999966,2040.599976,8.265483177,2.044720664,34,0
84,361840,557647,4896180,5,0,84,NA,NA,NA,NA,NA,NA,NA,NA,2793.340088,29.68994141,4.150000095,15.06000042,2097.780029,5.908890915,617.0702061,200,0
85,357256,556932,4896401,22,0,85,NA,NA,NA,NA,NA,NA,NA,NA,2983.209961,93.10009766,4.309999943,14.5,2111.870117,19.33241946,381.7899802,200,0
86,400605,556312,4894446,21,0,86,410,USFS,WIL,SCOUT,1976,42,Clearcut,2,2520.469971,38.18994141,4.389999866,14.81999969,2040.319946,42.46301541,453.8314347,42,0
87,364070,556046,4895953,48,0,87,NA,NA,NA,NA,NA,NA,NA,NA,3062.610107,59.95996094,4.170000076,14.26000023,2167.840088,22.72927142,533.9674102,200,0
88,367193,558513,4895962,16,0,88,NA,NA,NA,NA,NA,NA,NA,NA,1825.849976,84.06005859,4.03000021,16.09000015,2098.179932,23.71351609,300.9857264,200,0
89,372502,557910,4895668,35,0,89,NA,NA,NA,NA,NA,NA,NA,NA,2077.870117,147.9799805,4.150000095,15.06000042,2097.780029,21.46195165,237.6792919,200,0
90,287338,559781,4899188,30,0,90,NA,NA,NA,NA,NA,NA,NA,NA,2803.837402,55.28930664,3.450000048,14.22000027,2211.830078,47.45008992,899.6788483,200,0
91,301004,559007,4898550,11,0,91,NA,NA,NA,NA,NA,NA,NA,NA,3088.428711,66.70117188,4.150000095,14.23999977,2123.350098,23.6506932,1101.165683,200,0
92,280500,560528,4899462,6,2,92,1373,USFS,WIL,NA,1964,54,Clearcut,2,2113.879395,100.5793457,3.910000086,14.93999958,2182.429932,21.31327396,570.9004003,2,0
93,268355,560966,4899982,37,0,93,516,USFS,WIL,NA,1964,54,Clearcut,2,2244.2146,52.91650391,3.690000057,15.73999977,2056.590088,54.01107676,254.2234973,54,0
94,290415,560896,4899037,16,2,94,1373,USFS,WIL,NA,1964,54,Clearcut,2,1639.7052,65.58764648,3.839999914,15.67000008,2039.780029,40.34997357,9.161234482,2,0
105,593665,565933,4893400,31,0,95,NA,NA,NA,NA,NA,NA,NA,NA,2337.969971,163.380127,4.210000038,14.77000046,2220.879883,28.03738271,595.1100498,200,0
134,335225,558228,4897232,9,0,96,319,USFS,WIL,COOK RIDGE #1,1972,46,Clearcut,2,1537.914917,7.443603516,3.630000114,15.35000038,2118.820068,4.667853416,57.95544601,46,0
