"lambda.env","alpha.env","lambda.sp","alpha.sp","lambda.bio","alpha.bio","drop","hidden","loglike","loss","AUC.explain","AUC.test"
0,0.7,0,0.333333333333333,0.9,0.7,0.5,"2",5650.9580078125,86.306,0.804614786482653,0.700410249561464
0,0.7,0,0.5,1,1,0.1,"1",3921.283203125,65.43,0.912726454628327,0.725804944370854
0,0.7,0,0.5,0,1,0.1,"2",4400.916015625,52.169,0.850892886510104,0.706737070198281
0,0.7,0,0.5,0.5,0.1,0.3,"1",4703.40283203125,74.698,0.891671896378313,0.716109526564024
0,0.7,0,0.5,0.9,0,0.3,"2",5036.0029296875,79.324,0.867379064979927,0.718855381775245
0,0.7,0,0.5,0,0.2,0.5,"1",5017.0517578125,59.447,0.811474280526603,0.714559613151365
0,0.7,0,0.5,0.5,0.5,0.5,"2",5659.2841796875,86.808,0.807460743987389,0.696572739880498
0,0.7,0,0.666666666666667,1,1,0.1,"1",3861.77490234375,63.901,0.919563555972482,0.727871908095693
0,0.7,0,0.666666666666667,0,0.8,0.1,"2",3775.23974609375,47.225,0.889846669935086,0.717782382476543
0,0.7,0,0.666666666666667,0.8,0,0.3,"1",4622.3603515625,77.419,0.891538774219992,0.727360444724042
0,0.7,0,0.666666666666667,0.8,0,0.3,"2",4892.0791015625,80.1,0.878773754638235,0.718928820816076
0,0.7,0,0.666666666666667,0.4,0.3,0.5,"1",5290.5947265625,81.274,0.8464997358818,0.714510305200309
0,0.7,0,0.666666666666667,0.4,0.7,0.5,"2",5555.22998046875,84.282,0.814137123786609,0.69534475208335
0,0.7,0,0.833333333333333,0.6,0.5,0.1,"1",3954.16967773438,62.933,0.92400361367387,0.723434273664985
0,0.7,0,0.833333333333333,0.8,0,0.1,"2",4088.396484375,68.862,0.91672206512531,0.71568084879386
0,0.7,0,0.833333333333333,0.1,0.7,0.3,"1",4702.0205078125,75.8,0.885583877489806,0.729394050100305
0,0.7,0,0.833333333333333,0.5,0.2,0.3,"2",5015.4892578125,77.542,0.863055299294227,0.716040977608007
0,0.7,0,0.833333333333333,1,1,0.5,"1",5004.84814453125,81.489,0.842805322334368,0.717266189239228
0,0.7,0,0.833333333333333,1,0.2,0.5,"2",5583.7060546875,86.016,0.814163358789842,0.699530256732942
0,0.7,0,1,0,0,0.1,"1",3428.12426757812,43.381,0.9094334360055,0.727221767479387
0,0.7,0,1,0.1,0.3,0.1,"2",4611.83203125,73.271,0.889232111168791,0.727268421799539
0,0.7,0,1,0.5,0.2,0.3,"1",4721.21875,75.252,0.888595873865354,0.733523350297913
0,0.7,0,1,0.6,0.2,0.3,"2",4915.087890625,83.62,0.876676752224964,0.721453923649682
0,0.7,0,1,1,0.2,0.5,"1",5390.09765625,82.249,0.837519506985358,0.719657287965579
0,0.7,0,1,0.4,0.9,0.5,"2",5537.322265625,86.981,0.815940637508558,0.70627078352089
0,0.7,0.166666666666667,0,0.9,0.2,0.1,"1",4610.88671875,73.258,0.886517936634909,0.733786066282869
0,0.7,0.166666666666667,0,0.3,0.4,0.1,"2",4835.31640625,118.886,0.872154555107062,0.737150926770492
0,0.7,0.166666666666667,0,0.6,1,0.3,"1",4746.7314453125,78.216,0.858461912118249,0.733605366652308
0,0.7,0.166666666666667,0,1,0.7,0.3,"2",5478.6220703125,88.208,0.827611969340273,0.728379766270325
0,0.7,0.166666666666667,0,1,0.7,0.5,"1",5843.5771484375,121.635,0.783856171303142,0.732461544190551
0,0.7,0.166666666666667,0,0.9,0.1,0.5,"2",5994.51953125,94.272,0.763118369424424,0.696153943858547
0,0.7,0.166666666666667,0.166666666666667,0.2,0.8,0.1,"1",4829.4033203125,75.569,0.871305293105369,0.732481161790358
0,0.7,0.166666666666667,0.166666666666667,0.6,0.5,0.1,"2",4801.31640625,79.262,0.872629193668997,0.738776091758562
0,0.7,0.166666666666667,0.166666666666667,0.8,0.1,0.3,"1",5038.525390625,80.999,0.87010839732132,0.736813394790537
0,0.7,0.166666666666667,0.166666666666667,0.9,0.7,0.3,"2",5501.2705078125,84.47,0.817983090568413,0.745314138249187
0,0.7,0.166666666666667,0.166666666666667,0.6,0.7,0.5,"1",5875.455078125,90.985,0.788686680460753,0.711504936208687
0,0.7,0.166666666666667,0.166666666666667,0,0.8,0.5,"2",5656.7333984375,66.136,0.702629501049524,0.704022708291677
0,0.7,0.166666666666667,0.333333333333333,0.1,0.9,0.1,"1",4109.4287109375,71.589,0.89799352504878,0.733244074785528
0,0.7,0.166666666666667,0.333333333333333,0.6,0.1,0.1,"2",4696.802734375,73.694,0.884144173843779,0.738989320864321
0,0.7,0.166666666666667,0.333333333333333,0.3,0.7,0.3,"1",5130.990234375,83.569,0.857863403435577,0.733985641048194
0,0.7,0.166666666666667,0.333333333333333,0.7,0,0.3,"2",5365.1162109375,86.01,0.840037971933544,0.736804559513692
0,0.7,0.166666666666667,0.333333333333333,1,0,0.5,"1",5693.5771484375,89.988,0.822204769637977,0.722028303200778
0,0.7,0.166666666666667,0.333333333333333,1,0.2,0.5,"2",5991.1591796875,92.697,0.764538530315118,0.711006014997916
0,0.7,0.166666666666667,0.5,0.4,1,0.1,"1",4033.09033203125,68.799,0.901457076464732,0.74727951925762
0,0.7,0.166666666666667,0.5,0.6,0.8,0.1,"2",4626.2421875,74.889,0.889225225504926,0.735498969146401
0,0.7,0.166666666666667,0.5,1,0.8,0.3,"1",4885.5791015625,81.588,0.891400907422412,0.734665507284859
0,0.7,0.166666666666667,0.5,0.2,0,0.3,"2",5360.703125,83.801,0.84455890162718,0.733744646783862
0,0.7,0.166666666666667,0.5,0.6,0.2,0.5,"1",5633.8291015625,170.871,0.815691409107394,0.743962168765291
0,0.7,0.166666666666667,0.5,0.1,0.2,0.5,"2",5930.94921875,92.633,0.785012681867759,0.709878387041111
0,0.7,0.166666666666667,0.666666666666667,0.9,0.4,0.1,"1",4558.7294921875,72.027,0.889813709496139,0.740556510335123
0,0.7,0.166666666666667,0.666666666666667,0.4,0.4,0.1,"2",4487.9228515625,73.39,0.898943963852933,0.727421142468564
0,0.7,0.166666666666667,0.666666666666667,0.9,0.4,0.3,"1",4888.927734375,81.565,0.880416447113797,0.731477318987176
0,0.7,0.166666666666667,0.666666666666667,0.4,0.2,0.3,"2",5411.77490234375,85.098,0.840840888898902,0.717023180791297
0,0.7,0.166666666666667,0.666666666666667,0,0.4,0.5,"1",5517.50830078125,65.597,0.721973698110729,0.709954628211768
0,0.7,0.166666666666667,0.666666666666667,1,0.7,0.5,"2",6165.921875,94.75,0.765456535376745,0.681492021957708
0,0.7,0.166666666666667,0.833333333333333,0.8,0.4,0.1,"1",4100.97412109375,69.504,0.918058133447592,0.738604474525191
0,0.7,0.166666666666667,0.833333333333333,1,0.9,0.1,"2",4283.251953125,71.103,0.914665750425473,0.730967572111274
0,0.7,0.166666666666667,0.833333333333333,0.4,0.1,0.3,"1",4923.66748046875,171.826,0.889690144054898,0.727080961924312
0,0.7,0.166666666666667,0.833333333333333,0.3,1,0.3,"2",4964.09912109375,79.767,0.838059814184593,0.720469018387283
0,0.7,0.166666666666667,0.833333333333333,0,0.5,0.5,"1",5435.09765625,67.237,0.740746657725564,0.689026931259987
0,0.7,0.166666666666667,0.833333333333333,0,0.6,0.5,"2",5518.85205078125,67.248,0.738106197986493,0.710161166605647
0,0.7,0.166666666666667,1,0,0.1,0.1,"1",4292.1162109375,52.208,0.837818303796859,0.717975090095721
0,0.7,0.166666666666667,1,0.8,0.1,0.1,"2",4215.400390625,68.512,0.919664127955551,0.746170631431181
0,0.7,0.166666666666667,1,1,0.2,0.3,"1",4852.6103515625,79.081,0.888791355774662,0.731000143410629
0,0.7,0.166666666666667,1,0.9,0.1,0.3,"2",5298.208984375,85.015,0.850520712354002,0.728245988800123
0,0.7,0.166666666666667,1,0.5,0.9,0.5,"1",5465.3701171875,94.919,0.840603258225432,0.724761460931005
